ORTHID	SGDID
SPBP35G2.16c	YGR146C
SPCC16C4.22	YBR278W
SPCC757.15	YML129C
SPBC460.01c	YBR068C
SPBC460.01c	YBR069C
SPBC460.01c	YCL025C
SPBC460.01c	YDR046C
SPBC460.01c	YDR508C
SPBC460.01c	YEL063C
SPBC460.01c	YGR191W
SPBC460.01c	YKR039W
SPBC460.01c	YNL268W
SPBC460.01c	YNL270C
SPBC460.01c	YOL020W
SPBC460.01c	YOR348C
SPBC460.01c	YPL265W
SPBC460.02c	YGR201C
SPBC460.02c	YKL081W
SPBC460.02c	YPL048W
SPBC460.03	YBR293W
SPBC460.03	YMR088C
SPBC460.04c	YLL057C
SPBC460.05	YJR152W
SPBC460.05	YLR004C
SPBC19G7.19	YPR133W-A 
SPAC977.18	YBL029C-A
SPCC663.18	YER180C-A
SPAC6F6.19	YLR271W
SPAP4C9.02	YIL027C
SPCC18.19c	YGL226C-A
SPCC1235.16	YGR105W
SPCC70.12c	YGR146C
SPCC1442.19	YKL167C
SPBC26H8.16	YBR269C
SPAC3A12.18	YNL241C
SPBC1778.01c	YGR285C
SPAC15A10.04c	YGR211W
SPAC25G10.03	YNL103W
SPAC25G10.03	YIR017C
SPAC23C11.14	YMR243C
SPAC23C11.14	YOR316C
SPBC1718.07c	YDR151C
SPBC1718.07c	YLR136C
SPAC31F12.01	YML109W
SPAC31F12.01	YMR273C
SPBC1198.04c	YPR022C
SPAC227.08c	YPR107C
SPAC17G6.16c	YLR277C
SPAPB1A10.10c	YML001W
SPAPB1A10.16	YGL041W-A
SPBC405.04c	YML001W
SPAC6F6.15	YKR014C
SPAC6F6.15	YNL093W
SPAC6F6.15	YOR089C
SPAC18G6.03	YER031C
SPAC18G6.03	YGL210W
SPAC9E9.07c	YFL005W
SPBC1703.10	YFL038C
SPCC1795.09	YDR144C
SPCC1795.09	YDR349C
SPCC1795.09	YIR039C
SPCC1795.09	YLR120C
SPCC1795.09	YLR121C
SPCC11E10.05c	YER005W
SPBC13G1.11	YKL196C
SPAC1F5.08c	YNL291C
SPCC24B10.14c	YLR265C
SPAC4F10.15c	YOR181W
SPBC30B4.01c	YHL028W
SPBC30B4.01c	YNL283C
SPBC30B4.01c	YOL105C
SPBC30B4.01c	YOR008C
SPAC9E9.13	YKL117W
SPAC9G1.02	YCR073C
SPAC9G1.02	YNR031C
SPAC1B3.03c	YJR032W
SPAC1B3.03c	YLR216C
SPBC409.07c	YJL128C
SPAC1006.09	YCR073C
SPAC1006.09	YNR031C
SPBC800.02	YOR083W
SPCC18B5.03	YJL187C
SPBC3B9.10	YMR197C
SPCC1322.14c	YJL012C
SPBC13E7.09	YLR337C
SPBC29A10.11c	YML097C
SPBC4F6.10	YML097C
SPAC17A2.06c	YAL002W
SPAC1783.02c	YPR139C
SPAC630.11	YJR044C
SPAC3A12.15	YJL029C
SPCPJ732.01	YOR069W
SPAC2G11.03c	YGL095C
SPAP27G11.05c	YDR080W
SPAC2G11.06	YPR173C
SPCC777.13	YJL154C
SPBC1703.15c	YLR396C
SPAC1142.07c	YLR025W
SPCC364.05	YDR495C
SPAC15E1.06	YHR012W
SPAC1B3.07c	YPL065W
SPAC19A8.05c	YNR006W
SPAC4G9.13c	YJL053W
SPBC4B4.06	YJR102C
SPAC9E9.14	YKL041W
SPBC215.14c	YMR077C
SPAPJ696.01c	YOR132W
SPAC824.05	YPL045W
SPBC21C3.01c	YLL040C
SPBC16C6.02c	YLL040C
SPAC767.01c	YKR001C
SPCC757.10	YKL119C
SPAC16E8.07c	YMR054W
SPAC16E8.07c	YOR270C
SPCC965.03	YEL051W
SPBC3B9.18c	YGR020C
SPAC17A2.03c	YLR447C
SPAPB2B4.05	YKL080W
SPAC11E3.07	YOR332W
SPAC1B3.14	YEL027W
SPAC637.05c	YBR127C
SPAC2C4.13	YHR026W
SPAC7D4.10	YPR036W
SPAC732.01	YPL234C
SPBC1289.05c	YHR039C-A
SPAC343.05	YDL185W
SPAC1B3.16c	YGR065C
SPAC4A8.08c	YGR094W
SPAC23H4.14	YDL077C
SPBC354.14c	YEL013W
SPBC16E9.06c	YAL044W-A
SPBC649.04	YBR016W
SPBC649.04	YDL012C
SPBC649.04	YDR210W
SPBC23E6.04c	YJL109C
SPAC29E6.03c	YDL058W
SPAC2G11.02	YJR041C
SPBC725.15	YML106W
SPBC725.15	YMR271C
SPCC330.05c	YEL021W
SPAC57A10.12c	YKL216W
SPAC16.03c	YLR420W
SPAC22G7.06c	YJL130C
SPAC31G5.08	YOR278W
SPAC19A8.08	YHR077C
SPAC16C9.06c	YMR080C
SPCC1183.06	YML021C
SPAC17A5.07c	YIL031W
SPBC19G7.09	YPL020C
SPAC1B2.02c	YDR470C
SPCC895.04c	YOR075W
SPAC20H4.10	YDL190C
SPBC16A3.09c	YGR048W
SPAC1805.12c	YIL148W
SPAC1805.12c	YKR094C
SPBC83.01	YBL047C
SPAC17A5.12	YDR320C
SPAC3F10.13	YOR138C
SPBC21D10.05c	YGL181W
SPBC6B1.06c	YBR058C
SPAC1486.02c	YOL073C
SPCC895.09c	YLR419W
SPCC285.11	YDL091C
SPCC285.11	YML013W
SPAC343.09	YBL058W
SPAC2C4.15c	YDR330W
SPAC15A10.11	YGR184C
SPAC15A10.11	YLR024C
SPBC19C7.02	YGR184C
SPBC19C7.02	YLR024C
SPCC188.08c	YMR304W
SPBC713.02c	YMR304W
SPCC1494.05c	YJL197W
SPCC16A11.12c	YJL197W
SPBC337.08c	YLL039C
SPAC6G10.11c	YLR167W
SPAC11G7.04	YIL148W
SPAC11G7.04	YKR094C
SPBC211.07c	YEL012W
SPAC10F6.05c	YER100W
SPBC119.02	YBR082C
SPBC119.02	YDR059C
SPBP16F5.04	YMR022W
SPBC1198.09	YGR133W
SPBC1105.09	YMR022W
SPAC11E3.04c	YDR092W
SPCC777.10c	YLR306W
SPCC1259.15c	YOR339C
SPBC2D10.20	YDR177W
SPAC323.06c	YPL003W
SPAC24H6.12c	YPR066W
SPAC17G6.14c	YDL084W
SPBC1289.02c	YNL286W
SPCC1494.04c	YBR166C
SPCC126.06	YGR080W
SPAC630.14c	YCR084C
SPAC18B11.10	YCR084C
SPBC32F12.04	YLR212C
SPBC9B6.04c	YOR187W
SPBC800.05c	YML085C
SPBC800.05c	YML124C
SPBC12D12.07c	YCR083W
SPAC7D4.07c	YGR209C
SPAC7D4.07c	YLR043C
SPBC29A3.14c	YLR318W
SPBC1718.05	YDR472W
SPBC11G11.04	YBR254C
SPBC3F6.03	YDR353W
SPBC3F6.03	YHR106W
SPBC16G5.08	YDR354W
SPCC1442.09	YER090W
SPAC19A8.15	YGL026C
SPBC1539.09c	YKL211C
SPAPB18E9.01	YHR070W
SPAC4G8.06c	YML005W
SPAC31A2.02	YNR046W
SPBC16D10.02	YOL124C
SPAC6B12.09	YOL093W
SPBC25D12.05	YDR120C
SPAC17G8.01c	YJL087C
SPAC1639.02c	YJL129C
SPAC1639.02c	YKR050W
SPAC3F10.02c	YJL129C
SPAC3F10.02c	YKR050W
SPBC19G7.13	YPL128C
SPCC576.03c	YDR453C
SPCC576.03c	YML028W
SPAC3G6.09c	YDR074W
SPAC328.03	YBR126C
SPAC27D7.14c	YOL145C
SPAC19G12.15c	YDR074W
SPCC24B10.21	YDR050C
SPBC216.07c	YJR066W
SPBC216.07c	YKL203C
SPBC30D10.10c	YJR066W
SPBC30D10.10c	YKL203C
SPBC16G5.12c	YLR234W
SPBC1A4.03c	YNL088W
SPBC1703.14c	YOL006C
SPAC6B12.12	YHR117W
SPAC6B12.12	YNL121C
SPBC27B12.10c	YNL070W
SPBC27B12.13	YMR203W
SPAC17H9.16	YNL131W
SPAC6F12.07	YGR082W
SPBC713.08	YOL026C
SPCC1753.04	YOL064C
SPBC1773.05c	YDL246C
SPBC1773.05c	YJR159W
SPBC1773.05c	YLR070C
SPCC70.07c	YJR057W
SPAC823.05c	YAL014C
SPAC823.05c	YOL018C
SPBC36B7.07	YDR468C
SPCC4B3.16	YPR040W
SPAC3C7.12	YCL029C
SPAC13G6.04	YJR135W-A
SPAC57A10.11c	YKL195W
SPCC16A11.09c	YNR017W
SPBC1289.09	YGR033C
SPBP23A10.16	YDR178W
SPBP23A10.16	YLR164W
SPBP23A10.16	YOR297C
SPAC3A12.16c	YJL143W
SPAC824.06	YLR008C
SPAC824.06	YNL328C
SPAC17C9.09c	YGR181W
SPAC222.03c	YBR091C
SPAC222.03c	YHR005C-A
SPCC1919.09	YPR016C
SPBC336.10c	YEL034W
SPBC336.10c	YJR047C
SPAC26H5.10c	YEL034W
SPAC26H5.10c	YJR047C
SPAC17C9.03	YGL049C
SPAC17C9.03	YGR162W
SPBC1709.18	YOL139C
SPAC16E8.15	YOL139C
SPBC18H10.03	YDR429C
SPAC4A8.16c	YMR309C
SPBC17D11.05	YBR079C
SPAC8C9.15c	YDR211W
SPAC21E11.06	YGR083C
SPAC4D7.09	YOR260W
SPBC17G9.09	YER025W
SPAC32A11.04c	YPL237W
SPAC3G9.09c	YJR007W
SPBC25H2.07	YMR260C
SPAC13C5.03	YMR065W
SPBC25H2.02	YIL078W
SPBC1105.07c	YOL072W
SPAC23H4.10c	YPL214C
SPBC26H8.01	YGR144W
SPAC20H4.03c	YGL043W
SPAC22H12.02	YPL129W
SPBC1198.13c	YGR005C
SPCC1620.09c	YGR186W
SPBC30B4.07c	YPR056W
SPBC13G1.13	YPL122C
SPAC16E8.11c	YDR311W
SPCC1672.08c	YKR062W
SPAC458.07	YKL028W
SPCC23B6.03c	YBL088C
SPCC1450.04	YAL003W
SPCC417.08	YLR249W
SPCC417.08	YNL014W
SPBC1706.01	YAR014C
SPAC6G10.02c	YGR238C
SPAC6G10.02c	YHR158C
SPBC1604.20c	YPL155C
SPCC1223.06	YGR238C
SPCC1223.06	YHR158C
SPBC32F12.11	YGR192C
SPBC32F12.11	YJL052W
SPBC32F12.11	YJR009C
SPBC660.11	YLL046C
SPAC29E6.08	YER148W
SPCC1020.06c	YGR043C
SPCC1020.06c	YLR354C
SPAC12G12.05c	YMR236W
SPBC15D4.14	YBR198C
SPCC5E4.03c	YBR198C
SPCC16C4.18c	YGL112C
SPAC23G3.09	YMR005W
SPAC823.06	YPL011C
SPAC3A12.05c	YCR042C
SPCC1494.02c	YML098W
SPAC15A10.02	YDR145W
SPAC2G11.14	YGR274C
SPAC1002.04c	YML015C
SPBC21H7.02	YDR167W
SPAC7D4.04	YPR049C
SPAC6G9.11	YAL030W
SPAC6G9.11	YOR327C
SPAC26A3.01	YDR144C
SPAC26A3.01	YDR349C
SPAC26A3.01	YIR039C
SPAC26A3.01	YLR120C
SPAC26A3.01	YLR121C
SPBC11B10.06	YDR078C
SPBC409.03	YHR079C-A
SPBC30D10.04	YMR048W
SPAC1142.03c	YPL121C
SPBC4F6.15c	YML095C
SPBC216.06c	YNL273W
SPBC354.03	YBR175W
SPBC18H10.06c	YKL018W
SPAC23H3.05c	YAR003W
SPBP35G2.13c	YDR485C
SPAC637.11	YPL029W
SPBC947.01	YER047C
SPBC947.01	YPL074W
SPAC1834.01	YBR143C
SPCC584.04	YDR172W
SPCC1795.11	YOR204W
SPCC1795.11	YPL119C
SPBC800.09	YPR129W
SPAC4D7.05	YMR146C
SPBC23G7.05	YNL244C
SPBC25D12.04	YGR180C
SPBC25D12.04	YJL026W
SPBC1734.14c	YBR135W
SPBC27.08c	YJR010W
SPAC24B11.06c	YLR113W
SPBC1271.02	YGL022W
SPCC16C4.09	YDR293C
SPAC20G4.07c	YGL012W
SPAC1F8.03c	YCL073C
SPAC1F8.03c	YEL065W
SPAC1F8.03c	YHL040C
SPAC1F8.03c	YHL047C
SPAC1F8.03c	YKR106W
SPAC1F8.03c	YOL158C
SPCC61.01c	YCL073C
SPCC61.01c	YEL065W
SPCC61.01c	YHL040C
SPCC61.01c	YHL047C
SPCC61.01c	YKR106W
SPCC61.01c	YOL158C
SPBC4F6.09	YCL073C
SPBC4F6.09	YEL065W
SPBC4F6.09	YHL040C
SPBC4F6.09	YHL047C
SPBC4F6.09	YKR106W
SPBC4F6.09	YOL158C
SPAC1071.12c	YPR073C
SPAC17C9.10	YBR147W
SPAC17C9.10	YDR090C
SPAC17C9.10	YDR352W
SPAC17C9.10	YOL092W
SPCC645.14c	YOR027W
SPAC4F8.10c	YOR367W
SPCC1442.01	YLR310C
SPAC1565.04c	YCL032W
SPBC12C2.02c	YER093C
SPBC776.09	YDL160C
SPAC3G9.04	YNL222W
SPAC4G8.02c	YDR086C
SPAC23G3.10c	YCR052W
SPAC23G3.10c	YNR023W
SPAC23H3.10	YJL176C
SPAC17G6.10	YFR037C
SPCC74.03c	YDR477W
SPCC297.03	YER129W
SPCC297.03	YGL179C
SPBC23E6.09	YBR112C
SPAC27D7.13c	YPL174C
SPAC1687.18c	YER147C
SPCC1682.07	YLR005W
SPAC664.11	YEL030W
SPAC664.11	YJR045C
SPCC23B6.05c	YJL173C
SPCC1753.01c	YNL312W
SPBC660.13c	YAR007C
SPCC1739.13	YAL005C
SPCC1739.13	YBL075C
SPCC1739.13	YER103W
SPCC1739.13	YLL024C
SPAC13G7.02c	YAL005C
SPAC13G7.02c	YBL075C
SPAC13G7.02c	YER103W
SPAC13G7.02c	YLL024C
SPBC106.02c	YKL086W
SPAC144.13c	YGL003C
SPAC4H3.05	YJL092W
SPCC320.10	YPL210C
SPCC188.06c	YPR088C
SPAC16.02c	YDR432W
SPAC19B12.09	YDL092W
SPAC23H4.07c	YKL154W
SPCC1322.08	YGL158W
SPCC1322.08	YLR248W
SPAC589.02c	YDR443C
SPAC688.08	YCR081W
SPBC1604.10	YDR308C
SPAC29A4.07	YBR253W
SPBC31F10.04c	YER022W
SPBC12D12.06	YNL025C
SPAC23H4.17c	YPL042C
SPAC1F7.01c	YGR116W
SPAC23C4.19	YML010W
SPBC21C3.16c	YGR063C
SPCC61.02	YDR392W
SPAC4F8.12c	YHR165C
SPCC285.17	YMR233W
SPCC285.17	YOR295W
SPBC17D11.06	YKL045W
SPAC6B12.10c	YIR008C
SPBC1778.04	YDR052C
SPBC21C3.18	YDL017W
SPAC3H8.10	YKL091C
SPAC3H8.10	YMR079W
SPBC3H7.01	YNR026C
SPAC3F10.15c	YGR230W
SPAC3F10.15c	YHR152W
SPCC188.12	YHR107C
SPAC9G1.11c	YHR107C
SPBC16A3.01	YJR076C
SPAC821.06	YCR002C
SPAC4F10.11	YLR314C
SPAC31G5.09c	YBL016W
SPBC1289.03c	YLR293C
SPBC1289.03c	YOR185C
SPAC1565.06c	YML064C
SPBP4H10.05c	YOL052C
SPAC144.04c	YKL184W
SPAC29B12.03	YLR437C
SPCPJ732.02c	YGR194C
SPCPB1C11.03	YLL055W
SPCPB1C11.02	YBR068C
SPCPB1C11.02	YBR069C
SPCPB1C11.02	YCL025C
SPCPB1C11.02	YDR046C
SPCPB1C11.02	YDR508C
SPCPB1C11.02	YEL063C
SPCPB1C11.02	YGR191W
SPCPB1C11.02	YKR039W
SPCPB1C11.02	YNL268W
SPCPB1C11.02	YNL270C
SPCPB1C11.02	YOL020W
SPCPB1C11.02	YOR348C
SPCPB1C11.02	YPL265W
SPCPB16A4.04c	YDL201W
SPCPB16A4.02c	YBR129C
SPCP31B10.06	YML072C
SPCP31B10.06	YNL087W
SPCP31B10.06	YOR086C
SPCP31B10.05	YBR223C
SPCP31B10.04	YKL077W
SPCP31B10.02	YPL107W
SPCP1E11.11	YDR496C
SPCP1E11.10	YCR051W
SPCP1E11.08	YER126C
SPCP1E11.05c	YCR048W
SPCP1E11.05c	YNR019W
SPCC970.10c	YDL074C
SPCC970.08	YDR017C
SPCC970.06	YGR284C
SPCC970.03	YIL043C
SPCC970.03	YKL150W
SPCC970.03	YML087C
SPCC970.03	YML125C
SPCC970.02	YKL046C
SPCC970.02	YMR238W
SPCC965.14c	YPR062W
SPCC965.11c	YFL055W
SPCC965.10	YDL170W
SPCC965.09	YLR351C
SPCC965.04c	YPR024W
SPCC962.01	YML072C
SPCC962.01	YNL087W
SPCC962.01	YOR086C
SPCC895.06	YGR200C
SPCC895.03c	YGL169W
SPCC830.11c	YDL166C
SPCC830.10	YJR069C
SPCC830.09c	YAL033W
SPCC830.08c	YPR028W
SPCC830.06	YKL190W
SPCC830.05c	YFL024C
SPCC830.03	YLL035W
SPCC825.04c	YMR069W
SPCC825.02	YDR221W
SPCC794.11c	YJR125C
SPCC794.10	YHL012W
SPCC794.10	YKL035W
SPCC794.08	YMR212C
SPCC794.07	YNL071W
SPCC794.03	YDL210W
SPCC794.03	YGL077C
SPCC794.03	YKL174C
SPCC794.01c	YNL241C
SPCC790.03	YPL246C
SPCC777.15	YLR405W
SPCC777.11	YGR102C
SPCC777.08c	YBR270C
SPCC777.08c	YJL058C
SPCC777.07	YBR199W
SPCC777.07	YBR205W
SPCC777.07	YDR483W
SPCC777.07	YJL139C
SPCC777.07	YKR061W
SPCC777.07	YOR099W
SPCC777.07	YPL053C
SPCC777.04	YBR068C
SPCC777.04	YBR069C
SPCC777.04	YCL025C
SPCC777.04	YDR046C
SPCC777.04	YDR508C
SPCC777.04	YEL063C
SPCC777.04	YGR191W
SPCC777.04	YKR039W
SPCC777.04	YNL268W
SPCC777.04	YNL270C
SPCC777.04	YOL020W
SPCC777.04	YOR348C
SPCC777.04	YPL265W
SPCC777.02	YLR098C
SPCC777.02	YOR337W
SPCC757.13	YJR152W
SPCC757.13	YLR004C
SPCC757.08	YDR280W
SPCC757.04	YLR098C
SPCC757.04	YOR337W
SPCC757.03c	YDR533C
SPCC757.03c	YMR322C
SPCC757.03c	YOR391C
SPCC757.03c	YPL280W
SPCC74.04	YDL210W
SPCC74.04	YGL077C
SPCC74.04	YKL174C
SPCC737.08	YLR106C
SPCC737.07c	YKL017C
SPCC737.05	YDR479C
SPCC737.05	YHR150W
SPCC736.15	YGR086C
SPCC736.15	YPL004C
SPCC736.13	YOR246C
SPCC736.12c	YDR374C
SPCC736.10c	YMR158W
SPCC736.07c	YFL023W
SPCC736.06	YPL104W
SPCC736.03c	YPR047W
SPCC70.09c	YGR273C
SPCC70.09c	YMR295C
SPCC70.06	YDR159W
SPCC70.03c	YLR142W
SPCC70.02c	YDL130W-A
SPCC70.02c	YDL181W
SPCC663.15c	YPR097W
SPCC663.14c	YAL053W
SPCC663.14c	YGL139W
SPCC663.14c	YOR365C
SPCC663.14c	YPL221W
SPCC663.13c	YOR253W
SPCC663.11	YBR194W
SPCC663.10	YPL030W
SPCC663.09c	YKL071W
SPCC663.08c	YKL071W
SPCC663.06c	YKL071W
SPCC645.13	YKL005C
SPCC645.10	YER168C
SPCC645.09	YBR268W
SPCC645.02	YHR100C
SPCC63.14	YKL050C
SPCC63.14	YMR031C
SPCC63.12c	YER094C
SPCC63.10c	YMR013C
SPCC63.07	YGR024C
SPCC63.06	YNL035C
SPCC63.05	YMR028W
SPCC622.14	YDL226C
SPCC622.14	YNL204C
SPCC622.13c	YKL033W
SPCC622.12c	YAL062W
SPCC622.12c	YOR375C
SPCC622.10c	YDR166C
SPCC613.08	YDR361C
SPCC613.07	YHR040W
SPCC613.03	YLR250W
SPCC61.04c	YGR172C
SPCC61.03	YKL151C
SPCC5E4.05c	YKL094W
SPCC594.06c	YGL212W
SPCC594.05c	YPL138C
SPCC594.02c	YHL026C
SPCC584.15c	YFR022W
SPCC584.15c	YOR018W
SPCC584.14	YCR054C
SPCC584.13	YDL210W
SPCC584.13	YGL077C
SPCC584.13	YKL174C
SPCC584.11c	YDR346C
SPCC584.03c	YGL164C
SPCC584.01c	YFR030W
SPCC576.14	YLR172C
SPCC576.13	YBR231C
SPCC576.12c	YDL160C-A
SPCC576.06c	YPL097W
SPCC576.05	YDR159W
SPCC576.04	YNL305C
SPCC576.02	YIR030C
SPCC569.07	YGL202W
SPCC569.07	YHR137W
SPCC569.05c	YLL028W
SPCC553.11c	YKL058W
SPCC553.08c	YNL163C
SPCC553.06	YMR149W
SPCC553.03	YKL197C
SPCC553.02	YHR074W
SPCC553.01c	YGR042W
SPCC550.15c	YBR267W
SPCC550.15c	YLR387C
SPCC550.14	YJL080C
SPCC550.11	YDR395W
SPCC550.11	YJR132W
SPCC550.09	YBR168W
SPCC550.08	YDR391C
SPCC550.08	YOR012W
SPCC550.07	YDR242W
SPCC550.03c	YLR398C
SPCC550.01c	YLR218C
SPCC548.06c	YDL245C
SPCC548.06c	YDR342C
SPCC548.06c	YDR343C
SPCC548.06c	YDR536W
SPCC548.06c	YEL069C
SPCC548.06c	YGR289C
SPCC548.06c	YHR092C
SPCC548.06c	YHR094C
SPCC548.06c	YHR096C
SPCC548.06c	YJL214W
SPCC548.06c	YJL219W
SPCC548.06c	YJR158W
SPCC548.06c	YLR081W
SPCC548.06c	YMR011W
SPCC548.06c	YNL318C
SPCC548.06c	YNR072W
SPCC548.06c	YOL156W
SPCC548.05c	YOL054W
SPCC548.04	YIL008W
SPCC4G3.18	YHR197W
SPCC4G3.17	YBR242W
SPCC4G3.17	YGL101W
SPCC4G3.16	YOL066C
SPCC4G3.15c	YDL165W
SPCC4G3.14	YFL016C
SPCC4G3.13c	YML101C
SPCC4G3.13c	YMR264W
SPCC4G3.11	YDL089W
SPCC4G3.09c	YNL293W
SPCC4G3.09c	YOL112W
SPCC4G3.06c	YLR439W
SPCC4G3.03	YLR149C
SPCC4F11.04c	YBR161W
SPCC4F11.04c	YPL057C
SPCC4B3.18	YIL083C
SPCC4B3.13	YDR338C
SPCC4B3.13	YHR032W
SPCC4B3.11c	YAL046C
SPCC4B3.09c	YGL068W
SPCC4B3.08	YML112W
SPCC4B3.07	YOR051C
SPCC4B3.06c	YLR011W
SPCC4B3.05c	YDR047W
SPCC4B3.03c	YOL060C
SPCC4B3.02c	YMR292W
SPCC4B3.01	YOR251C
SPCC417.10	YJR152W
SPCC417.10	YLR004C
SPCC364.07	YER081W
SPCC364.07	YIL074C
SPCC364.06	YKR048C
SPCC364.04c	YKL179C
SPCC338.15	YEL002C
SPCC338.14	YJR105W
SPCC338.13	YPR105C
SPCC338.12	YNL015W
SPCC338.08	YGL175C
SPCC338.07c	YDL040C
SPCC338.06c	YBR072W
SPCC338.06c	YDR171W
SPCC330.09	YGR145W
SPCC330.06c	YLR109W
SPCC330.03c	YMR073C
SPCC320.14	YKL218C
SPCC320.12	YNR020C
SPCC320.11c	YPL211W
SPCC320.05	YPR003C
SPCC320.04c	YAL048C
SPCC320.03	YBR033W
SPCC320.03	YKL038W
SPCC31H12.03c	YER063W
SPCC31H12.02c	YBR054W
SPCC31H12.02c	YCR021C
SPCC31H12.02c	YDR033W
SPCC306.08c	YKL085W
SPCC306.07c	YHR052W
SPCC306.07c	YKR060W
SPCC306.06c	YHR101C
SPCC306.02c	YNL044W
SPCC2H8.02	YML123C
SPCC297.06c	YKL142W
SPCC285.14	YMR218C
SPCC285.13c	YAR002W
SPCC285.10c	YKL124W
SPCC285.10c	YMR171C
SPCC285.03	YNR038W
SPCC24B10.20	YKL071W
SPCC24B10.18	YLR363W-A
SPCC24B10.15	YOR166C
SPCC24B10.12	YML036W
SPCC24B10.11c	YML062C
SPCC24B10.10c	YGR028W
SPCC24B10.08c	YDR448W
SPCC24B10.05	YEL020W-A
SPCC24B10.02c	YEL041W
SPCC24B10.02c	YJR049C
SPCC23B6.04c	YNL231C
SPCC23B6.04c	YNL264C
SPCC23B6.02c	YAL059W
SPCC23B6.01c	YHR001W
SPCC23B6.01c	YKR003W
SPCC23B6.01c	YOR237W
SPCC23B6.01c	YPL145C
SPCC1919.15	YDL074C
SPCC1919.13c	YIL096C
SPCC1919.12c	YBR074W
SPCC1919.08c	YMR286W
SPCC1919.05	YPR189W
SPCC1919.03c	YER027C
SPCC1919.03c	YGL208W
SPCC1919.02	YCL052C
SPCC191.08	YNL260C
SPCC191.02c	YAL054C
SPCC191.02c	YLR153C
SPCC1906.02c	YGL110C
SPCC1902.02	YDR251W
SPCC1902.02	YPL032C
SPCC18B5.10c	YNL253W
SPCC18B5.08c	YPL040C
SPCC18B5.05c	YPR121W
SPCC18B5.05c	YPL258C
SPCC18B5.05c	YOL055C
SPCC18B5.04	YER050C
SPCC1840.12	YJL212C
SPCC1840.12	YPR194C
SPCC1840.11	YNL232W
SPCC1840.09	YLR290C
SPCC1840.08c	YIL005W
SPCC1840.05c	YMR278W
SPCC1840.04	YOR197W
SPCC1827.07c	YIL047C
SPCC1827.06c	YDR158W
SPCC1827.05c	YNL110C
SPCC1827.04	YDR049W
SPCC1827.03c	YBR222C
SPCC1827.02c	YGR202C
SPCC1827.01c	YIL091C
SPCC18.15	YBR246W
SPCC18.13	YDR165W
SPCC18.12c	YOR004W
SPCC18.10	YEL029C
SPCC18.10	YNR027W
SPCC18.09c	YOR258W
SPCC18.08	YNL073W
SPCC18.06c	YNR052C
SPCC18.05c	YCR072C
SPCC18.03	YNL023C
SPCC1795.10c	YHR181W
SPCC1795.08c	YDR359C
SPCC1795.07	YNL081C
SPCC1795.05c	YKL024C
SPCC1795.04c	YOR362C
SPCC1795.02c	YDL128W
SPCC1739.10	YFR012W
SPCC1739.10	YMR063W
SPCC1739.10	YOL019W
SPCC1739.07	YHR081W
SPCC1739.06c	YKR069W
SPCC1739.02c	YNL177C
SPCC1739.01	YPL054W
SPCC16C4.19	YDR478W
SPCC16C4.15	YEL050C
SPCC16C4.12	YPR131C
SPCC16C4.10	YCR073W-A
