GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0006725	cellular aromatic compound metabolic process	6.51e-19	6.51e-19	1	B0024.11,C15C6.4,C16C10.2,C29F7.3,C46F11.4,F10C2.4,F10F2.2,F21D5.1,F30A10.9,F43G6.5,F44G4.1,F52B5.3,F53B7.3,F53F4.10,K01G5.5,K07C5.4,K07C5.6,K08E3.5,R05D11.4,T11G6.8,T13H5.4,T15H9.6,T26G10.1,W02A11.1,W02B12.10,Y18D10A.3,Y39A1A.14,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y47D3A.29,Y48A6B.3,Y48B6A.1,Y51H4A.15,Y53C12B.1,Y53F4B.13,Y54G11A.3,ZC434.4,ZK512.2,ZK795.3,B0511.6,C05D11.9,C06G3.5,C24H12.4,C34E10.10,C48B6.2,C50F2.3,F08F8.7,F13H8.2,F33D11.10,F52C12.2,F53H1.1,F55F8.2,F55F8.3,F56F11.4,F57B10.8,F58F12.1,H20J04.4,H34C03.2,H35B03.2,M03F8.3,R12E2.11,T07A9.8,T12A2.7,T20H4.5,T22H9.1,T24G10.2,W06E11.1,W09C3.4,Y23H5B.5,Y23H5B.6,Y37E11B.5,Y48G1A.4,Y54E10A.10,Y65B4A.6,Y94H6A.5,ZK430.7,ZK1127.5
GO:0043933	macromolecular complex subunit organization	2.88e-04	2.88e-04	1	F44G4.1,F53B7.3,K10C3.5,T11G6.8,T23G11.7,Y39B6A.36,Y57G11C.22,ZC434.4,C34B2.6,C50F2.3,C56G2.7,F55F8.3,F56F11.4,F57B10.8,K12H4.3,M03F8.3,T07A9.8,Y39G10AR.8,Y48A5A.1,Y54E10A.10
GO:0071826	ribonucleoprotein complex subunit organization	3.64e-06	3.64e-06	1	F44G4.1,F53B7.3,K10C3.5,T11G6.8,ZC434.4,C50F2.3,F55F8.3,F57B10.8,K12H4.3,M03F8.3,Y39G10AR.8,Y48A5A.1,Y54E10A.10
GO:0071840	cellular component organization or biogenesis	1.16e-04	1.16e-04	1	C11H1.3,C15C6.4,C16C10.2,C47D12.2,F30A10.9,F44G4.1,F45G2.8,F45G2.10,F53B7.3,K01G5.5,K07C5.4,K10C3.5,R05D11.4,T11G6.8,T23G11.7,T24B1.1,T26G10.1,Y18D10A.9,Y39A1A.14,Y39B6A.3,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y48A6B.3,Y48B6A.1,Y48E1B.2,Y51H4A.15,Y53C12B.1,Y54G11A.9,Y57G11C.22,Y59A8B.8,Y75B8A.4,ZC434.4,ZK795.3,C24H12.4,C34B2.6,C34E10.10,C48B6.2,C50F2.3,C53H9.2,C56G2.7,F13H8.2,F52C12.2,F55F8.3,F56F11.4,F57B10.8,K12H4.3,M03F8.3,T07A9.8,T22H9.1,Y23H5B.5,Y39G10AR.8,Y48A5A.1,Y48G1A.4,Y54E10A.10,ZK328.7,ZK430.7,ZK1127.5
GO:0044085	cellular component biogenesis	2.52e-20	2.52e-20	1	C15C6.4,C16C10.2,F30A10.9,F44G4.1,F45G2.10,F53B7.3,K01G5.5,K07C5.4,K10C3.5,R05D11.4,T11G6.8,T23G11.7,T26G10.1,Y18D10A.9,Y39A1A.14,Y39B6A.3,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y48A6B.3,Y48B6A.1,Y48E1B.2,Y51H4A.15,Y53C12B.1,Y54G11A.9,Y57G11C.22,ZC434.4,ZK795.3,C24H12.4,C34B2.6,C34E10.10,C48B6.2,C50F2.3,C53H9.2,C56G2.7,F13H8.2,F52C12.2,F55F8.3,F56F11.4,F57B10.8,K12H4.3,M03F8.3,T22H9.1,Y23H5B.5,Y39G10AR.8,Y48A5A.1,Y48G1A.4,Y54E10A.10,ZK430.7,ZK1127.5
GO:0022613	ribonucleoprotein complex biogenesis	4.23e-20	4.23e-20	1	C15C6.4,C16C10.2,F30A10.9,F44G4.1,F53B7.3,K01G5.5,K07C5.4,K10C3.5,R05D11.4,T11G6.8,T26G10.1,Y39A1A.14,Y41C4A.9,Y45F10D.7,Y48A6B.3,Y48B6A.1,Y48E1B.2,Y51H4A.15,Y53C12B.1,ZC434.4,ZK795.3,C24H12.4,C34E10.10,C48B6.2,C50F2.3,C53H9.2,F13H8.2,F52C12.2,F55F8.3,F57B10.8,K12H4.3,M03F8.3,T22H9.1,Y23H5B.5,Y39G10AR.8,Y48A5A.1,Y48G1A.4,Y54E10A.10,ZK430.7,ZK1127.5
GO:0042254	ribosome biogenesis	3.76e-17	3.76e-17	1	C15C6.4,C16C10.2,F30A10.9,F44G4.1,K01G5.5,K07C5.4,K10C3.5,R05D11.4,T26G10.1,Y39A1A.14,Y41C4A.9,Y45F10D.7,Y48A6B.3,Y48B6A.1,Y48E1B.2,Y51H4A.15,Y53C12B.1,ZC434.4,ZK795.3,C24H12.4,C34E10.10,C48B6.2,C53H9.2,F13H8.2,F52C12.2,F55F8.3,F57B10.8,K12H4.3,T22H9.1,Y23H5B.5,Y48G1A.4,Y54E10A.10,ZK430.7,ZK1127.5
GO:0042274	ribosomal small subunit biogenesis	2.63e-06	2.63e-06	1	Y41C4A.9,Y51H4A.15,Y53C12B.1,ZC434.4,F13H8.2,F52C12.2,F55F8.3,F57B10.8,T22H9.1,Y23H5B.5,Y48G1A.4,ZK430.7
GO:1901360	organic cyclic compound metabolic process	3.91e-18	3.91e-18	1	B0024.11,C15C6.4,C16C10.2,C29F7.3,C46F11.4,F10C2.4,F10F2.2,F21D5.1,F30A10.9,F43G6.5,F44G4.1,F52B5.3,F53B7.3,F53F4.10,K01G5.5,K07C5.4,K07C5.6,K08E3.5,R05D11.4,T11G6.8,T13H5.4,T15H9.6,T26G10.1,W02A11.1,W02B12.10,Y18D10A.3,Y39A1A.14,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y47D3A.29,Y48A6B.3,Y48B6A.1,Y51H4A.15,Y53C12B.1,Y53F4B.13,Y54G11A.3,ZC434.4,ZK512.2,ZK795.3,B0511.6,C05D11.9,C06G3.5,C16A3.10,C24H12.4,C34E10.10,C48B6.2,C50F2.3,F08F8.7,F13H8.2,F33D11.10,F52C12.2,F53H1.1,F55F8.2,F55F8.3,F56F11.4,F57B10.8,F58F12.1,H20J04.4,H34C03.2,H35B03.2,M03F8.3,R12E2.11,T07A9.8,T12A2.7,T20H4.5,T22H9.1,T24G10.2,W06E11.1,W09C3.4,Y23H5B.5,Y23H5B.6,Y37E11B.5,Y48G1A.4,Y54E10A.10,Y65B4A.6,Y94H6A.5,ZK430.7,ZK1127.5
GO:0044710	single-organism metabolic process	4.81e-02	4.81e-02	1	B0464.9,B0491.7,C01G10.9,C25A1.5,C29F7.3,C31C9.2,F08A8.4,F10C2.4,F10F2.2,F27D4.1,F53F4.10,F54D5.7,F59F4.1,R08D7.7,T01H8.2,T14D7.1,Y18D10A.3,Y39B6A.33,Y43F4B.5,Y47D3A.29,Y48B6A.13,Y57G11C.22,ZC506.1,ZK836.2,C06G3.5,C16A3.10,F08F8.7,F56F11.4,F58F9.7,F58F12.1,H24K24.3,K09H11.1,R05F9.6,R12C12.1,R12E2.11,T20H4.5,T22F3.3,Y51H7C.9,Y53G8AL.2
GO:0044712	single-organism catabolic process	1.59e-04	1.59e-04	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,Y43F4B.5,ZC506.1,C06G3.5,C16A3.10,F08F8.7,F56F11.4,F58F9.7,K09H11.1,R05F9.6,R12C12.1,T22F3.3,Y51H7C.9
GO:0016042	lipid catabolic process	1.63e-03	1.63e-03	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0055114	oxidation-reduction process	4.20e-04	4.20e-04	1	F08A8.4,F27D4.1,F53F4.10,F54D5.7,F59F4.1,Y39B6A.33,Y43F4B.5,ZK836.2,F58F9.7,K09H11.1,R05F9.6,T20H4.5,T22F3.3,Y53G8AL.2
GO:0034440	lipid oxidation	7.67e-05	7.67e-05	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0044281	small molecule metabolic process	2.42e-04	2.42e-04	1	C01G10.9,C25A1.5,C29F7.3,C31C9.2,F08A8.4,F10F2.2,F27D4.1,F53F4.10,F54D5.7,F59F4.1,R08D7.7,T01H8.2,T14D7.1,Y18D10A.3,Y43F4B.5,ZK836.2,C06G3.5,C16A3.10,F08F8.7,F58F9.7,F58F12.1,H24K24.3,K09H11.1,R05F9.6,R12C12.1,R12E2.11,T20H4.5,Y51H7C.9,Y53G8AL.2
GO:0044282	small molecule catabolic process	6.82e-06	6.82e-06	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,Y43F4B.5,C16A3.10,F08F8.7,F58F9.7,K09H11.1,R05F9.6,R12C12.1,Y51H7C.9
GO:0022607	cellular component assembly	1.53e-07	1.53e-07	1	F44G4.1,F45G2.10,F53B7.3,K10C3.5,T11G6.8,T23G11.7,Y18D10A.9,Y39B6A.3,Y39B6A.36,Y54G11A.9,Y57G11C.22,ZC434.4,C34B2.6,C50F2.3,C56G2.7,F55F8.3,F56F11.4,F57B10.8,K12H4.3,M03F8.3,Y39G10AR.8,Y48A5A.1,Y54E10A.10
GO:0065003	macromolecular complex assembly	2.61e-07	2.61e-07	1	F44G4.1,F53B7.3,K10C3.5,T11G6.8,T23G11.7,Y39B6A.36,Y57G11C.22,ZC434.4,C34B2.6,C50F2.3,C56G2.7,F55F8.3,F56F11.4,F57B10.8,K12H4.3,M03F8.3,Y39G10AR.8,Y48A5A.1,Y54E10A.10
GO:0034622	cellular macromolecular complex assembly	1.01e-06	1.01e-06	1	F44G4.1,F53B7.3,K10C3.5,T11G6.8,T23G11.7,Y57G11C.22,ZC434.4,C34B2.6,C50F2.3,C56G2.7,F55F8.3,F56F11.4,F57B10.8,K12H4.3,M03F8.3,Y39G10AR.8,Y48A5A.1,Y54E10A.10
GO:0022618	ribonucleoprotein complex assembly	5.40e-07	5.40e-07	1	F44G4.1,F53B7.3,K10C3.5,T11G6.8,ZC434.4,C50F2.3,F55F8.3,F57B10.8,K12H4.3,M03F8.3,Y39G10AR.8,Y48A5A.1,Y54E10A.10
GO:0070925	organelle assembly	9.14e-04	9.14e-04	1	F44G4.1,K10C3.5,ZC434.4,F55F8.3,F57B10.8,K12H4.3,Y54E10A.10
GO:0042255	ribosome assembly	8.08e-05	8.08e-05	1	F44G4.1,K10C3.5,ZC434.4,F55F8.3,F57B10.8,K12H4.3,Y54E10A.10
GO:0000028	ribosomal small subunit assembly	2.14e-02	2.14e-02	1	ZC434.4,F55F8.3,F57B10.8
GO:0006807	nitrogen compound metabolic process	7.50e-21	7.50e-21	1	B0024.11,C01G10.9,C15C6.4,C16C10.2,C29F7.3,C31C9.2,C46F11.4,F10C2.4,F10F2.2,F11A3.2,F21D5.1,F30A10.9,F43G6.5,F44G4.1,F52B5.3,F53B7.3,F53F4.10,K01G5.5,K07C5.4,K07C5.6,K08E3.5,R05D11.4,T01H8.2,T04H1.2,T11G6.8,T13H5.4,T14D7.1,T15H9.6,T26G10.1,W01D2.1,W02A11.1,W02B12.10,Y18D10A.3,Y39A1A.14,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y47D3A.29,Y48A6B.3,Y48B6A.1,Y51H4A.15,Y53C12B.1,Y53F4B.13,Y54G11A.3,ZC434.4,ZK512.2,ZK795.3,ZK1098.4,B0511.6,C05D11.9,C06G3.5,C16A3.10,C17G10.9,C24H12.4,C28F5.4,C34E10.10,C42C1.11,C48B6.2,C50F2.3,E01A2.1,F08F8.7,F13H8.2,F33D11.10,F52C12.2,F53H1.1,F55F8.2,F55F8.3,F56F11.4,F57B10.8,F58F12.1,H20J04.4,H34C03.2,H35B03.2,M03F8.3,R12C12.1,R12E2.11,T07A9.8,T12A2.7,T20H4.5,T22H9.1,T24G10.2,W06E11.1,W09C3.4,Y23H5B.5,Y23H5B.6,Y37E3.8,Y37E3.10,Y37E11B.5,Y39G10AR.8,Y48G1A.4,Y51H7C.9,Y53G8B.1,Y54E10A.10,Y65B4A.6,Y94H6A.5,ZK430.7,ZK1127.5
GO:1901564	organonitrogen compound metabolic process	4.08e-03	4.08e-03	1	C01G10.9,C16C10.2,C29F7.3,C31C9.2,F10F2.2,F11A3.2,F53F4.10,T01H8.2,T04H1.2,T14D7.1,W01D2.1,Y18D10A.3,ZK1098.4,C06G3.5,C16A3.10,C17G10.9,C28F5.4,C42C1.11,E01A2.1,F08F8.7,F58F12.1,R12C12.1,R12E2.11,T20H4.5,Y37E3.8,Y37E3.10,Y39G10AR.8,Y51H7C.9,Y53G8B.1
GO:0034641	cellular nitrogen compound metabolic process	2.96e-19	2.96e-19	1	B0024.11,C15C6.4,C16C10.2,C29F7.3,C46F11.4,F10C2.4,F10F2.2,F11A3.2,F21D5.1,F30A10.9,F43G6.5,F44G4.1,F52B5.3,F53B7.3,F53F4.10,K01G5.5,K07C5.4,K07C5.6,K08E3.5,R05D11.4,T04H1.2,T11G6.8,T13H5.4,T15H9.6,T26G10.1,W01D2.1,W02A11.1,W02B12.10,Y18D10A.3,Y39A1A.14,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y47D3A.29,Y48A6B.3,Y48B6A.1,Y51H4A.15,Y53C12B.1,Y53F4B.13,Y54G11A.3,ZC434.4,ZK512.2,ZK795.3,ZK1098.4,B0511.6,C05D11.9,C06G3.5,C17G10.9,C24H12.4,C28F5.4,C34E10.10,C42C1.11,C48B6.2,C50F2.3,E01A2.1,F08F8.7,F13H8.2,F33D11.10,F52C12.2,F53H1.1,F55F8.2,F55F8.3,F56F11.4,F57B10.8,F58F12.1,H20J04.4,H34C03.2,H35B03.2,M03F8.3,R12E2.11,T07A9.8,T12A2.7,T20H4.5,T22H9.1,T24G10.2,W06E11.1,W09C3.4,Y23H5B.5,Y23H5B.6,Y37E3.8,Y37E3.10,Y37E11B.5,Y39G10AR.8,Y48G1A.4,Y53G8B.1,Y54E10A.10,Y65B4A.6,Y94H6A.5,ZK430.7,ZK1127.5
GO:0006139	nucleobase-containing compound metabolic process	4.41e-19	4.41e-19	1	B0024.11,C15C6.4,C16C10.2,C29F7.3,C46F11.4,F10C2.4,F10F2.2,F21D5.1,F30A10.9,F43G6.5,F44G4.1,F52B5.3,F53B7.3,F53F4.10,K01G5.5,K07C5.4,K07C5.6,K08E3.5,R05D11.4,T11G6.8,T13H5.4,T15H9.6,T26G10.1,W02A11.1,W02B12.10,Y18D10A.3,Y39A1A.14,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y47D3A.29,Y48A6B.3,Y48B6A.1,Y51H4A.15,Y53C12B.1,Y53F4B.13,Y54G11A.3,ZC434.4,ZK512.2,ZK795.3,B0511.6,C05D11.9,C06G3.5,C24H12.4,C34E10.10,C48B6.2,C50F2.3,F08F8.7,F13H8.2,F33D11.10,F52C12.2,F53H1.1,F55F8.2,F55F8.3,F56F11.4,F57B10.8,F58F12.1,H20J04.4,H34C03.2,H35B03.2,M03F8.3,R12E2.11,T07A9.8,T12A2.7,T20H4.5,T22H9.1,T24G10.2,W06E11.1,W09C3.4,Y23H5B.5,Y23H5B.6,Y37E11B.5,Y48G1A.4,Y54E10A.10,Y65B4A.6,Y94H6A.5,ZK430.7,ZK1127.5
GO:0090304	nucleic acid metabolic process	2.32e-17	2.32e-17	1	B0024.11,C15C6.4,C16C10.2,C46F11.4,F10C2.4,F30A10.9,F43G6.5,F44G4.1,F52B5.3,F53B7.3,K01G5.5,K07C5.4,K07C5.6,R05D11.4,T11G6.8,T13H5.4,T15H9.6,T26G10.1,W02A11.1,W02B12.10,Y39A1A.14,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y47D3A.29,Y48A6B.3,Y48B6A.1,Y51H4A.15,Y53C12B.1,Y53F4B.13,Y54G11A.3,ZC434.4,ZK512.2,ZK795.3,B0511.6,C05D11.9,C24H12.4,C34E10.10,C48B6.2,C50F2.3,F13H8.2,F33D11.10,F52C12.2,F53H1.1,F55F8.2,F55F8.3,F56F11.4,F57B10.8,H20J04.4,H34C03.2,H35B03.2,M03F8.3,T07A9.8,T12A2.7,T22H9.1,T24G10.2,W06E11.1,W09C3.4,Y23H5B.5,Y23H5B.6,Y37E11B.5,Y48G1A.4,Y54E10A.10,Y65B4A.6,Y94H6A.5,ZK430.7,ZK1127.5
GO:0044260	cellular macromolecule metabolic process	9.03e-06	9.03e-06	1	B0024.11,B0464.9,B0491.7,C04F12.8,C11H1.3,C15C6.4,C16C10.2,C46F11.4,F07A11.4,F10C2.4,F11A3.2,F30A10.9,F43G6.5,F44G4.1,F52B5.3,F53B7.3,F57F5.1,K01G5.5,K07C5.4,K07C5.6,R05D11.4,T04H1.2,T11G6.8,T13H5.4,T15H9.6,T26G10.1,W01D2.1,W02A11.1,W02B12.10,Y39A1A.14,Y39B6A.36,Y41C4A.9,Y43F4B.5,Y45F10D.7,Y47D3A.29,Y48A6B.3,Y48B6A.1,Y51H4A.15,Y53C12B.1,Y53F4B.13,Y54G11A.3,Y57G11C.22,Y75B8A.4,ZC434.4,ZC506.1,ZK512.2,ZK795.3,ZK1098.4,B0511.6,C05D11.9,C07H6.2,C17G10.9,C24H12.4,C28F5.4,C34B2.6,C34E10.10,C48B6.2,C50F2.3,C56G2.7,F13H8.2,F33D11.10,F40F4.7,F52C12.2,F53H1.1,F55F8.2,F55F8.3,F56F11.4,F57B10.8,H14E04.1,H20J04.4,H34C03.2,H35B03.2,K04F10.7,M03F8.3,M57.2,R05F9.6,T07A9.8,T12A2.7,T22F3.3,T22H9.1,T24G10.2,T28B4.1,W06E11.1,W09C3.4,Y23H5B.5,Y23H5B.6,Y37E3.8,Y37E3.10,Y37E11B.5,Y39G10AR.8,Y48G1A.4,Y54E10A.10,Y65B4A.6,Y67D2.2,Y67D2.5,Y94H6A.5,Y97E10AL.3,ZK430.7,ZK1127.5
GO:0016070	RNA metabolic process	1.30e-20	1.30e-20	1	B0024.11,C15C6.4,C16C10.2,C46F11.4,F30A10.9,F43G6.5,F44G4.1,F52B5.3,F53B7.3,K01G5.5,K07C5.4,K07C5.6,R05D11.4,T11G6.8,T13H5.4,T15H9.6,T26G10.1,W02A11.1,W02B12.10,Y39A1A.14,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y47D3A.29,Y48A6B.3,Y48B6A.1,Y51H4A.15,Y53C12B.1,Y53F4B.13,Y54G11A.3,ZC434.4,ZK512.2,ZK795.3,B0511.6,C05D11.9,C24H12.4,C34E10.10,C48B6.2,C50F2.3,F13H8.2,F33D11.10,F52C12.2,F53H1.1,F55F8.2,F55F8.3,F56F11.4,F57B10.8,H20J04.4,H34C03.2,H35B03.2,M03F8.3,T07A9.8,T12A2.7,T22H9.1,T24G10.2,W06E11.1,W09C3.4,Y23H5B.5,Y23H5B.6,Y37E11B.5,Y48G1A.4,Y54E10A.10,Y65B4A.6,Y94H6A.5,ZK430.7,ZK1127.5
GO:0010501	RNA secondary structure unwinding	8.04e-07	8.04e-07	1	C46F11.4,R05D11.4,T26G10.1,Y54G11A.3,ZK512.2,B0511.6,C24H12.4,F33D11.10,F53H1.1,F55F8.2,H20J04.4,Y23H5B.6,Y65B4A.6,Y94H6A.5
GO:0034660	ncRNA metabolic process	1.87e-15	1.87e-15	1	C15C6.4,C16C10.2,F30A10.9,F44G4.1,K01G5.5,K07C5.4,R05D11.4,T26G10.1,W02A11.1,W02B12.10,Y39A1A.14,Y41C4A.9,Y45F10D.7,Y48A6B.3,Y48B6A.1,Y51H4A.15,Y53C12B.1,ZC434.4,ZK795.3,C05D11.9,C24H12.4,C34E10.10,C48B6.2,F13H8.2,F52C12.2,F55F8.3,F57B10.8,H35B03.2,T22H9.1,Y23H5B.5,Y37E11B.5,Y48G1A.4,Y54E10A.10,ZK430.7,ZK1127.5
GO:0016072	rRNA metabolic process	1.15e-16	1.15e-16	1	C15C6.4,C16C10.2,F30A10.9,F44G4.1,K01G5.5,K07C5.4,R05D11.4,T26G10.1,Y39A1A.14,Y41C4A.9,Y45F10D.7,Y48A6B.3,Y48B6A.1,Y51H4A.15,Y53C12B.1,ZC434.4,ZK795.3,C24H12.4,C34E10.10,C48B6.2,F13H8.2,F52C12.2,F55F8.3,F57B10.8,T22H9.1,Y23H5B.5,Y48G1A.4,Y54E10A.10,ZK430.7,ZK1127.5
GO:0016071	mRNA metabolic process	8.41e-04	8.41e-04	1	F43G6.5,F53B7.3,K01G5.5,T11G6.8,T13H5.4,T15H9.6,Y53F4B.13,C50F2.3,F53H1.1,M03F8.3,T12A2.7
GO:0006396	RNA processing	2.10e-22	2.10e-22	1	C15C6.4,C16C10.2,F30A10.9,F43G6.5,F44G4.1,F52B5.3,F53B7.3,K01G5.5,K07C5.4,K07C5.6,R05D11.4,T11G6.8,T13H5.4,T15H9.6,T26G10.1,W02A11.1,W02B12.10,Y39A1A.14,Y41C4A.9,Y45F10D.7,Y48A6B.3,Y48B6A.1,Y51H4A.15,Y53C12B.1,Y53F4B.13,ZC434.4,ZK795.3,C05D11.9,C24H12.4,C34E10.10,C48B6.2,C50F2.3,F13H8.2,F33D11.10,F52C12.2,F53H1.1,F55F8.3,F57B10.8,H35B03.2,M03F8.3,T12A2.7,T22H9.1,Y23H5B.5,Y37E11B.5,Y48G1A.4,Y54E10A.10,Y65B4A.6,ZK430.7,ZK1127.5
GO:0034470	ncRNA processing	1.37e-16	1.37e-16	1	C15C6.4,C16C10.2,F30A10.9,F44G4.1,K01G5.5,K07C5.4,R05D11.4,T26G10.1,W02A11.1,W02B12.10,Y39A1A.14,Y41C4A.9,Y45F10D.7,Y48A6B.3,Y48B6A.1,Y51H4A.15,Y53C12B.1,ZC434.4,ZK795.3,C05D11.9,C24H12.4,C34E10.10,C48B6.2,F13H8.2,F52C12.2,F55F8.3,F57B10.8,H35B03.2,T22H9.1,Y23H5B.5,Y37E11B.5,Y48G1A.4,Y54E10A.10,ZK430.7,ZK1127.5
GO:0006364	rRNA processing	1.15e-16	1.15e-16	1	C15C6.4,C16C10.2,F30A10.9,F44G4.1,K01G5.5,K07C5.4,R05D11.4,T26G10.1,Y39A1A.14,Y41C4A.9,Y45F10D.7,Y48A6B.3,Y48B6A.1,Y51H4A.15,Y53C12B.1,ZC434.4,ZK795.3,C24H12.4,C34E10.10,C48B6.2,F13H8.2,F52C12.2,F55F8.3,F57B10.8,T22H9.1,Y23H5B.5,Y48G1A.4,Y54E10A.10,ZK430.7,ZK1127.5
