human	elegans
O60610	Q7JP75
O60613	Q9N4C6
O60645	Q19262
O60663	Q21192
O60671	G5EC44
O60673	Q9BKQ3
O60688	Q9U3G6
O60701	Q19905
O60711	Q09476
O60721	P90858
O60725	P91266
O60733	G5EGD6
O60739	Q967F1
O60749	Q9GYJ9
O60760	Q21945
O60762	Q9TYJ7
O60763	G5EGG0
O60779	Q17766
O60783	P49391
O60825	Q9N590
O60826	Q7JP60
O60828	O16786
O60830	O44477
O60832	O17919
O60841	G5EGT7
O60858	O16682
O60869	Q9XTV4
O60870	Q9XWF2
O60884	O16303
O60885	Q95Y80
O60888	Q20051
O60906	O45870
O60921	G5EFI9
O60925	Q17827
O60927	Q09384
O60930	Q86MG7
O60931	Q09500
O60941	Q9Y048
O60942	Q17607
O75027	G4SRS5
O75061	G5EDJ6
O75072	Q09341
O75083	O17939
O75093	G5EFX6
O75095	G5EFX3
O75112	G5EFL5
O75122	Q03609
O75132	Q17894
O75140	G5EBK0
O75153	P34466
O75161	G5ECP0
O75164	Q9U297
O75165	G5ED36
O75167	P91855
O75175	G5EFX8
O75179	Q21920
O75182	A5JYW9
O75190	Q9TY07
O75191	P30646
O75223	Q18596
O75251	Q94360
O75306	Q22800
O75312	O16999
O75319	Q22707
O75340	Q95Y96
O75343	O02298
O75347	Q95XR1
O75351	Q9BL83
O75352	Q20157
O75356	Q9XU84
O75380	Q19724
O75381	Q93930
O75390	P34575
O75396	Q94241
O75400	P34600
O75417	A0FLQ6
O75419	Q7JMR0
O75431	P34599
O75439	Q23295
O75452	O01758
O75460	Q09499
O75489	O01602
O75506	Q9U3B7
O75521	Q09603
O75530	Q9GYS1
O75531	Q03565
O75533	G5EEQ8
O75554	Q9XUY1
O75575	Q0G841
O75582	Q18846
O75586	Q9N337
O75592	Q17551
O75600	Q22768
O75608	Q21224
O75616	Q09523
O75626	Q93560
O75636	Q5ZR75
O75643	Q9U2G0
O75648	Q17440
O75663	P34274
O75683	Q23525
O75688	Q19775
O75691	Q19545
O75694	Q95Y15
O75695	Q966I6
O75715	Q93204
O75716	Q18988
O75717	Q19520
O75718	Q9NA33
O75746	Q21153
O75752	Q95US5
O75762	Q18297
O75792	Q9U6P6
O75808	G5EEZ6
O75817	Q9U1X8
O75821	Q19706
O75832	C0Z1Y9
O75838	Q93640
O75844	Q9XVE5
O75864	Q19857
O75874	H9G2T4
O75879	Q9N5X5
O75880	Q17557
O75896	Q93196
O75899	G5ECB2
O75907	G5EBH6
O75915	H2KZJ7
O75923	Q17388
O75934	Q22417
O75936	Q19000
O75937	Q95Y44
O75940	Q95Y51
O75943	G5EGG2
O75953	Q20774
O75962	O61528
O75964	P90921
O75976	P91359
O76003	H2KZJ5
O76031	P90788
O76054	O17907
O76062	G5ED82
O76071	Q9XW12
O76082	Q9U539
O76094	P91240
O76095	Q9N4B5
O77932	Q10660
O94762	Q19046
O94763	Q966M4
O94766	Q09363
O94778	H2FLH4
O94804	O17566
O94805	Q9N4N4
O94806	O45818
O94812	Q400L7
O94817	Q10931
O94822	Q65XX2
O94829	Q22529
O94832	G5ECZ0
O94874	Q17750
O94875	G5EC32
O94876	Q18025
O94880	Q9GRZ5
O94889	Q8WQC4
O94903	P52057
O94905	A3QMC6
O94906	Q9GRZ2
O94910	G5ECX0
O94913	Q09345
O94915	Q5DX48
O94923	P46555
O94925	Q19013
O94933	Q9U3A0
O94964	G5EGR4
O94966	Q19132
O94967	H2KZG7
O94973	Q22601
O94979	G5EFY6
O94985	G5ED46
O95045	Q23588
O95050	Q20308
O95070	Q2PJ77
O95071	G5EDT9
O95076	Q93246
O95104	O01864
O95140	Q23424
O95147	Q9XVE7
O95149	O17066
O95153	Q9N415
O95155	Q09349
O95159	Q9N4Y9
O95163	Q9N595
O95164	Q7YX48
O95168	Q23098
O95169	Q9XWJ5
O95197	G5EDI2
O95202	Q9XVM0
O95214	Q18319
O95218	H2KYA0
O95232	Q8ITY5
O95238	A8WFJ9
O95239	O45935
O95249	Q95ZW1
O95251	Q95ZX6
O95260	P90914
O95271	Q9TXQ1
O95279	O76791
O95292	O44782
O95295	O44445
O95299	Q21233
O95336	O18229
O95347	Q09591
O95352	G5EBK4
O95363	G5ECI8
O95376	Q22431
O95390	P92172
O95391	Q21278
O95394	Q19680
O95395	Q19730
O95396	O44510
O95400	Q9NAH3
O95406	Q22361
O95427	G4SNP0
O95428	O76840
O95433	Q93168
O95436	Q23530
O95453	Q21412
O95455	Q20697
O95461	Q21389
O95470	Q9Y194
O95476	Q20432
O95478	G5EFH0
O95487	Q23368
O95551	Q9XWG3
O95562	Q7YTP0
O95563	O01578
O95568	Q21069
O95571	O17636
O95600	Q65ZG6
O95602	G5ED21
O95619	Q21501
O95620	Q09504
O95622	Q966F9
O95628	Q9GYQ9
O95631	P34710
O95639	Q7YTG9
O95670	P91303
O95685	Q966L7
O95707	Q9XVT1
O95721	P83351
O95757	Q05036
O95777	Q95XD4
O95786	G5EDI8
O95801	Q09974
O95803	Q966W3
O95822	Q20048
O95831	Q9U229
O95847	O01883
O95870	P41879
O95872	Q09655
O95881	Q9NA78
O95900	Q9N3X3
O95926	Q09385
O95947	Q19691
O95983	G5ECR1
O95985	H1UBJ9
O95989	Q95XC4
O95992	Q20027
O96000	Q93831
O96005	Q966P8
O96008	Q18090
O96013	G5EFU0
O96017	Q9U1Y5
P00156	P24890
P00167	Q93315
P00367	Q23621
P00374	Q93341
P00387	O16521
P00390	Q93379
P00395	P24893
P00403	P24894
P00414	P24891
P00439	P90925
P00441	P34697
P00491	O61217
P00492	Q9NF11
P00505	Q17994
P00558	P91427
P00568	Q20140
P00813	H2KYI5
P00846	P24888
P01112	P22981
P01127	Q9N413
P02511	P34328
P02766	Q21882
P02794	Q9TYS3
P03886	P24887
P03905	P24892
P03915	P24896
P04035	Q19207
P04040	Q27487
P04054	Q17790
P04062	G5ECR8
P04075	P54216
P04179	P31161
P04181	Q18040
P04183	G5EEZ5
P04406	P17329
P04792	Q17849
P04818	Q9N588
P04843	Q9GZH4
P05023	P90735
P05026	Q9XUY5
P05089	H2KZS0
P05091	Q20780
P05165	Q19842
P05166	Q20676
P05198	Q9BKU3
P05386	P91913
P05387	O01504
P05388	Q93572
P05408	Q9XTY3
P05413	O01812
P05451	Q18821
P05452	C7FZU9
P05455	O01806
P05496	Q9BKS0
P05549	G2HK15
P05556	Q27874
P05976	Q9XVI9
P06241	G5EE56
P06280	Q21801
P06493	P34556
P06576	P46561
P06730	O61955
P06732	Q10454
P06733	Q27527
P06744	Q7K707
P06753	Q22866
P07098	Q93789
P07099	Q23068
P07108	O01805
P07195	Q27888
P07237	Q17770
P07305	P10771
P07339	Q21966
P07602	Q18276
P07686	Q22492
P07711	O45734
P07741	P91455
P07814	Q23315
P07858	Q20950
P07902	Q27536
P07919	O45864
P07942	O44565
P07954	O17214
P07992	Q93456
P08069	Q968Y9
P08183	G5EG58
P08236	Q95Q32
P08237	Q9TZL8
P08238	Q18688
P08240	G4RYA5
P08243	O16924
P08247	O44511
P08559	P52899
P08574	Q18853
P08621	Q09584
P08865	P46769
P08908	O02213
P08913	Q7JP61
P08922	Q8I7I5
P08962	Q9XVI4
P09001	P49404
P09012	Q21322
P09016	P34326
P09086	P20268
P09132	O61749
P09172	Q9XTQ6
P09211	P10299
P09234	P90815
P09417	Q9XVJ3
P09467	G5EBJ7
P09471	P51875
P09486	P34714
P09496	P90961
P09622	O17953
P09629	P10038
P09874	Q9N4H4
P09884	C7IVS4
P09936	Q9UAV3
P09958	O17798
P09960	O44183
P0C024	Q9NA25
P0C091	Q8IG72
P0C0S5	Q27511
P0C2W1	Q18223
P0C6T2	Q6BEV3
P0C7P0	Q9U3A1
P0C862	Q21855
P0CG08	Q9U1S3
P0CG23	Q9XW26
P0CG47	O44821
P0CG48	P0CG71
P0CW22	O01692
P0DI82	O02173
P0DKL9	H2KY75
P10114	O17599
P10155	Q27274
P10253	Q19004
P10412	Q19743
P10515	Q19749
P10599	Q09433
P10606	P90849
P10619	P52717
P10632	Q27482
P10635	Q27507
P10636	Q95QG4
P10646	O16784
P10768	G5EF86
P10809	P50140
P11021	P27420
P11047	Q18823
P11117	Q10944
P11142	P09446
P11169	O44827
P11177	O44451
P11182	Q23571
P11217	Q9N5U1
P11233	H2L0Q6
P11310	Q22347
P11362	Q10656
P11387	O17966
P11388	Q23670
P11413	Q27464
P11473	Q9XYB7
P11498	O17732
P11532	Q9TW65
P11586	Q21284
P11766	Q17335
P11801	O44747
P11926	P41931
P11940	Q9U302
P12004	O02115
P12074	Q20779
P12081	P34183
P12235	G5EFW8
P12270	Q5WRT9
P12277	Q27535
P12694	O45924
P12955	O44995
P12956	Q9U2D2
P13010	Q21829
P13051	Q9U221
P13056	Q9N4B8
P13073	Q9U329
P13284	O17861
P13533	P02566
P13639	P29691
P13667	P34329
P13674	Q20065
P13686	O01320
P13693	Q93573
P13797	Q95Y37
P13798	Q9TYX1
P13804	Q93615
P13807	Q9U2D9
P13984	Q8MYM8
P13994	Q09651
P13995	Q21285
P14174	Q9U228
P14314	G5EC87
P14324	O62336
P14416	E7EM37
P14618	B7WNA0
P14625	Q22235
P14635	Q10653
P14652	Q93899
P14653	P17488
P14679	O76708
P14735	O16249
P14854	Q9BL34
P14866	Q95QR5
P14868	Q03577
P14927	Q9N5E4
P15056	Q07292
P15104	Q9U307
P15121	Q9NAI5
P15374	Q965V9
P15735	Q9N3L4
P15880	P51403
P15941	Q9N4X3
P15976	P28515
P16035	Q21265
P16066	Q86GV3
P16109	Q22328
P16278	Q27526
P16389	Q8I4B0
P16401	P15796
P16402	O16277
P16435	Q09590
P16519	G5ECN9
P16562	Q9N5N3
P16591	Q22243
P16615	G5EEK8
P16662	Q21603
P16870	O17754
P16930	Q94272
P17174	Q22067
P17213	H9G2Z8
P17252	P90980
P17405	Q23498
P17568	P90789
P17612	P21137
P17707	O02655
P17735	Q93703
P17931	G5EC10
P17948	Q21041
P17980	O76371
P17987	P41988
P18074	Q9N3L2
P18077	P49180
P18089	Q86ME6
P18124	O01802
P18206	P19826
P18405	Q20344
P18428	O17768
P18505	O18276
P18583	Q9TYS1
P18621	Q9BL19
P18754	Q18211
P18858	Q27474
P19021	P83388
P19105	Q09510
P19174	Q22070
P19387	Q93338
P19388	Q9N5K2
P19404	Q20719
P19419	G5EDL0
P19429	Q9GYF1
P19440	Q9N5V4
P19447	Q95PZ4
P19484	H2KZZ2
P19623	B4E3X6
P19961	P91982
P20023	H2L2E9
P20042	Q21230
P20073	Q27512
P20226	P32085
P20309	Q9U7D5
P20339	P91857
P20340	Q22782
P20618	P34286
P20674	P55954
P20700	Q21443
P20711	Q95ZS2
P20719	P34684
P20794	B3WFY8
P20813	O16482
P20815	Q27519
P20849	Q86D04
P20933	Q21697
P20936	Q95XA9
P21127	Q09437
P21128	Q21109
P21281	Q19626
P21283	Q9XXU9
P21333	D0IMZ5
P21399	Q23500
P21549	Q94055
P21579	P34693
P21675	G5EGM3
P21695	P34517
P21912	Q09545
P21953	Q93619
P22003	G5EEL5
P22033	Q23381
P22059	A7DTF2
P22061	Q27873
P22102	Q20143
P22234	Q10457
P22303	P38433
P22307	G5EDP2
P22314	Q27481
P22392	Q93576
P22570	Q9U1X0
P22670	Q09555
P22695	Q22370
P22792	G5EGE7
P23025	Q21302
P23142	O77469
P23193	P52652
P23229	Q03600
P23246	B3GWA1
P23258	P34475
P23284	P52013
P23352	G5EDX1
P23378	Q21962
P23381	G5EDY2
P23396	P48152
P23434	Q20634
P23443	Q9NAH6
P23467	G5EGJ9
P23469	G5EC69
P23526	P27604
P23677	Q95Q62
P23763	O02495
P23786	G5ECS9
P23919	Q22018
P23921	Q03604
P23945	L8EC40
P23975	Q03614
P24043	G5ECE3
P24298	O01685
P24385	Q9U2M5
P24386	Q9BKQ5
P24390	P48583
P24468	G5ECR9
P24534	P34460
P24539	Q19126
P24557	Q27518
P24666	A7WK41
P24752	Q22100
P24863	Q9TYP2
P24864	O01501
P24928	P16356
P25098	Q09639
P25103	O44148
P25205	Q9XVR7
P25398	P49196
P25705	Q9XXK1
P25786	O44156
P25787	Q27488
P25788	Q09583
P25789	Q9N599
P25800	Q18208
P26038	G5EBK3
P26196	Q95YF3
P26232	P90947
P26367	G5EDS1
P26368	P90978
P26373	P91128
P26440	G5EEH6
P26572	G5EFK6
P26583	Q09390
P26599	Q18999
P26639	P52709
P26640	Q9U1Q4
P26641	P54412
P26651	Q20155
P26885	Q20107
P27037	P50488
P27105	Q19958
P27448	Q9TW45
P27449	P34546
P27540	O02219
P27544	Q9XWE9
P27635	Q09533
P27694	Q19537
P27695	G5EBR7
P27708	Q18990
P27797	P27798
P27824	P34652
P27986	G5EDP9
P28062	Q9XUV0
P28066	Q95008
P28070	P90868
P28072	Q966I8
P28288	Q18598
P28289	O01479
P28328	Q23601
P28331	Q9N4Y8
P28340	P90829
P28356	Q9XW88
P28370	P41877
P28482	P39745
P28715	O44737
P29074	P28191
P29083	G5EG49
P29084	G5EG47
P29144	Q09541
P29218	Q19420
P29350	O44180
P29353	Q9TYT3
P29375	Q23541
P29400	P17140
P29401	O17759
P29692	Q9U2H9
P29973	Q03611
P30038	G5EC31
P30039	G5ECB5
P30041	Q8MXT1
P30046	Q18785
P30047	D6RYD9
P30048	Q21824
P30049	Q09544
P30050	P61866
P30084	P34559
P30085	Q20230
P30086	O16264
P30101	G5ED07
P30153	Q09543
P30260	Q9N593
P30304	O44628
P30405	P52015
P30520	P91134
P30531	G5EF43
P30533	G5EF26
P30536	C7FZU5
P30566	Q21774
P30793	Q19980
P30838	Q86S57
P30874	Q23033
P30876	Q10578
P30968	O44731
P30988	Q09460
P31040	Q09508
P31153	P50305
P31271	P17487
P31321	P30625
P31415	Q20203
P31483	Q95QV8
P31645	Q9N3C7
P31689	O45502
P31749	Q17941
P31937	Q9XTI0
P31939	Q95QQ4
P31943	Q8MXR2
P31948	O16259
P32004	G5ECX2
P32019	O17590
P32119	H2KZL7
P32238	G4SNP8
P32243	Q9U2Z0
P32320	Q20628
P32321	P30648
P32322	Q21544
P32754	Q22633
P32780	O44499
P32929	P55216
P32969	Q95Y90
P33121	Q9N302
P33527	Q20943
P33552	Q95XM4
P33908	P90787
P33991	Q95XQ8
P33992	Q21902
P33993	O16297
P34741	P50605
P34896	P50432
P34925	G5EGT9
P34949	P34650
P34981	Q95YD7
P34998	G5EBF7
P35222	O44326
P35232	Q9BKU4
P35247	Q9XUT4
P35249	P53016
P35250	O44175
P35251	Q18841
P35268	P52819
P35269	Q17558
P35348	O44986
P35368	Q18775
P35520	Q93244
P35548	Q09604
P35555	I6Z0I7
P35557	Q19440
P35573	O62334
P35580	Q20641
P35609	Q23158
P35610	Q17498
P35611	Q9U9K0
P35637	Q18265
P35658	Q17602
P35713	Q8T3B9
P35754	Q9N456
P35869	O44712
P35914	Q95XN1
P35998	Q18787
P36404	Q19705
P36405	O45379
P36406	Q09654
P36507	Q10664
P36542	Q95XI9
P36543	Q95X44
P36544	B3WFZ2
P36578	O02056
P36776	O44952
P36871	Q21742
P36954	Q965S0
P36956	Q9XX00
P36957	O45148
P36959	O16294
P36969	H2KYJ6
P37108	O16927
P37198	O01576
P37275	G5EBU4
P37287	Q18993
P37288	O02300
P37837	Q966C7
P38117	Q9TXI4
P38405	Q7KPV0
P38567	G5ECE8
P38606	Q9XW92
P38646	P11141
P38919	Q9BL61
P39019	O18650
P39023	P50880
P39059	G5EGA4
P39210	Q7YWV6
P39656	P45971
P39748	Q9N3T2
P40222	Q22666
P40227	P46550
P40261	P34254
P40425	P41779
P40429	Q27389
P40616	Q20758
P40692	Q9XU10
P40855	P34453
P40926	O02640
P40937	P34429
P40938	Q18547
P40939	Q9GYT0
P41091	Q95XR0
P41214	Q18186
P41223	P34313
P41227	O61219
P41235	O44960
P41236	Q9N537
P41240	G5ECJ6
P41247	Q9N5Z7
P41250	Q10039
P41252	Q21926
P41743	Q19266
P42229	Q9NAD6
P42261	P34299
P42285	Q23223
P42336	Q94125
P42345	Q95Q95
P42356	Q9XW63
P42357	Q20502
P42575	P42573
P42677	Q9TXP0
P42684	P03949
P42685	O45539
P42696	Q95QL3
P42704	Q17974
P42765	O45552
P42766	P34662
P42785	P34676
P42892	O16796
P42898	Q17693
P43004	Q10901
P43034	Q9NDC9
P43146	G5EF96
P43155	Q17499
P43166	Q10462
P43246	Q9TXR4
P43250	Q09537
P43304	P90795
P43307	Q95XT5
P43308	Q22169
P43354	P41829
P43378	Q20108
P43681	Q9N587
P43686	P46502
P43897	Q20819
P45452	G5EBU3
P45844	Q11180
P45880	Q21752
P45954	O44549
P45974	P91502
P45985	Q20347
P46019	P34335
P46059	Q17758
P46063	Q9TXJ8
P46087	Q9TYV5
P46108	Q9NHC3
P46199	Q20447
P46459	Q94392
P46527	G5EEJ2
P46531	Q20535
P46776	Q9BKU5
P46777	P49405
P46778	P34334
P46779	Q21930
P46781	Q20228
P46782	P49041
P46783	O01869
P46821	Q18494
P46926	Q9XVJ2
P46937	Q19404
P46940	O17772
P46952	Q19341
P46976	H2KYQ5
P47224	Q7YWN1
P47736	H2L055
P47756	P34686
P47897	O62431
P47929	Q9N384
P47974	G5EC86
P47985	O44512
P47989	O17892
P48047	Q7JNG1
P48052	Q9BL88
P48307	G5EBJ3
P48426	Q9BL73
P48444	Q09236
P48506	Q20117
P48507	A9CZN9
P48547	G5EC00
P48553	B1V899
P48556	Q23449
P48594	A9Z1L1
P48637	Q21549
P48643	P47209
P48651	Q09643
P48723	Q20752
P48728	Q22968
P48729	P42168
P48730	Q20471
P48735	O17643
P48739	Q965T2
P48742	P20154
P48764	P35449
P48775	Q09474
P48788	Q20334
P49005	Q19366
P49146	Q20275
P49189	Q20352
P49207	A3QMC5
P49223	Q3V5K6
P49247	P41994
P49257	G5EDE8
P49281	Q21434
P49321	O17687
P49326	G5ED43
P49327	P91871
P49354	O44501
P49356	Q19752
P49366	Q9XXJ0
P49368	Q9N4J8
P49406	Q95Y83
P49407	P51485
P49411	G5ECM6
P49418	Q21004
P49419	P46562
P49447	P34465
P49458	P34642
P49459	P52478
P49585	P49583
P49588	O01541
P49589	O76618
P49591	Q18678
P49593	P49594
P49642	P34471
P49643	O02334
P49675	O17883
P49720	Q23237
P49721	P91477
P49736	Q9XXI9
P49748	Q19057
P49754	Q19954
P49755	Q20546
P49756	H2L2D0
P49768	P52166
P49770	Q9XWD5
P49773	P53795
P49802	P49809
P49821	Q17880
P49841	Q9U2Q9
P49848	Q9GZI6
P49903	O62461
P49914	Q9XWE6
P49915	Q09580
P49917	Q95YE6
P49959	Q23255
P50148	G5EGU1
P50213	Q93714
P50238	Q17522
P50395	Q2V4S2
P50416	Q9U2F2
P50458	G5EE86
P50461	H2KZV8
P50502	G5EE04
P50542	Q18426
P50579	H1UBK1
P50607	Q09306
P50613	G5EFV5
P50748	Q20849
P50750	Q9TVL3
P50897	Q20390
P50914	Q9XVE9
P50990	Q9N358
P50991	P47208
P51003	Q9U2P3
P51149	Q23146
P51157	Q9XWR6
P51159	G5EBS5
P51168	Q21974
P51170	P24585
P51398	G5EFC8
P51449	P41828
P51530	Q20371
P51531	G5EF53
P51553	Q95YD8
P51571	Q9U238
P51572	G5EBI0
P51589	O02641
P51649	O02266
P51665	O61792
P51687	Q9XTQ8
P51693	Q10651
P51787	Q9XWG9
P51788	Q9BMK9
P51790	G5EGT4
P51798	G5EC75
P51809	Q95XH1
P51817	Q7JP68
P51946	Q9N4U0
P51948	O17245
P51956	O01775
P51970	Q9BL03
P51991	Q22037
P52209	Q17761
P52298	Q93594
P52429	H2KYI9
P52434	Q19826
P52435	Q9XVH6
P52564	G5EDF7
P52566	Q20496
P52655	O44625
P52657	Q9NEX2
P52701	Q9N3T8
P52732	G5ECF4
P52746	O17582
P52756	Q9BIC2
P52757	Q965N4
P52758	Q10121
P52789	Q9XU15
P52799	G5EEE7
P52815	O18180
P52824	Q17860
P52888	O62512
P52907	P34685
P52948	G5EEH9
P52952	P41936
P53007	P34519
P53041	Q9NES8
P53350	P34331
P53355	O44997
P53367	P34445
P53384	Q93459
P53396	P53585
P53567	Q8IG69
P53582	Q965Y1
P53597	O02642
P53602	Q9U294
P53611	P41992
P53618	Q9TYL9
P53621	Q9N4H7
P53680	Q19123
P53701	P53703
P53708	P34446
P53779	Q8WQG9
P53803	Q9U3I0
P53805	P53806
P53990	G5ECX8
P53992	Q19371
P53999	Q94045
P54098	Q9U208
P54105	G5EG22
P54108	Q20603
P54136	Q19825
P54198	Q09589
P54252	O17850
P54278	G5EFG5
P54368	Q9NHZ6
P54578	Q17361
P54687	P54688
P54727	Q23451
P54802	Q9NAP6
P54803	Q95QT2
P54819	P34346
P54868	P54871
P54886	P54889
P54920	Q18921
P55010	Q22918
P55011	H8ESD5
P55036	O61742
P55039	P34280
P55055	G5EFF5
P55060	Q965V4
P55072	P54812
P55081	Q93712
