ProtA	ProtB	Label
B0041.4	C34E10.6	negative
B0041.4	C36B1.1	negative
B0041.4	C41C4.8	negative
B0041.4	C41D11.2	negative
B0041.4	C44E4.4	negative
B0041.4	C47E12.8	negative
B0041.4	C47G2.5	negative
B0041.4	C49H3.11	negative
B0041.4	C50B6.2	negative
B0041.4	C52E4.4	negative
B0041.4	C53B7.4	negative
B0041.4	CD4.3	negative
B0041.4	CD4.6	negative
B0041.4	D1007.6	negative
B0041.4	D1007.7	negative
B0041.4	D1014.3	negative
B0041.4	D1043.1	negative
B0041.4	D2013.7	negative
B0041.4	D2096.8	negative
B0041.4	DY3.2	negative
B0041.4	E01A2.2	negative
B0041.4	E04A4.7	negative
B0041.4	F01F1.8	negative
B0041.4	F01G12.5	negative
B0041.4	F02E8.1	negative
B0041.4	F10G7.2	negative
B0041.4	F10G7.3	negative
B0041.4	F10G7.8	negative
B0041.4	F17C11.9	negative
B0041.4	F21C3.5	negative
B0041.4	F22B5.2	negative
B0041.4	F23F1.8	negative
B0041.4	F23F12.6	negative
B0041.4	F25H2.9	negative
B0041.4	F25H5.4	negative
B0041.4	F26B1.2	negative
B0041.4	F26E4.1	negative
B0041.4	F27C1.7	negative
B0041.4	F28B3.8	negative
B0041.4	F28C6.6	negative
B0041.4	F29F11.6	negative
B0041.4	F29G9.5	negative
B0041.4	F33A8.1	negative
B0041.4	F33D11.10	negative
B0041.4	F35G12.12	negative
B0041.4	F35G2.4	negative
B0041.4	F36A2.6	negative
B0041.4	F37C12.11	negative
B0041.4	F37E3.1	negative
B0041.4	F38H4.9	negative
B0041.4	F39B2.6	negative
B0041.4	F40F8.10	negative
B0041.4	F42C5.8	negative
B0041.4	F43E2.8	negative
B0041.4	F46F11.2	negative
B0041.4	F46H5.3	negative
B0041.4	F48E8.5	negative
B0041.4	F48F7.1	negative
B0041.4	F49C12.8	negative
B0041.4	F52D10.3	negative
B0041.4	F53A3.3	negative
B0041.4	F54A3.3	negative
B0041.4	F54E7.2	negative
B0041.4	F55A3.3	negative
B0041.4	F55D10.2	negative
B0041.4	F56C9.1	negative
B0041.4	F56D2.6	negative
B0041.4	F56E10.4	negative
B0041.4	F56F3.5	negative
B0041.4	F56H1.4	negative
B0041.4	F57B9.10	negative
B0041.4	F58A4.9	negative
B0041.4	F58B3.5	negative
B0041.4	F58D5.1	negative
B0041.4	F58E10.3	negative
B0041.4	F58F12.1	negative
B0041.4	F59C6.5	negative
B0041.4	H06H21.3	negative
B0041.4	H20J04.5	negative
B0041.4	H28O16.1	negative
B0041.4	JC8.2	negative
B0041.4	K01C8.10	negative
B0041.4	K01G5.4	negative
B0041.4	K02B2.5	negative
B0041.4	K04D7.1	negative
B0041.4	K04G7.4	negative
B0041.4	K07A1.12	negative
B0041.4	K07A12.3	negative
B0041.4	K07C5.4	negative
B0041.4	K07D4.3	negative
B0041.4	K08C7.3	negative
B0041.4	K08D10.4	negative
B0041.4	K08F4.2	negative
B0041.4	K12C11.2	negative
B0041.4	M03C11.4	negative
B0041.4	M106.5	negative
B0041.4	M110.4	negative
B0041.4	M117.2	negative
B0041.4	M18.5	negative
B0041.4	M28.5	negative
B0041.4	R02D3.5	negative
B0041.4	R05H10.2	negative
B0041.4	R07B1.10	negative
B0041.4	R08D7.3	negative
B0041.4	R12E2.3	negative
B0041.4	R151.9	negative
B0041.4	T01C3.6	negative
B0041.4	T01G9.6	negative
B0041.4	T02G5.9	negative
B0041.4	T04C12.5	negative
B0041.4	T05C12.7	negative
B0041.4	T05F1.6	negative
B0041.4	T05H4.6	negative
B0041.4	T06D8.8	negative
B0041.4	T07A9.11	negative
B0041.4	T08B2.10	negative
B0041.4	T10B5.5	negative
B0041.4	T10E9.7	negative
B0041.4	T10F2.4	negative
B0041.4	T16G1.11	negative
B0041.4	T20G5.1	negative
B0041.4	T20G5.2	negative
B0041.4	T21H3.3	negative
B0041.4	T22D1.9	negative
B0041.4	T22F3.4	negative
B0041.4	T23D8.4	negative
B0041.4	T27E9.1	negative
B0041.4	T28D9.10	negative
B0041.4	W01B11.3	negative
B0041.4	W04D2.1	negative
B0041.4	W08D2.7	negative
B0041.4	Y102A5A.1	negative
B0041.4	Y105E8A.16	negative
B0041.4	Y106G6H.2	negative
B0041.4	Y111B2A.18	negative
B0041.4	Y113G7B.17	negative
B0041.4	Y116A8C.42	negative
B0041.4	Y18D10A.5	negative
B0041.4	Y22D7AL.5	negative
B0041.4	Y37E3.10	negative
B0041.4	Y38A10A.5	negative
B0041.4	Y39A1C.3	negative
B0041.4	Y39G10AR.8	negative
B0041.4	Y41C4A.10	negative
B0041.4	Y41D4B.5	negative
B0041.4	Y43B11AR.4	negative
B0041.4	Y46G5A.4	negative
B0041.4	Y46H3A.7	negative
B0041.4	Y47D3B.10	negative
B0041.4	Y48B6A.11	negative
B0041.4	Y48G9A.3	negative
B0041.4	Y49E10.1	negative
B0041.4	Y50D7A.4	negative
B0041.4	Y50D7A.7	negative
B0041.4	Y53G8AL.2	negative
B0041.4	Y54E10BL.5	negative
B0041.4	Y54E2A.11	negative
B0041.4	Y54E2A.4	negative
B0041.4	Y54F10AM.5	negative
B0041.4	Y54G9A.6	negative
B0041.4	Y55B1AR.1	negative
B0041.4	Y55F3AM.15	negative
B0041.4	Y56A3A.19	negative
B0041.4	Y57G11C.16	negative
B0041.4	Y62E10A.12	negative
B0041.4	Y66D12A.22	negative
B0041.4	Y71A12B.1	negative
B0041.4	Y71F9AL.16	negative
B0041.4	Y71G12B.11	negative
B0041.4	Y71H2B.10	negative
B0041.4	Y73B6BL.9	negative
B0041.4	Y74C10AR.1	negative
B0041.4	Y75B12B.2	negative
B0041.4	Y75B8A.30	negative
B0041.4	Y87G2A.6	negative
B0041.4	ZC434.2	negative
B0041.4	ZC434.5	negative
B0041.4	ZK20.5	negative
B0041.4	ZK328.2	negative
B0041.4	ZK945.2	negative
B0205.11	B0205.7	negative
B0205.11	B0412.4	negative
B0205.11	B0432.2	negative
B0205.11	C01G8.5	negative
B0205.11	C04F12.4	negative
B0205.11	C05G5.4	negative
B0205.11	C07G2.3	negative
B0205.11	C07H6.5	negative
B0205.11	C08H9.2	negative
B0205.11	C09H10.2	negative
B0205.11	C14C10.4	negative
B0205.11	C23G10.3	negative
B0205.11	C27H6.2	negative
B0205.11	C30C11.2	negative
B0205.11	C34E10.6	negative
B0205.11	C35D10.16	negative
B0205.11	C36B1.4	negative
B0205.11	C41D11.2	negative
B0205.11	C44E4.4	negative
B0205.11	D1007.6	negative
B0205.11	D2096.8	negative
B0205.11	E04A4.8	negative
B0205.11	F18A1.5	negative
B0205.11	F22B5.2	negative
B0205.11	F23F1.8	negative
B0205.11	F23H11.3	negative
B0205.11	F25H5.4	negative
B0205.11	F26D10.3	negative
B0205.11	F31D4.3	negative
B0205.11	F37C12.11	negative
B0205.11	F46H5.3	negative
B0205.11	F47D12.4	negative
B0205.11	F48E8.5	negative
B0205.11	F48F7.1	negative
B0205.11	F49C12.8	negative
B0205.11	F54C9.5	negative
B0205.11	F57B9.10	negative
B0205.11	F58E10.3	negative
B0205.11	H27M09.2	negative
B0205.11	H28O16.1	negative
B0205.11	K04D7.1	negative
B0205.11	K07D4.3	negative
B0205.11	M01F1.2	negative
B0205.11	M18.7	negative
B0205.11	R07B1.10	negative
B0205.11	R07G3.1	negative
B0205.11	R11A8.6	negative
B0205.11	R13A5.8	negative
B0205.11	R74.1	negative
B0205.11	T01B7.4	negative
B0205.11	T01G9.6	negative
B0205.11	T07A9.11	negative
B0205.11	T08B2.10	negative
B0205.11	T10B5.5	negative
B0205.11	T20G5.1	negative
B0205.11	W01B11.3	negative
B0205.11	W03D2.4	negative
B0205.11	W09C5.6	negative
B0205.11	Y105E8A.16	negative
B0205.11	Y111B2A.18	negative
B0205.11	Y116A8C.42	negative
B0205.11	Y22D7AL.5	negative
B0205.11	Y37E3.8	negative
B0205.11	Y49E10.15	negative
B0205.11	Y54E2A.11	negative
B0205.11	Y54G9A.6	negative
B0205.11	Y57G11C.16	negative
B0205.11	Y71F9B.4	negative
B0205.11	Y71H2AM.23	negative
B0205.11	Y87G2A.6	negative
B0205.11	ZK20.5	negative
B0205.3	B0250.1	negative
B0205.3	B0261.4	negative
B0205.3	B0393.1	negative
B0205.3	B0412.4	negative
B0205.3	B0432.2	negative
B0205.3	B0511.10	negative
B0205.3	C06B8.8	negative
B0205.3	C07G2.3	negative
B0205.3	C08B6.9	negative
B0205.3	C14B1.4	negative
B0205.3	C14B9.7	negative
B0205.3	C17G10.9	negative
B0205.3	C27A2.2	negative
B0205.3	C36B1.1	negative
B0205.3	C37A2.7	negative
B0205.3	C41C4.8	negative
B0205.3	C42C1.14	negative
B0205.3	C44E4.4	negative
B0205.3	C47E12.8	negative
B0205.3	C47G2.5	negative
B0205.3	C49H3.11	negative
B0205.3	C50B6.2	negative
B0205.3	C52E4.3	negative
B0205.3	C53H9.1	negative
B0205.3	C56C10.3	negative
B0205.3	D1007.12	negative
B0205.3	D2013.7	negative
B0205.3	D2096.8	negative
B0205.3	DY3.2	negative
B0205.3	F07D10.1	negative
B0205.3	F10E7.7	negative
B0205.3	F10G7.2	negative
B0205.3	F10G7.3	negative
B0205.3	F17C11.9	negative
B0205.3	F21C3.5	negative
B0205.3	F23H11.3	negative
B0205.3	F25H2.10	negative
B0205.3	F26D10.3	negative
B0205.3	F26E4.1	negative
B0205.3	F28B3.8	negative
B0205.3	F28C6.7	negative
B0205.3	F29F11.6	negative
B0205.3	F31D4.3	negative
B0205.3	F35F11.1	negative
B0205.3	F37C12.4	negative
B0205.3	F37E3.1	negative
B0205.3	F39B2.6	negative
B0205.3	F43G9.5	negative
B0205.3	F45E1.6	negative
B0205.3	F47B10.1	negative
B0205.3	F52D10.3	negative
B0205.3	F53A3.3	negative
B0205.3	F54A3.3	negative
B0205.3	F54C9.5	negative
B0205.3	F54E7.2	negative
B0205.3	F56A8.6	negative
B0205.3	F56C9.1	negative
B0205.3	F56E10.4	negative
B0205.3	F56F3.5	negative
B0205.3	F58D5.1	negative
B0205.3	F59A2.3	negative
B0205.3	H27M09.2	negative
B0205.3	H39E23.1	negative
B0205.3	JC8.2	negative
B0205.3	K01C8.10	negative
B0205.3	K04G2.1	negative
B0205.3	K07A1.12	negative
B0205.3	K07C5.4	negative
B0205.3	K08C7.3	negative
B0205.3	K12H4.3	negative
B0205.3	M110.4	negative
B0205.3	R08C7.3	negative
B0205.3	R08D7.3	negative
B0205.3	R11D1.8	negative
B0205.3	R151.3	negative
B0205.3	R151.9	negative
B0205.3	T01C3.6	negative
B0205.3	T01G9.6	negative
B0205.3	T02G5.9	negative
B0205.3	T04D1.3	negative
B0205.3	T05E11.1	negative
B0205.3	T05F1.6	negative
B0205.3	T10F2.4	negative
B0205.3	T16G1.11	negative
B0205.3	T20G5.2	negative
B0205.3	T21H3.3	negative
B0205.3	T23D8.4	negative
B0205.3	T28D9.10	negative
B0205.3	W04D2.1	negative
B0205.3	W08F4.8	negative
B0205.3	Y102A5A.1	negative
B0205.3	Y106G6H.2	negative
B0205.3	Y106G6H.3	negative
B0205.3	Y113G7B.17	negative
B0205.3	Y116A8C.42	negative
B0205.3	Y24D9A.4	negative
B0205.3	Y38A10A.5	negative
B0205.3	Y39G10AR.8	negative
B0205.3	Y41C4A.10	negative
B0205.3	Y41D4B.5	negative
B0205.3	Y43B11AR.4	negative
B0205.3	Y45F10D.12	negative
B0205.3	Y46G5A.4	negative
B0205.3	Y46H3A.7	negative
B0205.3	Y48B6A.2	negative
B0205.3	Y48E1B.5	negative
B0205.3	Y48G9A.3	negative
B0205.3	Y54E2A.11	negative
B0205.3	Y54F10AM.5	negative
B0205.3	Y55B1AR.1	negative
B0205.3	Y56A3A.19	negative
B0205.3	Y57G11C.34	negative
B0205.3	Y69A2AR.18	negative
B0205.3	Y71A12B.1	negative
B0205.3	Y71D11A.2	negative
B0205.3	Y71G12B.11	negative
B0205.3	Y71H2AM.19	negative
B0205.3	Y79H2A.6	negative
B0205.3	Y92C3B.2	negative
B0205.3	ZC434.2	negative
B0205.3	ZC434.5	negative
B0205.3	ZK652.4	negative
B0205.7	B0336.10	negative
B0205.7	B0348.6	negative
B0205.7	B0393.1	negative
B0205.7	B0412.4	negative
B0205.7	B0432.2	negative
B0205.7	B0464.1	negative
B0205.7	B0511.10	negative
B0205.7	C04F12.4	negative
B0205.7	C05G5.4	negative
B0205.7	C06B8.8	negative
B0205.7	C07G2.3	negative
B0205.7	C07H6.5	negative
B0205.7	C08H9.2	negative
B0205.7	C09B8.6	negative
B0205.7	C09D4.5	negative
B0205.7	C09G12.9	negative
B0205.7	C09H10.2	negative
B0205.7	C14A4.14	negative
B0205.7	C14B9.7	negative
B0205.7	C14C10.4	negative
B0205.7	C15H9.6	negative
B0205.7	C16H3.2	negative
B0205.7	C17G10.9	negative
B0205.7	C18E3.5	negative
B0205.7	C23G10.3	negative
B0205.7	C23G10.4	negative
B0205.7	C25A1.10	negative
B0205.7	C26D10.2	negative
B0205.7	C27A2.2	negative
B0205.7	C27D11.1	negative
B0205.7	C30C11.2	negative
B0205.7	C32E8.2	negative
B0205.7	C33A12.1	negative
B0205.7	C34E10.6	negative
B0205.7	C35D10.16	negative
B0205.7	C36B1.4	negative
B0205.7	C37A2.7	negative
B0205.7	C41C4.8	negative
B0205.7	C41D11.2	negative
B0205.7	C44E4.4	negative
B0205.7	C47B2.5	negative
B0205.7	C49H3.11	negative
B0205.7	C52E4.3	negative
B0205.7	C52E4.4	negative
B0205.7	C53B7.4	negative
B0205.7	C53H9.1	negative
B0205.7	CD4.3	negative
B0205.7	D1007.12	negative
B0205.7	D1007.6	negative
B0205.7	D2007.4	negative
B0205.7	D2013.7	negative
B0205.7	D2096.3	negative
B0205.7	D2096.8	negative
B0205.7	DY3.2	negative
B0205.7	E04A4.7	negative
B0205.7	E04A4.8	negative
B0205.7	F01F1.8	negative
B0205.7	F01G12.5	negative
B0205.7	F02E8.1	negative
B0205.7	F07D10.1	negative
B0205.7	F08G12.2	negative
B0205.7	F10B5.1	negative
B0205.7	F10G7.2	negative
B0205.7	F13B10.2	negative
B0205.7	F13D12.6	negative
B0205.7	F17C11.9	negative
B0205.7	F18A1.5	negative
B0205.7	F21C3.5	negative
B0205.7	F22B5.2	negative
B0205.7	F23F1.8	negative
B0205.7	F23F12.6	negative
B0205.7	F23H11.3	negative
B0205.7	F25H2.10	negative
B0205.7	F25H5.4	negative
B0205.7	F26D10.3	negative
B0205.7	F27C1.7	negative
B0205.7	F28B3.7	negative
B0205.7	F28C6.7	negative
B0205.7	F29F11.6	negative
B0205.7	F29G9.5	negative
B0205.7	F31D4.3	negative
B0205.7	F32E10.4	negative
B0205.7	F36A2.6	negative
B0205.7	F36F2.6	negative
B0205.7	F37C12.11	negative
B0205.7	F37C12.4	negative
B0205.7	F37C12.9	negative
B0205.7	F38H4.9	negative
B0205.7	F39B2.6	negative
B0205.7	F40F11.1	negative
B0205.7	F40F8.10	negative
B0205.7	F41C3.5	negative
B0205.7	F42A6.7	negative
B0205.7	F42C5.8	negative
B0205.7	F42G9.1	negative
B0205.7	F43E2.8	negative
B0205.7	F45E1.6	negative
B0205.7	F46F11.2	negative
B0205.7	F46H5.3	negative
B0205.7	F47D12.4	negative
B0205.7	F48E8.5	negative
B0205.7	F49C12.8	negative
B0205.7	F52B5.6	negative
B0205.7	F52D10.3	negative
B0205.7	F53G12.10	negative
B0205.7	F53H8.2	negative
B0205.7	F54A3.3	negative
B0205.7	F54C4.1	negative
B0205.7	F54C9.5	negative
B0205.7	F54E7.2	negative
B0205.7	F56B3.8	negative
B0205.7	F56C9.1	negative
B0205.7	F56E10.4	negative
B0205.7	F56F3.5	negative
B0205.7	F56H1.4	negative
B0205.7	F57B9.10	negative
B0205.7	F58D5.1	negative
B0205.7	F58E10.3	negative
B0205.7	F58F12.1	negative
B0205.7	H06H21.3	negative
B0205.7	H20J04.5	negative
B0205.7	H27M09.2	negative
B0205.7	H28O16.1	negative
B0205.7	JC8.3	negative
B0205.7	K01C8.10	negative
B0205.7	K01G5.4	negative
B0205.7	K02B2.5	negative
B0205.7	K04D7.1	negative
B0205.7	K04G7.4	negative
B0205.7	K04H4.1	negative
B0205.7	K07A1.12	negative
B0205.7	K07A12.3	negative
B0205.7	K07C5.4	negative
B0205.7	K07D4.3	negative
B0205.7	K08F4.2	negative
B0205.7	K11E8.1	negative
B0205.7	K11H12.2	negative
B0205.7	K12C11.2	negative
B0205.7	K12H4.3	negative
B0205.7	M01E5.5	negative
B0205.7	M01F1.2	negative
B0205.7	M110.4	negative
B0205.7	M18.7	negative
B0205.7	M28.5	negative
B0205.7	R07B1.10	negative
B0205.7	R07G3.1	negative
B0205.7	R08D7.3	negative
B0205.7	R11A8.6	negative
B0205.7	R11D1.8	negative
B0205.7	R12E2.3	negative
B0205.7	R151.3	negative
B0205.7	R74.1	negative
B0205.7	T01B7.4	negative
B0205.7	T01C3.6	negative
B0205.7	T02G5.9	negative
B0205.7	T04C10.2	negative
B0205.7	T04C12.5	negative
B0205.7	T05C12.7	negative
B0205.7	T05E11.1	negative
B0205.7	T06D8.8	negative
B0205.7	T07A9.11	negative
B0205.7	T07D3.7	negative
B0205.7	T08B2.10	negative
B0205.7	T10B5.5	negative
B0205.7	T10F2.4	negative
B0205.7	T12D8.6	negative
B0205.7	T16G1.11	negative
B0205.7	T20G5.1	negative
B0205.7	T20G5.2	negative
B0205.7	T21B10.7	negative
B0205.7	T21H3.3	negative
B0205.7	T22D1.10	negative
B0205.7	T22D1.9	negative
B0205.7	T23D8.4	negative
B0205.7	T24B8.1	negative
B0205.7	T28D9.10	negative
B0205.7	W01B11.3	negative
B0205.7	W01D2.1	negative
B0205.7	W03D2.4	negative
B0205.7	W09C5.6	negative
B0205.7	W10C8.5	negative
B0205.7	Y102A5A.1	negative
B0205.7	Y105E8A.16	negative
B0205.7	Y106G6H.14	negative
B0205.7	Y106G6H.3	negative
B0205.7	Y111B2A.18	negative
B0205.7	Y113G7B.17	negative
B0205.7	Y116A8C.42	negative
B0205.7	Y22D7AL.5	negative
B0205.7	Y24D9A.4	negative
B0205.7	Y37E3.10	negative
B0205.7	Y37E3.8	negative
B0205.7	Y38A10A.5	negative
B0205.7	Y39A1C.3	negative
B0205.7	Y41D4B.5	negative
B0205.7	Y41E3.4	negative
B0205.7	Y43B11AR.4	negative
B0205.7	Y45F10D.12	negative
B0205.7	Y45G12B.1	negative
B0205.7	Y46G5A.4	negative
B0205.7	Y48B6A.2	negative
B0205.7	Y48G8AL.8	negative
B0205.7	Y49E10.1	negative
B0205.7	Y49E10.15	negative
B0205.7	Y50D7A.4	negative
B0205.7	Y50D7A.7	negative
B0205.7	Y54E10BL.5	negative
B0205.7	Y54E2A.11	negative
B0205.7	Y54G9A.6	negative
B0205.7	Y57G11C.16	negative
B0205.7	Y57G11C.34	negative
B0205.7	Y69A2AR.18	negative
B0205.7	Y71F9AL.13	negative
B0205.7	Y71F9AL.16	negative
B0205.7	Y71F9B.4	negative
B0205.7	Y71G12B.11	negative
B0205.7	Y71H10A.1	negative
B0205.7	Y71H2AM.23	negative
B0205.7	Y75B12B.2	negative
B0205.7	Y87G2A.6	negative
B0205.7	ZC434.2	negative
B0205.7	ZC434.5	negative
B0205.7	ZC434.8	negative
B0205.7	ZK131.8	negative
B0205.7	ZK20.5	negative
B0205.7	ZK328.2	negative
B0205.7	ZK652.4	negative
B0250.1	B0393.1	negative
B0250.1	B0412.4	negative
B0250.1	B0432.2	negative
B0250.1	B0511.10	negative
B0250.1	C01G8.5	negative
B0250.1	C05G5.4	negative
B0250.1	C07G2.3	negative
B0250.1	C08B6.9	negative
B0250.1	C08H9.2	negative
B0250.1	C09H10.2	negative
B0250.1	C15H9.6	negative
B0250.1	C23G10.3	negative
B0250.1	C26D10.2	negative
B0250.1	C27D11.1	negative
B0250.1	C30C11.2	negative
B0250.1	C30C11.4	negative
B0250.1	C34E10.6	negative
B0250.1	C36B1.1	negative
B0250.1	C36B1.4	negative
B0250.1	C44E4.4	negative
B0250.1	C47B2.5	negative
B0250.1	C47E12.8	negative
B0250.1	C47G2.5	negative
B0250.1	C49H3.11	negative
B0250.1	C50B6.2	negative
B0250.1	CD4.6	negative
B0250.1	D1007.6	negative
B0250.1	D2013.7	negative
B0250.1	D2096.8	negative
B0250.1	DY3.2	negative
B0250.1	E04A4.7	negative
B0250.1	F02E8.1	negative
B0250.1	F10G7.2	negative
B0250.1	F10G7.3	negative
B0250.1	F17C11.9	negative
B0250.1	F21C3.5	negative
B0250.1	F22B5.2	negative
B0250.1	F23F1.8	negative
B0250.1	F25H5.4	negative
B0250.1	F26D10.3	negative
B0250.1	F26E4.1	negative
B0250.1	F27C1.7	negative
B0250.1	F28B3.8	negative
B0250.1	F28D1.7	negative
B0250.1	F29F11.6	negative
B0250.1	F36A2.6	negative
B0250.1	F37C12.11	negative
B0250.1	F37C12.9	negative
B0250.1	F37E3.1	negative
B0250.1	F38H4.9	negative
B0250.1	F39B2.6	negative
B0250.1	F40F8.10	negative
B0250.1	F41C3.5	negative
B0250.1	F42C5.8	negative
B0250.1	F43E2.8	negative
B0250.1	F46F11.2	negative
B0250.1	F46H5.3	negative
B0250.1	F48E8.5	negative
B0250.1	F49C12.8	negative
B0250.1	F53A3.3	negative
B0250.1	F54A3.3	negative
B0250.1	F54E7.2	negative
B0250.1	F55D10.2	negative
B0250.1	F56C9.1	negative
B0250.1	F56E10.4	negative
B0250.1	F56F3.5	negative
