IDA	IDB	Class
B0025.1	C54H2.3	negative
B0025.1	C55A6.9	negative
B0025.1	C55B7.5	negative
B0025.1	C55B7.9	negative
B0025.1	C56C10.3	negative
B0025.1	C56G7.1	negative
B0025.1	CD4.3	negative
B0025.1	CD4.4	negative
B0025.1	CD4.6	negative
B0025.1	CD4.7	negative
B0025.1	D1007.12	negative
B0025.1	D1007.16	negative
B0025.1	D1007.6	negative
B0025.1	D1014.8	negative
B0025.1	D1043.1	negative
B0025.1	D1046.1	negative
B0025.1	D1054.15	negative
B0025.1	D1054.2	negative
B0025.1	D1081.8	negative
B0025.1	D2007.4	negative
B0025.1	D2013.5	negative
B0025.1	D2013.7	negative
B0025.1	D2013.8	negative
B0025.1	D2021.1	negative
B0025.1	D2024.6	negative
B0025.1	D2030.2	negative
B0025.1	D2030.4	negative
B0025.1	D2045.6	negative
B0025.1	D2085.6	negative
B0025.1	D2089.4	negative
B0025.1	D2092.2	negative
B0025.1	DY3.2	negative
B0025.1	E01A2.2	negative
B0025.1	E01H11.1	negative
B0025.1	E02A10.1	negative
B0025.1	E02H1.8	negative
B0025.1	E04A4.5	negative
B0025.1	E04A4.8	negative
B0025.1	EEED8.7	negative
B0025.1	EEED8.9	negative
B0025.1	F01F1.1	negative
B0025.1	F01F1.7	negative
B0025.1	F01F1.8	negative
B0025.1	F01G4.1	negative
B0025.1	F01G4.3	negative
B0025.1	F02D8.3	negative
B0025.1	F02E8.1	negative
B0025.1	F02E8.5	negative
B0025.1	F02E9.4	negative
B0025.1	F07A11.6	negative
B0025.1	F07D10.1	negative
B0025.1	F08B4.1	negative
B0025.1	F08B4.5	negative
B0025.1	F09C3.1	negative
B0025.1	F09E5.1	negative
B0025.1	F09E5.5	negative
B0025.1	F09E8.3	negative
B0025.1	F09G2.4	negative
B0025.1	F09G8.3	negative
B0025.1	F10B5.1	negative
B0025.1	F10B5.6	negative
B0025.1	F10B5.8	negative
B0025.1	F10C2.4	negative
B0025.1	F10C5.1	negative
B0025.1	F10E7.7	negative
B0025.1	F10E9.5	negative
B0025.1	F10G7.2	negative
B0025.1	F10G7.8	negative
B0025.1	F10G8.7	negative
B0025.1	F10G8.8	negative
B0025.1	F11A10.8	negative
B0025.1	F11A6.1	negative
B0025.1	F11C7.4	negative
B0025.1	F11H8.1	negative
B0025.1	F12F6.7	negative
B0025.1	F13B10.2	negative
B0025.1	F13B9.1	negative
B0025.1	F13B9.8	negative
B0025.1	F13D12.7	negative
B0025.1	F13G3.11	negative
B0025.1	F14B4.3	negative
B0025.1	F14E5.2	negative
B0025.1	F14F3.2	negative
B0025.1	F15C11.2	negative
B0025.1	F15D3.7	negative
B0025.1	F17C11.7	negative
B0025.1	F17C11.8	negative
B0025.1	F17C11.9	negative
B0025.1	F17E5.1	negative
B0025.1	F18A1.5	negative
B0025.1	F18C12.1	negative
B0025.1	F18C5.2	negative
B0025.1	F18E2.3	negative
B0025.1	F19B6.2	negative
B0025.1	F19F10.12	negative
B0025.1	F20C5.2	negative
B0025.1	F20D12.4	negative
B0025.1	F21C3.5	negative
B0025.1	F21D5.5	negative
B0025.1	F21D5.8	negative
B0025.1	F21H12.1	negative
B0025.1	F22B5.2	negative
B0025.1	F22B5.7	negative
B0025.1	F22D3.6	negative
B0025.1	F22D6.4	negative
B0025.1	F23B12.6	negative
B0025.1	F23B12.8	negative
B0025.1	F23B2.13	negative
B0025.1	F23B2.6	negative
B0025.1	F23C8.6	negative
B0025.1	F23F1.5	negative
B0025.1	F23F1.8	negative
B0025.1	F23F12.6	negative
B0025.1	F23H11.3	negative
B0025.1	F23H12.2	negative
B0025.1	F25B5.7	negative
B0025.1	F25D7.1	negative
B0025.1	F25G6.2	negative
B0025.1	F25H2.10	negative
B0025.1	F25H2.9	negative
B0025.1	F25H5.6	negative
B0025.1	F26A3.2	negative
B0025.1	F26B1.2	negative
B0025.1	F26D10.3	negative
B0025.1	F26D11.11	negative
B0025.1	F26E4.1	negative
B0025.1	F26E4.10	negative
B0025.1	F26E4.11	negative
B0025.1	F26F12.7	negative
B0025.1	F26F4.10	negative
B0025.1	F26F4.11	negative
B0025.1	F26H11.2	negative
B0025.1	F26H9.6	negative
B0025.1	F27C1.7	negative
B0025.1	F27C8.1	negative
B0025.1	F28A10.6	negative
B0025.1	F28B3.7	negative
B0025.1	F28B3.8	negative
B0025.1	F28C6.3	negative
B0025.1	F28C6.6	negative
B0025.1	F28C6.7	negative
B0025.1	F28D1.10	negative
B0025.1	F28D1.7	negative
B0025.1	F28D9.1	negative
B0025.1	F28F5.3	negative
B0025.1	F28F8.3	negative
B0025.1	F28F9.1	negative
B0025.1	F29B9.10	negative
B0025.1	F29C12.3	negative
B0025.1	F29D10.4	negative
B0025.1	F29F11.6	negative
B0025.1	F29G9.3	negative
B0025.1	F29G9.5	negative
B0025.1	F30F8.8	negative
B0025.1	F31C3.5	negative
B0025.1	F31D4.1	negative
B0025.1	F31E3.3	negative
B0025.1	F31E8.3	negative
B0025.1	F32A11.2	negative
B0025.1	F32A5.7	negative
B0025.1	F32D1.10	negative
B0025.1	F32H2.2	negative
B0025.1	F32H2.4	negative
B0025.1	F33C8.3	negative
B0025.1	F33D11.9	negative
B0025.1	F33D4.1	negative
B0025.1	F33D4.2	negative
B0025.1	F33D4.5	negative
B0025.1	F33D4.8	negative
B0025.1	F33H2.5	negative
B0025.1	F35F11.1	negative
B0025.1	F35G12.12	negative
B0025.1	F35G12.8	negative
B0025.1	F35G2.4	negative
B0025.1	F35H12.3	negative
B0025.1	F36A2.13	negative
B0025.1	F36A2.6	negative
B0025.1	F36A4.7	negative
B0025.1	F36F2.4	negative
B0025.1	F36F2.6	negative
B0025.1	F37A4.2	negative
B0025.1	F37A4.8	negative
B0025.1	F37C12.11	negative
B0025.1	F37C12.13	negative
B0025.1	F37C12.4	negative
B0025.1	F37C12.9	negative
B0025.1	F37D6.1	negative
B0025.1	F37E3.1	negative
B0025.1	F38B7.1	negative
B0025.1	F38H4.9	negative
B0025.1	F39B2.2	negative
B0025.1	F39B2.4	negative
B0025.1	F39B2.6	negative
B0025.1	F39G3.7	negative
B0025.1	F39H11.3	negative
B0025.1	F39H11.5	negative
B0025.1	F40F11.1	negative
B0025.1	F40F8.10	negative
B0025.1	F40F8.9	negative
B0025.1	F40G9.17	negative
B0025.1	F41C3.5	negative
B0025.1	F41E6.9	negative
B0025.1	F41H10.6	negative
B0025.1	F42C5.8	negative
B0025.1	F42G10.2	negative
B0025.1	F43C1.2	negative
B0025.1	F43C1.6	negative
B0025.1	F43E2.2	negative
B0025.1	F43G9.5	negative
B0025.1	F43G9.6	negative
B0025.1	F43H9.2	negative
B0025.1	F44B9.4	negative
B0025.1	F44B9.8	negative
B0025.1	F44G4.4	negative
B0025.1	F44G4.8	negative
B0025.1	F45D3.5	negative
B0025.1	F45E1.6	negative
B0025.1	F45E12.2	negative
B0025.1	F45G2.3	negative
B0025.1	F45H11.2	negative
B0025.1	F46A9.5	negative
B0025.1	F46B6.3	negative
B0025.1	F46B6.6	negative
B0025.1	F47A4.2	negative
B0025.1	F47B10.1	negative
B0025.1	F47D12.4	negative
B0025.1	F48D6.1	negative
B0025.1	F48E8.5	negative
B0025.1	F48E8.7	negative
B0025.1	F48F7.1	negative
B0025.1	F49C12.8	negative
B0025.1	F52B10.1	negative
B0025.1	F52B5.6	negative
B0025.1	F52C12.1	negative
B0025.1	F52D10.3	negative
B0025.1	F52E4.7	negative
B0025.1	F52F12.3	negative
B0025.1	F53A3.2	negative
B0025.1	F53A3.3	negative
B0025.1	F53F4.10	negative
B0025.1	F53G12.10	negative
B0025.1	F53G2.7	negative
B0025.1	F53H1.1	negative
B0025.1	F53H8.1	negative
B0025.1	F54A3.3	negative
B0025.1	F54A5.3	negative
B0025.1	F54C4.1	negative
B0025.1	F54C4.2	negative
B0025.1	F54C9.5	negative
B0025.1	F54D5.11	negative
B0025.1	F54E7.2	negative
B0025.1	F54E7.3	negative
B0025.1	F54E7.7	negative
B0025.1	F54F2.1	negative
B0025.1	F54G8.3	negative
B0025.1	F55A11.3	negative
B0025.1	F55A3.3	negative
B0025.1	F55B12.3	negative
B0025.1	F55C10.1	negative
B0025.1	F56A11.1	negative
B0025.1	F56A8.7	negative
B0025.1	F56B3.4	negative
B0025.1	F56B3.8	negative
B0025.1	F56C9.1	negative
B0025.1	F56D1.3	negative
B0025.1	F56D2.6	negative
B0025.1	F56E10.4	negative
B0025.1	F56F3.5	negative
B0025.1	F56H1.4	negative
B0025.1	F57B10.10	negative
B0025.1	F57B9.10	negative
B0025.1	F58A3.1	negative
B0025.1	F58A4.4	negative
B0025.1	F58A4.8	negative
B0025.1	F58A4.9	negative
B0025.1	F58B3.5	negative
B0025.1	F58B3.7	negative
B0025.1	F58D5.1	negative
B0025.1	F58E10.3	negative
B0025.1	F58F12.1	negative
B0025.1	F58F6.4	negative
B0025.1	F58G11.5	negative
B0025.1	F59A2.3	negative
B0025.1	F59A3.3	negative
B0025.1	F59C6.4	negative
B0025.1	F59C6.5	negative
B0025.1	F59E10.1	negative
B0025.1	F59G1.3	negative
B0025.1	H06I04.4	negative
B0025.1	H06O01.1	negative
B0025.1	H12C20.2	negative
B0025.1	H14E04.5	negative
B0025.1	H19N07.1	negative
B0025.1	H20J04.2	negative
B0025.1	H20J04.5	negative
B0025.1	H22K11.4	negative
B0025.1	H25P06.2	negative
B0025.1	H26D21.1	negative
B0025.1	H26D21.2	negative
B0025.1	H27M09.2	negative
B0025.1	H28O16.1	negative
B0025.1	H28O16.2	negative
B0025.1	H38K22.1	negative
B0025.1	JC8.3	negative
B0025.1	K01A2.1	negative
B0025.1	K01C8.10	negative
B0025.1	K01C8.6	negative
B0025.1	K01G5.4	negative
B0025.1	K02B12.1	negative
B0025.1	K02B2.5	negative
B0025.1	K02D10.5	negative
B0025.1	K02F2.3	negative
B0025.1	K02F3.11	negative
B0025.1	K03A1.1	negative
B0025.1	K03D10.3	negative
B0025.1	K03H1.2	negative
B0025.1	K04A8.6	negative
B0025.1	K04C2.4	negative
B0025.1	K04G2.1	negative
B0025.1	K04G7.10	negative
B0025.1	K04G7.3	negative
B0025.1	K04G7.4	negative
B0025.1	K05C4.6	negative
B0025.1	K06H7.6	negative
B0025.1	K07A1.12	negative
B0025.1	K07A12.3	negative
B0025.1	K07C11.9	negative
B0025.1	K07C5.1	negative
B0025.1	K07D4.3	negative
B0025.1	K07E3.8	negative
B0025.1	K07G5.2	negative
B0025.1	K08A8.3	negative
B0025.1	K08B4.1	negative
B0025.1	K08C7.3	negative
B0025.1	K08D10.4	negative
B0025.1	K08D12.1	negative
B0025.1	K08E3.6	negative
B0025.1	K08E3.7	negative
B0025.1	K08E4.1	negative
B0025.1	K08F11.3	negative
B0025.1	K08F4.1	negative
B0025.1	K08F8.6	negative
B0025.1	K08H2.6	negative
B0025.1	K09A9.4	negative
B0025.1	K09H9.2	negative
B0025.1	K10B2.1	negative
B0025.1	K10B3.10	negative
B0025.1	K10B3.8	negative
B0025.1	K10C8.1	negative
B0025.1	K10D2.1	negative
B0025.1	K11D12.2	negative
B0025.1	K11D2.3	negative
B0025.1	K11E4.4	negative
B0025.1	K11H12.2	negative
B0025.1	K12C11.2	negative
B0025.1	K12D12.1	negative
B0025.1	K12H4.8	negative
B0025.1	M01B12.3	negative
B0025.1	M01D7.7	negative
B0025.1	M01E5.5	negative
B0025.1	M01F1.2	negative
B0025.1	M03C11.4	negative
B0025.1	M03D4.1	negative
B0025.1	M04B2.3	negative
B0025.1	M106.1	negative
B0025.1	M106.5	negative
B0025.1	M18.5	negative
B0025.1	M79.1	negative
B0025.1	M88.2	negative
B0025.1	MTCE.11	negative
B0025.1	MTCE.12	negative
B0025.1	MTCE.25	negative
B0025.1	MTCE.31	negative
B0025.1	MTCE.35	negative
B0025.1	R01H10.1	negative
B0025.1	R01H2.6	negative
B0025.1	R02D3.2	negative
B0025.1	R02D3.3	negative
B0025.1	R02D3.5	negative
B0025.1	R02E12.2	negative
B0025.1	R06A4.7	negative
B0025.1	R06C7.7	negative
B0025.1	R06F6.2	negative
B0025.1	R07B5.9	negative
B0025.1	R07E5.14	negative
B0025.1	R07E5.3	negative
B0025.1	R07E5.8	negative
B0025.1	R07G3.1	negative
B0025.1	R08C7.3	negative
B0025.1	R08D7.3	negative
B0025.1	R09B3.1	negative
B0025.1	R10A10.2	negative
B0025.1	R10E11.1	negative
B0025.1	R10E4.4	negative
B0025.1	R119.4	negative
B0025.1	R119.6	negative
B0025.1	R11A5.1	negative
B0025.1	R11A8.4	negative
B0025.1	R11A8.6	negative
B0025.1	R11D1.8	negative
B0025.1	R11D1.9	negative
B0025.1	R11H6.5	negative
B0025.1	R12B2.1	negative
B0025.1	R12B2.5	negative
B0025.1	R12E2.12	negative
B0025.1	R12E2.3	negative
B0025.1	R13A5.8	negative
B0025.1	R144.2	negative
B0025.1	R144.4	negative
B0025.1	R144.9	negative
B0025.1	R151.3	negative
B0025.1	R151.6	negative
B0025.1	R151.7	negative
B0025.1	R151.9	negative
B0025.1	R166.5	negative
B0025.1	R53.6	negative
B0025.1	R74.1	negative
B0025.1	T01C3.10	negative
B0025.1	T01C3.6	negative
B0025.1	T01E8.3	negative
B0025.1	T01E8.6	negative
B0025.1	T01G9.4	negative
B0025.1	T01G9.6	negative
B0025.1	T02C12.3	negative
B0025.1	T02C5.5	negative
B0025.1	T02G5.9	negative
B0025.1	T02H6.2	negative
B0025.1	T03D8.2	negative
B0025.1	T04A8.11	negative
B0025.1	T04A8.14	negative
B0025.1	T04C10.2	negative
B0025.1	T04C12.5	negative
B0025.1	T04H1.4	negative
B0025.1	T05A6.2	negative
B0025.1	T05C12.7	negative
B0025.1	T05E11.1	negative
B0025.1	T05E11.6	negative
B0025.1	T05F1.3	negative
B0025.1	T05F1.6	negative
B0025.1	T05G5.3	negative
B0025.1	T05H4.6	negative
B0025.1	T06D8.8	negative
B0025.1	T06G6.9	negative
B0025.1	T07A9.11	negative
B0025.1	T07C12.12	negative
B0025.1	T07D1.2	negative
B0025.1	T07D4.3	negative
B0025.1	T08A11.2	negative
B0025.1	T08B2.8	negative
B0025.1	T08G5.5	negative
B0025.1	T09A5.11	negative
B0025.1	T09A5.6	negative
B0025.1	T09B4.10	negative
B0025.1	T09B4.9	negative
B0025.1	T10B5.5	negative
B0025.1	T10C6.5	negative
B0025.1	T10E9.7	negative
B0025.1	T10F2.4	negative
B0025.1	T10G3.5	negative
B0025.1	T10G3.6	negative
B0025.1	T10H9.4	negative
B0025.1	T12A2.2	negative
B0025.1	T12A2.7	negative
B0025.1	T12D8.1	negative
B0025.1	T12D8.8	negative
B0025.1	T12E12.4	negative
B0025.1	T12G3.5	negative
B0025.1	T13F2.2	negative
B0025.1	T13F2.3	negative
B0025.1	T13F2.8	negative
B0025.1	T13H5.4	negative
B0025.1	T13H5.5	negative
B0025.1	T14B4.2	negative
B0025.1	T14G10.7	negative
B0025.1	T14G8.1	negative
B0025.1	T16G1.11	negative
B0025.1	T16G12.6	negative
B0025.1	T16H12.4	negative
B0025.1	T16H12.5	negative
B0025.1	T18H9.7	negative
B0025.1	T19B10.11	negative
B0025.1	T19B10.3	negative
B0025.1	T20B12.2	negative
B0025.1	T20B12.8	negative
B0025.1	T20B5.1	negative
B0025.1	T20D3.7	negative
B0025.1	T20D3.8	negative
B0025.1	T20F5.2	negative
B0025.1	T20G5.1	negative
B0025.1	T20G5.10	negative
B0025.1	T20G5.2	negative
B0025.1	T20H4.5	negative
B0025.1	T21B10.7	negative
B0025.1	T21B6.1	negative
B0025.1	T21C9.12	negative
B0025.1	T21C9.4	negative
B0025.1	T21D12.4	negative
B0025.1	T21E12.4	negative
B0025.1	T21H3.3	negative
B0025.1	T22C1.3	negative
B0025.1	T22C1.6	negative
B0025.1	T22D1.10	negative
B0025.1	T22D1.4	negative
B0025.1	T22D1.9	negative
B0025.1	T23B12.2	negative
B0025.1	T23B12.3	negative
B0025.1	T23D8.2	negative
B0025.1	T23D8.4	negative
B0025.1	T23F1.7	negative
B0025.1	T23G11.5	negative
B0025.1	T23G7.4	negative
B0025.1	T24B8.1	negative
B0025.1	T25B9.10	negative
B0025.1	T25D3.2	negative
B0025.1	T26A5.3	negative
B0025.1	T26A5.8	negative
B0025.1	T26A5.9	negative
B0025.1	T26E3.3	negative
B0025.1	T27A3.6	negative
B0025.1	T27C4.4	negative
B0025.1	T27E9.3	negative
B0025.1	T27E9.7	negative
B0025.1	T27F2.1	negative
B0025.1	T27F2.3	negative
B0025.1	T27F7.1	negative
B0025.1	T28A8.7	negative
B0025.1	T28D6.9	negative
B0025.1	T28D9.10	negative
B0025.1	T28F12.3	negative
B0025.1	VC5.4	negative
B0025.1	VF36H2L.1	negative
B0025.1	W01A8.4	negative
B0025.1	W01D2.1	negative
B0025.1	W01G7.3	negative
B0025.1	W02A11.2	negative
B0025.1	W02A11.4	negative
B0025.1	W02B12.3	negative
B0025.1	W02D3.9	negative
B0025.1	W02D9.1	negative
B0025.1	W02D9.3	negative
B0025.1	W03D2.4	negative
B0025.1	W03F8.5	negative
B0025.1	W03F9.10	negative
B0025.1	W03F9.5	negative
B0025.1	W04A4.5	negative
B0025.1	W04A8.7	negative
B0025.1	W04D2.5	negative
B0025.1	W06B4.3	negative
B0025.1	W06F12.1	negative
B0025.1	W07E6.4	negative
B0025.1	W07G4.3	negative
B0025.1	W08E3.2	negative
B0025.1	W08F4.8	negative
B0025.1	W09B6.2	negative
B0025.1	W09C5.2	negative
B0025.1	W09C5.6	negative
B0025.1	W09D10.3	negative
B0025.1	W09G10.4	negative
B0025.1	W09G3.2	negative
B0025.1	W10C8.2	negative
B0025.1	W10D5.2	negative
B0025.1	Y102A5A.1	negative
B0025.1	Y102A5C.18	negative
B0025.1	Y104H12D.1	negative
B0025.1	Y105E8A.16	negative
B0025.1	Y105E8A.17	negative
B0025.1	Y105E8A.9	negative
B0025.1	Y105E8B.2	negative
B0025.1	Y106G6H.2	negative
B0025.1	Y106G6H.3	negative
B0025.1	Y106G6H.7	negative
B0025.1	Y108G3AL.1	negative
B0025.1	Y108G3AL.7	negative
B0025.1	Y110A2AL.13	negative
B0025.1	Y110A7A.10	negative
B0025.1	Y110A7A.14	negative
B0025.1	Y110A7A.16	negative
B0025.1	Y110A7A.17	negative
B0025.1	Y110A7A.19	negative
B0025.1	Y110A7A.8	negative
B0025.1	Y110A7A.9	negative
B0025.1	Y111B2A.11	negative
B0025.1	Y111B2A.13	negative
B0025.1	Y111B2A.16	negative
B0025.1	Y111B2A.17	negative
B0025.1	Y111B2A.18	negative
B0025.1	Y111B2A.22	negative
B0025.1	Y113G7B.17	negative
B0025.1	Y113G7B.18	negative
B0025.1	Y113G7B.23	negative
B0025.1	Y113G7B.24	negative
B0025.1	Y116A8C.35	negative
B0025.1	Y116A8C.42	negative
B0025.1	Y119C1B.4	negative
B0025.1	Y119C1B.8	negative
B0025.1	Y119D3B.16	negative
B0025.1	Y17G7B.2	negative
B0025.1	Y17G7B.5	negative
B0025.1	Y17G9B.5	negative
B0025.1	Y18D10A.5	negative
B0025.1	Y20F4.3	negative
B0025.1	Y22D7AL.5	negative
B0025.1	Y22F5A.3	negative
B0025.1	Y23H5A.5	negative
B0025.1	Y24D9A.4	negative
B0025.1	Y25C1A.8	negative
B0025.1	Y32H12A.2	negative
B0025.1	Y34D9A.1	negative
B0025.1	Y37D8A.1	negative
B0025.1	Y37D8A.18	negative
B0025.1	Y37D8A.9	negative
B0025.1	Y37E11AR.2	negative
B0025.1	Y37E11B.4	negative
B0025.1	Y37E3.10	negative
B0025.1	Y37E3.15	negative
B0025.1	Y37E3.3	negative
B0025.1	Y37E3.7	negative
B0025.1	Y37E3.8	negative
B0025.1	Y38A10A.5	negative
B0025.1	Y38A8.2	negative
B0025.1	Y38C1AA.2	negative
B0025.1	Y38C1BA.2	negative
B0025.1	Y38F1A.5	negative
B0025.1	Y38F2AR.9	negative
B0025.1	Y39A1A.12	negative
B0025.1	Y39A1A.23	negative
B0025.1	Y39A1A.6	negative
B0025.1	Y39A1B.3	negative
B0025.1	Y39A1C.3	negative
B0025.1	Y39A3CR.1	negative
B0025.1	Y39B6A.36	negative
B0025.1	Y39B6A.39	negative
B0025.1	Y39G10AL.3	negative
B0025.1	Y39G10AR.13	negative
B0025.1	Y39G10AR.14	negative
B0025.1	Y39G10AR.8	negative
B0025.1	Y39H10A.7	negative
B0025.1	Y40B1B.6	negative
B0025.1	Y41C4A.10	negative
B0025.1	Y41C4A.14	negative
B0025.1	Y41D4B.13	negative
B0025.1	Y41D4B.5	negative
B0025.1	Y41E3.11	negative
B0025.1	Y41E3.4	negative
B0025.1	Y41E3.9	negative
B0025.1	Y43B11AR.4	negative
B0025.1	Y43C5A.6	negative
B0025.1	Y43F4B.4	negative
B0025.1	Y43F4B.6	negative
B0025.1	Y43F8C.8	negative
B0025.1	Y44E3A.4	negative
B0025.1	Y44E3A.6	negative
B0025.1	Y45F10D.11	negative
B0025.1	Y45F10D.12	negative
B0025.1	Y45G12B.1	negative
B0025.1	Y46G5A.12	negative
B0025.1	Y46G5A.21	negative
B0025.1	Y46G5A.4	negative
B0025.1	Y46H3A.7	negative
B0025.1	Y47A7.1	negative
B0025.1	Y47D3A.26	negative
B0025.1	Y47D3A.29	negative
B0025.1	Y47D3A.4	negative
B0025.1	Y47G6A.10	negative
B0025.1	Y47G6A.11	negative
B0025.1	Y47G6A.20	negative
B0025.1	Y47G6A.6	negative
