UniProt Acc	Sequence Name (Gene)
P51559	K04F10.4
P51559	K04F10.4
P51559	K04F10.4
P51559	K04F10.4
Q8IA67	K04F10.4
O62247	F45G2.5
Q9XTM0	F23B12.8
F23B12.8b	F23B12.8
Q9BI98	F13H8.10
Q8IG27	F13H8.10
Q8IG26	F13H8.10
Q20741	F54B11.6
O01917	F23H11.5
B6VQ60	C36A4.8
B6VQ61	C36A4.8
Q21209	K04C2.4
Q18801	C53B4.7
Q18801	C53B4.7
Q18801	C53B4.7
Q18801	C53B4.7
Q18801	C53B4.7
Q6QMT2	Y39E4B.9
Q6QMT2	Y39E4B.9
C3JXF0	Y39E4B.9
D0Z5N7	Y39E4B.9
Q03562	B0464.4
Q9GUM2	Y73E7A.7
Q95US5	T12G3.8
Q20429	F45E12.2
Q95ZL9	F56A3.5
Q9U1S2	Y79H2A.1
Q67X91	Y79H2A.1
O45899	F15D4.1
Q21776	R06C7.8
Q20932	F57B9.5
Q93249	C23H4.1
Q20781	F54D8.4
Q18932	D1022.8
Q27504	K05G3.3
Q21614	R01E6.3
Q8WQD8	R01E6.3
Q10462	R173.1
O02637	T28F2.3
P04630	C13C12.1
Q18092	C18E9.1
Q94288	M02B7.6
C6KRM3	T07G12.1
C6KRM4	T07G12.1
O18058	T07G12.1
Q9BLY1	C01G6.8
Q17576	C01G6.8
Q38G54	C01G6.8
P34685	D2024.6
P34686	M106.5
Q95YA9	F41G4.2
Q95YB0	F41G4.2
Q9GNP0	W01C8.6
Q7Z1Q0	W01C8.6
P90986	B0432.5
P90986	B0432.5
Q19980	F32G8.6
Q94051	T13F2.8
Q18879	C56A3.7
C56A3.7b	C56A3.7
C56A3.7c	C56A3.7
P34545	R10E11.1
P34545	R10E11.1
B0M0M3	R10E11.1
Q967R4	C54D2.5
Q7Z002	C54D2.5
Q7Z003	C54D2.5
Q7YZR6	C54D2.5
Q7JPB4	C54D2.5
O01661	T28F2.5
Q17345	Y56A3A.20
Q9NA39	Y73F8A.6
P90849	F26E4.9
Q27519	T10B9.10
Q27531	F08F3.7
Q09660	ZK177.5
Q9U1P5	ZC518.3
Q9U1P4	ZC518.3
Q8I4B4	ZC518.3
B3GWC3	ZC518.3
P41988	T05C12.7
P47207	T21B10.7
P47208	K01C8.10
P47209	C07G2.3
Q8WQG4	C07G2.3
P46550	F01F1.8
Q8MYQ9	F01F1.8
P91155	C43E11.10
P81299	C17G10.4
P81299	C17G10.4
P81299	C17G10.4
P81299	C17G10.4
P81299	C17G10.4
O44552	K06A5.7
O44628	F16B4.8
P30634	ZK637.11
Q21762	R05H5.2
Q05062	R07G3.1
Q22922	C47D2.2
Q20628	F49E8.4
Q95QW4	C15B12.7
Q95QW4	C15B12.7
P34616	ZK112.7
Q19319	F25F2.2
C6KRH5	F25F2.2
Q19194	F08B4.2
Q95QM6	F08B4.2
O62328	R05H10.6
Q21035	F59C12.1
Q5F4U0	C45G7.5
Q9BIB5	B0034.3
Q9BIB6	B0034.3
Q2L6X9	B0034.3
P34556	T05G5.3
Q9XTB6	F18H3.5
Q9XTR1	F18H3.5
O18142	T27E9.3
Q9Y0G1	Y39G10AL.3
P90866	F39H11.3
Q9TVL3	H25P06.2
Q9TVL3	H25P06.2
Q09599	R06F6.1
O45456	F35E8.11
P34618	ZK1236.2
Q9XWD6	Y47H9C.4
Q9XWD6	Y47H9C.4
Q9XWD6	Y47H9C.4
Q9XWD6	Y47H9C.4
Q9NHC3	Y41D4B.13
P42573	C48D1.2
D3YT61	C48D1.2
P30429	C35D10.9
P30429	C35D10.9
O17758	C02F4.1
O76337	F56D2.7
P34358	C48B4.4
P34358	C48B4.4
P34358	C48B4.4
C0P274	C48B4.4
O17386	F08F1.5
P41958	T07C4.8
Q03206	C09G12.8
Q03206	C09G12.8
P34641	ZK512.3
Q8STE5	Y106G6E.5
Q9TY06	R09F10.9
P53547	F16H11.4
O01962	C27A12.5
P20269	C16C2.1
P20268	K02B12.1
P20270	C34C6.8
Q94398	ZK265.4
P56407	Y65B4BR.9
P41935	W03A3.1
P17487	F33D11.4
P17488	R13A5.5
P20271	F46C8.5
P34326	C13G5.1
O01874	D1007.1
P41934	ZC64.3
Q8MPS1	ZC64.3
Q86MI2	ZC64.3
P26797	F20D12.6
P26797	F20D12.6
P41779	F31E3.1
Q22811	T26C11.6
P41936	F29F11.5
A1EHR3	F29F11.5
A1EHR4	F29F11.5
P34663	ZK652.5
Q9NLC2	F55B12.1
P34522	K12H4.1
Q9XVN4	F46F3.1
Q21169	K03A11.3
Q22909	C33D12.7
Q22910	C33D12.1
Q23175	W05E10.3
Q94166	C10G8.7
Q94165	C10G8.6
Q93352	C37E2.4
Q93356	C37E2.5
Q19720	F22D3.1
Q19720	F22D3.1
Q22812	T26C11.7
Q19503	F17A2.5
Q22810	T26C11.5
Q18273	C28A5.4
Q9BL02	Y54F10AM.4
Q8IA98	Y54F10AM.4
Q8IA98	Y54F10AM.4
Q17802	C07G2.1
Q17802	C07G2.1
Q17607	C03D6.3
Q6A3Q2	C03D6.3
Q20646	F52B5.5
Q20646	F52B5.5
Q93721	F43G9.11
Q94126	ZK909.4
O62213	F33A8.3
P91306	F46F11.2
P91398	M01E11.5
Q9XTJ6	Y39A1C.3
O02326	T23D8.8
Q95QV2	C18C4.2
Q3LTR6	F27E11.3
Q9U8U6	F27E11.3
Q95YF3	C07H6.5
Q18905	Y38C9A.2
Q22516	T14G8.1
Q966L8	C55B7.12
Q0PCD8	C55B7.12
Q9XZP7	F38G1.1
Q19542	F18C12.1
P90757	C27A7.4
Q17423	B0024.8
Q93833	F59C6.7
O76372	F56H1.1
Q22791	T25G3.2
O17368	F48A11.1
Q9N3Z3	Y39H10A.7
Q9N3Z3	Y39H10A.7
Q9U1Y5	Y60A3A.12
Q9BMU2	T09B4.10
O02228	C48D1.3
Q9U4A6	Y110A7A.13
Q11174	C04F6.3
Q9TYP2	H14E04.5
P34425	F44B9.4
P34425	F44B9.4
P34425	F44B9.4
P34424	F44B9.3
P34424	F44B9.3
O17610	C28D4.2
B3GWD5	C28D4.2
Q22942	C52B9.1
Q2XN11	C52B9.1
P46558	B0285.8
P46559	B0285.9
P46560	B0285.10
Q9GZF3	F22F7.5
Q22820	T27A10.3
Q86MJ6	T27A10.3
Q22197	T05A6.1
Q22198	T05A6.2
Q9U6R5	T05A6.2
Q8T8D4	C05H8.1
Q3Y416	C05H8.1
Q9U2D2	Y47D3A.4
Q21829	R07E5.8
Q18018	C15C8.2
Q2WGN7	C15C8.2
Q93198	C09F12.1
Q11085	C01C10.1
Q23532	ZK563.4
Q86MH7	ZK563.4
Q22191	T05A10.2
Q9NGJ7	C01C10.4
Q7JL30	C36B1.1
Q9U9K6	C36B1.1
O17866	C36B1.1
Q8I0G6	C36B1.1
Q22833	T27D12.2
Q9U5Y3	T27D12.2
Q18368	B0491.8
Q95NL9	B0491.8
Q9U6W7	B0491.8
Q9BMK9	E04F6.11
Q95QN8	E04F6.11
Q95ZP4	T06F4.2
Q95ZP5	T06F4.2
Q17804	C07H4.2
Q9BHB2	R07B7.1
O61973	R01B10.1
Q86S25	R01B10.1
Q9TYY2	K08B4.6
P48376	ZC395.2
Q95YE9	C07H6.6
Q93440	F07B10.1
P91012	C01G8.2
Q9BJW5	ZC190.1
P34308	C06G4.2
P34308	C06G4.2
P34308	C06G4.2
P34308	C06G4.2
Q22143	T04A8.16
Q9U2B2	Y47H10A.1
Q8IAA9	Y39A3CL.5
Q8IAA8	Y39A3CL.5
Q9N4B2	Y77E11A.10
Q9N4B1	Y77E11A.11
Q8IG12	F56D1.4
Q8IG13	F56D1.4
Q8IG11	F56D1.4
B2MZB0	F56D1.4
P32744	R107.6
P34466	F55H2.6
Q18756	C50F7.2
O16305	T21H3.3
Q9TXJ0	K07A9.2
Q20804	F55C10.1
O44615	R09B5.2
O44611	R09B5.3
O44612	R09B5.8
O44613	R09B5.9
O44614	R09B5.10
Q9N3V6	Y46E12A.1
P46581	C34E10.7
Q93486	F14H8.6
A8WI01	F14H8.6
C7FZU6	F14H8.6
Q7Z205	F38E11.12
Q21426	R01H10.8
Q9XXH8	Y17G7B.15
Q9XXH9	Y17G7B.15
Q9XX14	Y39A1A.15
Q9U2M2	Y39A1A.15
Q9XX09	Y39A1A.15
Q7Z1J5	Y39A1A.15
P34652	ZK632.6
Q8IG71	C48E7.5
O17978	R03C1.3
Q8I1K2	R03C1.3
Q21444	C06G3.10
Q21306	K08A8.3
Q19232	F08H9.1
P17656	W01B6.7
Q27318	T28C6.6
P18832	C15A11.5
P18833	F11H8.3
Q20744	F54B11.1
Q17460	B0222.8
P20630	F15H10.1
P20631	F15H10.2
P18834	C46A5.3
B2MZB1	C46A5.3
P91248	F11G11.10
P18835	ZK1193.1
P91249	F11G11.11
Q20091	F36A4.6
P34687	F36A4.10
Q93208	C15A11.1
P34803	C27H5.5
Q23649	ZK863.2
Q20754	F54C9.4
Q09455	C09G5.4
P34804	T13B5.4
Q22369	T10B10.1
Q23364	ZC513.8
Q20739	F54B11.2
O01799	F53G12.7
Q1EPL5	Y18H1A.13
Q1EPL4	Y18H1A.12
Q9N3D7	Y54E10BL.2
O44989	K09H9.3
O01662	T28F2.6
Q7Z152	T28F2.8
O01873	D1007.2
P91396	M01A12.1
O44774	F33D11.3
O01860	T05E7.2
Q9GYS2	T08B2.2
P91274	F26B1.4
Q19725	F22D6.10
Q17582	C01H6.1
Q93207	C15A11.6
Q94399	ZK265.2
O02271	F52F12.2
Q9XUT4	K08C9.4
B0M0N6	F15D3.3
O44796	C50D2.4
Q9TZ57	K01A2.7
O61209	H17B01.2
Q9N4U2	Y49F6B.10
D6VP96	W09G10.1
D6VP95	W09G10.1
P91250	F11G11.12
Q23422	ZK1248.2
Q09578	K03H9.2
Q21528	M110.1
Q21562	M195.1
Q9U336	W07A12.5
Q09233	C09G5.3
Q09456	C09G5.5
Q20135	F38A3.1
Q9NAQ4	F33A8.9
Q21437	K12D12.3
O18097	T21B4.2
Q9XVY1	Y81G3A.5
B6GUQ3	Y81G3A.5
Q7YTG4	Y39G8C.4
O44904	W05G11.3
Q19528	F17C8.2
P34340	C29E4.1
P34391	F09G8.6
Q9XVG3	W05B2.6
Q9U348	W05B2.5
Q9U349	W05B2.1
Q86MP1	Y41C4A.16
Q86MP2	Y41C4A.19
O18286	ZK1010.7
O17805	F14F7.1
O76368	F29C4.8
O76368	F29C4.8
O45105	K02D7.3
Q9GZF7	C18H7.3
O45114	F56B3.1
O44174	F58F6.1
O44173	F58F6.2
Q8MXT6	Y77E11A.15
O45140	C34H4.4
Q86S35	C34H4.4
Q95Y22	Y41D4A.2
Q9N527	Y38C1BA.3
Q19592	F19C7.7
Q9GYI3	F29B9.9
Q8MXR1	Y73B6BL.34
Q18450	C34D4.15
Q18975	D2024.8
Q9N3X9	Y42H9B.1
O61525	F17E9.1
Q27318	T28C6.4
A5JYR8	T11B7.3
A5JYR9	T11B7.3
Q18799	C53B4.5
Q9XWR2	Y11D7A.11
Q20880	F56D5.1
Q22183	T05A1.2
Q23222	W08D2.6
Q9NAR3	C24F3.6
Q18302	C29F4.1
Q20761	F54D1.2
Q20761	F54D1.3
Q19368	F12F6.9
Q21556	M18.1
Q19218	F08G5.4
Q18537	C39E9.3
Q18536	C39E9.9
Q9XUE9	F52B11.4
Q86D04	M199.5
Q9NAE0	Y51H4A.9
A3QM98	C52D10.13
Q20282	F41F3.4
Q19813	F26F12.1
A6ZJ35	F26F12.1
O17035	T15B7.5
O17036	T15B7.4
O17038	T15B7.3
Q17458	B0222.6
Q17459	B0222.7
Q22260	T06E4.6
Q22256	T06E4.4
Q17939	C12D8.8
Q17417	B0024.1
Q17418	B0024.2
Q17402	AC3.6
Q19979	F32G8.5
Q19514	F17C11.3
Q20805	F55C10.2
Q21184	F55C10.3
Q20927	F57B7.3
Q22393	T11F9.9
O17734	D2023.7
Q20922	F57B1.3
Q20921	F57B1.4
O17686	C50B6.4
Q9U2P5	Y2H9A.3
Q86D09	F46B3.17
Q22651	T21D9.1
Q966K5	F14H12.1
Q22326	T07H6.3
Q86FL7	T07H6.3
Q22379	T10E10.2
Q22380	T10E10.1
Q86NE4	T10E10.5
Q86NE3	T10E10.6
Q86NE2	T10E10.7
Q20142	F38B6.5
Q7YZV5	F38B6.5
Q20270	F41C6.5
Q9GYP3	F46C8.2
Q18480	C35B8.1
Q23263	ZC373.7
Q21039	F59F3.2
O17641	C34F6.2
O17642	C34F6.3
Q18620	C44C10.1
Q23150	W03G11.1
Q2XN04	W03G11.1
Q21855	R09A8.4
Q19111	F02D10.1
Q19470	F15A2.1
Q7YXA3	H06A10.2
Q19050	E03G2.4
Q18327	C30F2.1
P91093	C24A11.9
Q8I7J4	F57B9.4
Q5DX47	F57B9.4
Q8I7J3	F57B9.4
Q8I7J2	F57B9.4
Q8I7J4	F57B9.4
O18235	Y57G11C.11
Q0G818	Y57G11C.11
P91428	T03F1.2
P34666	ZK652.9
O01884	K07B1.2
Q18486	C35D10.4
Q21624	R01H10.3
Q21624	R01H10.3
Q21624	R01H10.3
Q21624	R01H10.3
Q03571	C40H1.1
Q18317	C30B5.3
O01835	B0414.5
Q19864	F28C6.3
O45577	F56A8.6
Q20166	F38E11.3
O45734	T03E6.7
Q93713	F43G9.9
O44788	D1069.2
O01542	F28H1.2
O44727	F49D11.8
P25807	C52E4.1
O45466	F36D3.9
P43507	T10H4.12
P43508	F44C4.3
P43509	W07B8.5
P43510	C25B8.3
Q8MQC6	C25B8.3
A7LPD1	C25B8.3
Q95NM6	C41D11.8
O01850	F32B5.8
P92005	M04G12.2
Q19350	F11C7.4
Q9U2I1	Y41C4A.4
Q9U2I0	Y41C4A.4
Q8I4D8	Y41C4A.4
Q8I4D7	Y41C4A.4
Q8I0N6	Y41C4A.4
D0Z5N2	Y41C4A.4
D0Z5N1	Y41C4A.4
Q9N3T2	Y47G6A.8
O44160	CD4.2
Q17951	C14A4.4
Q8I129	C14A4.4
Q10905	AH9.2
Q17952	C14A4.5
P34508	K04H4.6
P34508	K04H4.6
O76618	Y23H5A.7
Q965I6	Y23H5A.7
P27798	Y38A10A.5
Q93781	F53H4.1
O45952	Y48E1B.12
Q9BL77	Y48G1C.2
Q9GS00	Y59A8A.1
O01422	B0025.2
Q9N425	Y38C1AA.2
Q9N359	Y55F3AM.15
P91001	B0547.1
Q95PZ0	Y67H2A.6
C5VUK2	Y67H2A.6
O18203	Y48E1B.13
Q9TZP6	Y48E1B.13
Q9Y056	Y48E1B.13
Q9Y055	Y73B6BL.7
Q9XWE0	Y47H9C.6
Q20203	F40E10.3
O61235	Y54G11A.6
Q27487	Y54G11A.5
O76614	Y23H5A.5
Q965I7	Y23H5A.5
Q8T3U1	Y23H5A.5
Q8MPQ6	Y23H5A.5
P34575	T20G5.2
O17737	Y76A2A.2
B9DI72	Y76A2A.2
Q9TYA3	ZK652.11
Q17389	D2045.6
Q9NA22	ZK520.4
Q17390	ZK520.4
Q8WQ96	ZK520.4
Q17390	ZK520.4
Q17391	Y108G3AL.1
Q17392	F45E12.3
Q23639	ZK856.1
Q21346	K08E7.7
Q93561	F25D7.1
P34271	C02C2.3
D7UU24	R13A5.1
Q8WSP3	R13A5.1
D7UU23	R13A5.1
Q03755	C47G2.1
Q21540	M142.2
Q95YE8	C07H6.8
P34888	K10B4.6
Q86FS7	K10B4.6
P34889	W01B6.1
P91138	C37H5.10
P91139	C37H5.11
P91140	C37H5.4
O44626	K11D12.1
Q7Z134	F59H6.7
Q10653	ZC168.4
O45926	Y43E12A.1
Q9BLB5	H31G24.4
Q10654	T06E6.2
Q95ZP8	T06E6.2
Q18853	C54G4.8
Q9U2M5	Y38F1A.5
O01501	C37A2.4
O01501	C37A2.4
Q7JP76	F11H8.4
Q7JP75	F11H8.4
Q8WT43	ZK328.1
Q8WT44	ZK328.1
Q9XUS9	K08E3.6
Q7JLC3	C52E4.6
P52009	Y49A3A.5
P52010	ZK520.5
P52011	Y75B12B.5
P52012	F59E10.2
P52013	F31C3.1
P52014	F42G9.2
P52015	Y75B12B.2
P52016	D1009.2
P52016	D1009.2
Q09637	T27D1.1
P52017	B0252.4
P52017	B0252.4
P52018	T01B7.4
Q18445	C34D4.12
Q9U2S6	Y116A8C.34
D3NQB1	Y116A8C.34
O18161	F39H2.2
Q8I4J2	F39H2.2
Q9U1Q3	Y87G2A.6
Q9XXI7	Y17G7B.9
A3KFD6	ZC250.1
A9D417	ZC250.1
Q8I4H0	M110.5
Q9U3A6	M110.5
Q8I4G9	M110.5
A5JYR4	M110.5
P90985	B0412.1
Q86GT3	B0412.1
P52872	F57B10.10
P20792	F29C4.1
P20792	F29C4.1
Q968Y9	Y55D5A.5
Q968Y9	Y55D5A.5
Q95QI7	F25E2.5
Q95QI8	F25E2.5
O17532	F25E2.5
P50488	C05D2.1
Q8ITX8	C05D2.1
Q86DL9	C05D2.1
Q9XVH7	W01G7.1
Q19945	F31F6.5
P92172	B0412.2
Q21733	R05D11.1
Q27523	T13C5.1
Q8WRT7	T13C5.1
O45401	F23B2.4
Q8I4N4	B0240.3
Q9XZD4	F11A1.3
Q9UB16	F11A1.3
Q9UB17	F11A1.3
Q2XN07	F11A1.3
O17760	F01G10.8
Q17901	C10C5.6
Q9XTJ1	C10C5.6
O16850	R13H8.1
O16850	R13H8.1
O16850	R13H8.1
O16850	R13H8.1
O44405	T07A9.6
Q09555	F33H1.1
Q09555	F33H1.1
B3VTL8	F33H1.1
C0P280	F33H1.1
Q18688	C47E8.5
Q9NEK7	Y116F11B.1
Q86LS4	M03A1.7
Q21285	K07E3.3
Q23262	ZC373.6
Q9XVS4	C25A1.10
Q564W7	C25A1.10
Q8MPY0	T05G5.12
Q9TVM5	C14A4.2
Q03614	T23G5.5
Q20870	F56D1.7
O02424	T25F10.2
Q966M6	C55B7.8
O17910	C26C6.5
Q8I0T2	C26C6.5
P34529	K12H4.8
Q9U2Y7	Y113G7A.9
D8FRQ0	Y113G7A.9
Q9N408	Y39A3CR.4
P19826	ZC477.9
Q9BI31	ZC477.9
Q8MPS2	ZC477.9
P24585	C47C12.6
P54244	K03B8.9
Q19038	E02H4.1
Q21007	F58G6.6
D3YT21	F58G6.6
O76554	T26H10.1
Q7JNZ1	C09E10.2
Q17860	C09E10.2
Q58AU6	C09E10.2
Q58AU5	C09E10.2
Q58AU4	C09E10.2
Q7Z2A1	F46H6.2
Q7Z2A0	F46H6.2
Q7Z299	F46H6.2
Q03603	F54G8.2
Q22629	T21B6.1
Q19020	T21E12.4
Q21773	R06C7.3
Q18677	C47E12.8
P91013	C01G8.3
O01758	F55A12.4
Q86NJ6	F55A12.4
Q86NJ7	F55A12.4
A5JYX4	T02E1.5
A5JYX5	T02E1.5
A5JYX6	T02E1.5
O18030	T05F1.10
Q10130	F56D1.5
Q09979	C17G10.8
Q19062	E04F6.7
O45680	K10H10.3
Q9N538	Y32H12A.3
Q9XX28	Y39A1A.11
Q21359	K08F4.9
O16619	F36H9.3
Q9N5G3	R05D8.8
Q9N5G1	R05D8.10
O16881	C10F3.2
O16371	F29G9.6
Q1XFZ3	F29G9.6
Q18639	C45B11.3
Q22392	T11F9.11
Q20012	F35B12.2
Q21929	R11D1.11
Q9XVS9	C15H11.4
O45709	R08H2.1
Q9U1Y6	Y60A3A.10
Q19246	F09E10.3
Q23612	ZK816.5
D7SFL0	C04F6.5
Q21481	M03A8.1
Q19843	F27D9.6
Q65ZI3	T25G12.7
B7WN64	F08B4.1
B7WN63	F08B4.1
Q09478	C18D1.1
Q27257	F49E8.5
Q09165	K07E12.1
Q8MQ08	K07E12.1
Q18066	C18A11.7
Q18066	C18A11.7
Q17632	C04G2.6
Q21625	R01H10.1
Q22799	T26A5.9
