CBRGID	CELEID
A8X0J0	Q20066
A8Y3S8	B6EU63
A8Y2T8	Q9TZD9
A8XCN2	Q10918
A8XLY6	P34296
A8XJT0	Q19281
A8WV71	Q9XU68
A8Y0X6	O76653
A8X0A1	Q9XWT9
A8XP80	Q4PJ11
A8XRD4	Q93805
B6IJ81	Q20223
A8WJ42	Q8MYM9
A8WN83	G5EC21
A8X815	P48158
A8XVX5	O16206
A8X443	Q94413
A8XFY2	Q21733
E3CU26	G5EF00
A8X826	Q9BI86
A8XVB8	Q19771
A8X7R9	Q9TY00
A8Y1Q1	Q95XN0
A8WPH2	Q09398
A8WKS7	Q09398
A8X017	Q8MXH5
A8Y1C8	G5EF14
A8XN24	Q93542
A8XN24	Q21181
A8WMM1	A9QY27
A8WM86	G5EBS3
A8WZX9	A2V8C6
A8X3A9	P34452
A8XTN6	O17824
A8X5W0	Q22588
A8XL01	P91344
A8X7D9	Q3Y401
A8X1I6	Q9N3Z0
A8XR31	P46975
A8XPZ5	Q18438
A8X0I8	Q9U2L6
A8Y1R1	P90933
A8XJW1	Q7JNQ1
A8X5G8	Q9XUH9
A8XXF4	Q94314
Q60PP8	Q9GUM7
G2J6T4	Q9U238
A8XGK4	O44778
A8XGK4	O44949
E3CU68	Q95YB1
E3CU68	O17108
A8X4D3	Q93538
A8WQQ7	Q17527
A8XNH6	H2KY55
A8WU48	Q7JPD8
A8WT88	Q7YX73
A8X9P3	Q22615
A8X4A9	Q9U2R5
A8XV90	Q19165
A8XRM1	Q23248
A8WX73	O76579
B6IFP6	O76579
A8WNK6	B7WN78
A8XW52	Q11187
A8XEC4	O01578
A8WYL3	Q22521
A8WQB6	Q9N5I0
A8Y238	O45948
A8Y300	Q22922
A8XXS4	Q9XV35
G2J6U3	Q9NA32
Q60QM6	Q9XWC2
Q615B0	Q9XWV5
A8WWN0	G5ECU1
A8WWN0	G5EDD8
A8XU34	Q9XUE5
A8WPQ4	Q95XX2
A8WPQ5	Q95XX2
A8WJE0	G5EFJ3
A8X6N4	M1ZJ62
A8XC43	O17343
A8XC45	O17345
A8XH66	O02092
A8WNT1	Q22957
A8WRQ6	Q23212
A8X1K1	Q18974
A8XK47	P48162
A8XZN7	P46578
A8X955	Q20925
A8WJF3	Q9XVT5
A8XJF8	Q20222
A8XCV8	Q52GY4
A8XLK2	Q23205
A8X5H7	Q9XW24
B0K065	Q09602
A8XI44	Q9N3B7
A8XID2	Q9U1T2
A8Y4A0	Q7YWS3
A8XEC9	O44757
A8XXQ5	Q23061
A8XXQ5	Q23346
A8XC29	A8WFH1
A8X604	O02173
A8X0D8	O45720
A8WJ56	Q93649
A8WMY0	Q9XUC2
A8X032	Q9TYY6
A8X874	Q95Y92
A8X5J9	Q9XWF3
A8XYA3	Q20403
A8WN69	G5EF51
A8Y463	Q21011
A8X195	A1Z6D0
A8WY77	G5EBG5
A8WNM3	Q19869
A8XJR2	G5EG43
A8WZJ2	Q21716
A8WXC9	Q65ZA8
A8WX50	Q86NH9
A8XP73	P34397
A8X3Z4	Q8ITY4
A8XHG0	Q95PZ4
A8Y1H7	O44746
B6IIM2	O01599
A8X064	Q9XTY5
A8XGY1	Q4TTC0
B6IL58	O17037
A8XEQ9	Q8I7G0
A8XY38	Q8I7H9
A8XW14	Q9N488
A8Y2W0	Q9TYW7
B6IL83	O17658
B6IL83	Q9U3M4
B6IL83	O17663
B6IL83	O44574
B6IL83	O17171
A8XUY0	O17658
A8XUY0	Q9U3M4
A8XUY0	O17663
A8XUY0	O44574
A8XUY0	O17171
A8XUY1	O17658
A8XUY1	Q9U3M4
A8XUY1	O17663
A8XUY1	O44574
A8XUY1	O17171
A8X8F0	Q20733
A8Y1Q4	Q18199
A8Y1Q5	Q18199
A8WTF5	G5EBH9
A8WP71	O45682
A8WNI3	P30629
A8X3R4	H2L0E8
A8XCR6	G5ECJ5
A8X3C7	P34496
A8XDT7	O17220
A8X113	Q20763
A8XW23	G5EDW7
A8XKQ1	H2KZ94
A8X8Y1	Q22033
A8WZE1	Q95QC2
A8XWI0	O45495
A8XM36	Q20789
A8Y3P6	Q95QW9
A8XYI1	Q9XUJ8
A8XCU7	I7J4D0
A8XCU7	P34338
A8WX17	Q9XWI7
A8WX19	Q9XWI7
A8WM12	G5EGG5
A8XEI5	O01542
A8XAF5	Q03575
A8WSD4	G5EF80
A8Y4E1	O45689
A8XPP5	Q9GYP2
A8Y4P1	Q8WQG5
A8WPN3	Q9N570
A8WPN3	O16395
A8WPN3	Q9NA54
A8WPN3	O17791
A8WPN3	M1ZMJ0
A8Y087	P10771
A8X4Q3	P10771
A8Y074	P10771
A8Y2Y8	H8W3Y6
A8XM39	H8W3Y6
A8X8J3	G5ECK3
A8XBD2	H2KYX9
A8XEP1	G5EEG4
A8WWR4	P90849
A8X517	Q93324
A8XU43	O01338
A8X1P2	Q23342
A8Y307	H2KZR1
A8XR53	Q09389
B6IL44	Q6A597
E3CU44	Q966I7
A8Y2N3	O17616
A8Y2N3	O45754
A8Y2N3	O45988
A8WXV7	H9G340
A8WXV7	Q9XTX2
A8WJK9	O45060
A8XBA3	O44675
A8XT33	Q05036
A8Y0I9	A9D649
A8X9F0	Q194S6
A8WVJ3	Q9N3H9
A8WS97	Q9U2Z9
A8XM80	Q17721
A8XRD3	Q93806
A8WLD7	Q23406
A8WLD7	Q22105
A8Y3G0	Q9U1S4
A8Y3G2	Q9U1S4
A8X9V6	G5EF99
A8X9E3	H2KYE4
A8XQL2	B1Q254
A8X3X5	O17067
A8WNQ2	Q18995
A8WUD8	Q09980
A8X5X0	O76564
A8X115	Q17649
A8X825	P49196
A8X5W7	Q21577
A8X745	Q21932
A8XEL0	Q20634
A8Y2U8	O17389
A8XR79	Q22631
A8X519	Q93322
A8XQA1	Q17932
A8XSY1	Q18273
A8XJP9	Q23378
G2J732	O02152
A8XT78	Q19823
A8XPL7	Q21993
A8Y1T1	P91914
A8Y0I4	Q17561
A8XJ21	Q9N2W9
A8XF62	P34342
A8XZX4	Q965K5
B6IGN8	Q565B0
B6IK70	Q95QL5
A8WNY9	O76652
A8WNY8	O76652
A8WNZ0	O76652
A8WXW0	P05634
G2J6F0	P05634
A8WQK8	O16319
A8WQS6	O62291
A8WN24	Q17348
A8WSV7	Q17684
A8XC46	O17346
A8WVP0	Q95XQ8
A8X3W8	P90994
A8WIW8	Q9N3U3
A8WZ04	Q23178
A8XDA1	Q21267
A8XSM6	Q19817
A8X9Q4	Q9BL34
A8XIX1	Q8MQ07
A8Y3V2	Q19762
A8XCZ3	Q9XVI8
A8WR54	O61521
A8WR54	Q9N431
A8Y4I4	O45732
A8Y0X2	Q9GUB6
A8Y0W8	Q9GUB6
A8WUA4	H2KYU5
A8WQS7	O62289
A8X320	O16487
A8X3X8	O17070
A8WLZ0	Q21849
A8WR27	Q27511
A8XC96	P90823
A8X8N4	Q5FC52
A8XGR2	Q22197
A8Y2C8	Q9N5N9
A8X9B8	Q8MNR9
A8XSJ6	Q20363
A8XRB5	Q21780
A8XSZ2	Q21832
A8Y3S5	Q18826
A8XUK0	Q23353
A8XTF4	Q9N5L2
A8WYJ6	Q9XX32
A8XAY3	Q9XX32
A8WL30	A6ZJ55
A8WWB2	O01830
A8XWG4	P02566
A8XRM5	G5ECW0
A8WJ39	Q8MYM7
A8XA05	P34500
A8XA06	P34499
A8WN37	Q7YTP6
A8XZU1	G4SNB8
A8Y3S6	B6EU64
A8X4L9	Q22728
A8WN35	Q9U3J7
A8XCK3	Q22453
A8X1Q0	Q965V6
A8XKF2	Q20026
A8XE87	Q22790
A8XP05	Q18107
A8X7B3	Q8WQB0
A8XYB0	Q965N9
A8XYM8	Q9NAG2
A8X645	Q9NLC7
A8X645	Q18848
A8WQH5	O17006
A8XKA0	I7KSB9
A8XPY2	G5EEY6
A8WY08	Q21636
A8XDQ1	G5EDU4
A8X8G0	Q18947
B6IGG5	D1P8J3
A8XT36	P34621
A8XLR1	Q21151
A8XEV7	Q965W1
A8XE06	Q9U281
A8XWE4	Q9XWK2
A8XGL1	Q86GC1
A8XGL1	O44776
A8WUE1	Q10129
A8X2K2	Q07750
A8XGD4	O01776
A8WRP9	Q23261
A8X7X6	Q09242
A8XT86	H2KZ13
A8Y1M9	C0VXW0
A8WQS2	Q8WQE7
A8XD03	Q17700
A8WXJ5	Q7YTK4
A8Y1W6	H2KZI8
A8Y2V9	O02153
A8XPY9	Q10453
A8X7Y8	P0CG71
A8WS92	Q9XWS0
A8XRQ1	Q19411
A8XV83	Q20100
A8XSY9	Q21828
A8XIH0	Q95XW8
A8Y1J8	Q19410
G2J6L0	P34436
A8Y182	Q93642
A8Y1K3	Q17896
A8Y1M1	Q17896
A8WNS0	Q17550
A8XQU9	Q19192
A8X2R9	O61879
A8XM55	G5EEG1
A8X1D4	Q20628
A8WIU9	Q9N5E4
A8X906	Q19478
A8X276	Q9N2X6
A8WZF0	Q9XVU7
A8XQV9	Q20333
A8XNV4	Q565C3
A8XZH5	Q20312
Q613L4	O17323
A8XIC9	Q9U2M7
Q626S1	Q23679
A8WPM7	O44600
A8WPM7	O45835
A8WPM7	Q966C8
A8WPM7	O44601
A8WK66	Q9TZ36
A8XUX7	O16759
A8X8Y2	Q22032
A8WSP1	Q9NAB6
A8Y3J4	P34515
A8XML8	Q8IAA5
Q61Z20	P45966
A8XML0	Q8WTL6
A8Y2V1	Q94184
A8XHG7	G5EF59
A8WSG2	Q22716
A8WZN8	Q20089
A8Y208	A4V4W7
A8WWC7	Q8IA63
A8XGA4	Q17846
A8XJK9	Q18074
A8XXE9	O44895
A8WZV5	Q9GUE9
A8WMW8	A3QM97
A8X9Q5	Q9BL33
A8XHQ9	Q86LS4
A8XFF7	Q9U379
A8XS05	Q8IAA1
A8Y4N0	Q22572
A8XPG2	Q21984
A8XPG2	Q21985
A8WQL0	O16455
A8X1K6	H2KYI0
A8WQN1	O76700
A8XMR4	A7DTF0
A8WPJ5	O16307
A8X2V9	P91989
A8XTY0	A5HWA4
A8X160	Q20107
A8XFE3	O62234
A8X1D1	Q20631
A8XAH5	Q03605
A8WR57	Q9N432
A8XAR2	Q20916
A8Y0E4	O18225
A8XNG7	Q19349
A8WM68	P34616
A8XF20	A4LBC2
A8WYF7	Q9XUQ6
A8X875	Q95Y93
A8Y0H9	P41855
Q8HEC0	P24885
B6IJ52	Q8T3C8
A8Y0D9	Q7YWP0
A8Y0D9	Q9XU44
A8WXM6	B4E3X5
A8X173	A0FLR4
A8WSC1	P45968
A8WTS3	Q10021
A8WVA7	Q09589
A8XFK5	O01575
A8WN82	Q22231
A8WPE0	Q21763
A8XGE5	O01814
A8WND1	Q7YTL9
A8XZ70	E1NZ05
A8X182	Q23536
A8WKJ0	Q9XUP0
B6ILP3	A3FPI3
A8X8K3	Q22641
A8WRV1	Q21017
A8XT35	P34622
A8Y2J1	O44504
A8X7E7	Q95ZS0
A8XVA7	Q18741
A8X6H3	Q9TXI9
A8XQM6	Q93193
B6IGA2	Q19413
A8XRH3	Q9GYQ8
A8Y0C5	Q9U204
G2J6C6	K7ZUH9
G2J6C6	P08898
G2J6F9	K7ZUH9
G2J6F9	P08898
A8XPB9	P53015
A8WJC0	P91440
A8WJC0	O44633
A8WY55	Q564Y7
A8WY55	Q564Y8
A8WR79	Q9N5B1
A8WR79	G5ECD4
A8XTI5	Q22882
A8XTI3	Q22882
A8XEQ4	G5EDA3
A8XKM6	G5EEC2
A8WUS9	Q19220
A8XCY3	O17776
A8XEP2	P90789
A8X0P8	Q23614
A8X4X4	Q8MPR9
A8XNV7	Q20955
A8XBV1	Q9N598
A8Y4T1	Q19516
A8XL39	Q9TYT8
A8WX76	P91330
A8X8A3	P34509
A8X7W3	Q09230
A8WKJ2	Q9XTW0
A8XWV3	O44444
A8XPJ2	P41995
A8WSC8	Q22088
A8XWX1	O45201
A8XI26	Q21347
A8XQX2	Q19214
A8XNT9	Q22064
A8XC85	Q966J4
A8XWA4	Q9NF15
A8XMG7	O44874
A8XMG7	Q9BKX2
A8XMG7	C3JXD8
A8XMG7	Q9TZL6
A8XMG7	O01923
A8XDU6	O44874
A8XDU6	Q9BKX2
A8XDU6	C3JXD8
A8XDU6	Q9TZL6
A8XDU6	O01923
A8WWT0	O02203
A8WWT0	Q21108
A8XB98	O16398
A8X154	P55955
A8WZV4	Q95XC6
A8X2X9	P34682
A8XDU2	O17218
A8XEF3	P91483
A8X186	Q23537
A8WR04	Q9GYI6
A8XF76	Q21901
A8WSQ4	Q9XVX4
A8XJG4	Q21380
B6IIF8	O16908
A8XCQ2	Q8WQG3
A8X3C8	P45895
A8Y3N6	P34326
A8XJ45	Q95XG7
A8XSA6	Q69Z12
Q61DP3	P91869
A8WYR3	O45469
A8WJB4	Q21621
A8WNG1	Q21524
A8XPY0	G5ECB1
A8X2U7	Q18878
A8XNS9	O02165
A8XJ02	O45075
A8WNH8	Q95ZW3
A8X143	Q22237
A8XBZ4	Q18821
A8X6W6	Q4R127
A8XKN4	Q4PIW5
A8XGM7	Q9XXR4
B6IKD5	Q19343
A8WVW6	Q20856
A8WX58	Q20856
B6II55	Q9NAP2
B6II55	Q9NAM2
A8WTB1	Q17473
A8X641	Q18849
A8X6W4	O44621
A8X455	O62281
A8WMC3	Q22543
A8XFT8	O02159
A8WRD0	Q3Y400
A8WJ65	Q95ZL9
A8XB17	Q18180
A8WVX7	Q965S9
A8XHN1	Q22217
A8X803	Q95PX3
A8XIB6	Q9GRV5
A8X283	D6VPA1
A8XDT1	Q94131
A8Y0P7	Q21889
A8XMG8	Q9TYP4
B6IHN6	Q9BL44
A8XKJ7	H2KZL3
A8XKJ1	H2KZL3
A8XV10	P02513
A8XV10	P06581
A8WVT7	O01823
A8WYB2	O17728
A8WSS4	Q09662
A8XG53	H2L0E4
A8WUA0	O01900
A8WRZ7	Q21132
A8XVL6	A9UJP7
A8WW60	Q20647
A8WQS8	Q2EEM8
A8WSN4	Q7YWU0
A8XBQ9	Q09EE8
A8XMR9	P49632
A8XI57	Q1XFY9
A8X9M8	Q7YX95
A8Y0P2	Q20587
Q60V90	Q966W3
A8XMR7	Q9U2S2
A8X7Z4	H2KZV8
A8WUM4	P52819
A8WIZ6	Q21105
A8XG22	O01692
A8X1M2	Q18567
A8WP88	Q7YX52
A8X1F7	Q20844
A8X3H6	Q9N3I1
A8XD45	Q965S0
A8WV63	Q9U370
A8XI62	Q8WTL2
A8XHE1	Q9U2I5
A8XGM4	Q9XXR5
A8XHH7	Q9XX02
A8Y315	Q6AHP8
A8Y1L9	Q8WTJ8
A8WK79	Q7YXB0
B6IEC4	Q7YXB0
A8WK78	Q7YXB0
A8WKU1	G5EC16
A8X5G3	D5MNM9
A8WKT1	Q18706
A8X1I5	Q9N3Y9
A8WRT8	Q14T75
A8WND2	Q20617
A8XBD3	O61833
A8X4I2	Q17677
A8WSK4	Q9TZD6
A8XKN7	Q21816
A8X3U1	Q9TZ51
A8X316	Q9UAZ2
A8XWM4	Q18642
A8XHF3	Q95Q05
A8WTE2	G5EGK6
A8XUF1	Q23069
A8Y0B2	Q7YTI3
A8XSC2	Q9TZI8
A8WKB4	H2L0R8
A8WRH3	G5EC10
A8WWB8	O44741
A8WTZ1	Q18319
A8X9K2	Q18818
A8X4H4	Q22156
B6IG49	B5BM45
A8WSY9	Q09457
A8XHL7	Q09378
A8WQU4	Q9U1Y0
A8X4Y4	Q94072
A8XX93	Q09254
A8X9I6	Q9N4V5
A8XP15	Q23659
A8XXA3	Q22029
A8XZI4	Q6A575
A8Y217	Q9U3Q9
A8Y217	Q19158
A8WW97	O01819
Q60NC0	P34886
A8XD30	A5JYX9
A8WNZ4	Q09360
A8WU80	Q18187
A8WQM7	Q22971
A8WT71	Q22745
A8XFL9	P90867
A8XGU9	Q09338
A8XMD0	P50439
A8Y0A4	O18236
A8XNZ5	Q1W0R1
A8XF77	Q21902
A8Y0J5	P91844
A8XT73	Q19820
A8XY54	Q18231
A8Y0N2	Q18244
B6IK74	P34399
Q8I8U6	P34691
A8XPX2	Q95QR7
A8XLJ4	Q9N384
A8Y0L2	Q7YX58
Q612X6	Q9BI74
A8Y413	P90754
A8WVP4	O01780
A8WTV5	Q09490
A8X373	P30644
A8X0E6	Q17985
A8XHQ3	Q10936
A8XXI1	O17271
A8X1B1	Q94234
B6IEU6	K8ESI1
A8XH42	Q19952
A8XT38	P34618
P0C657	Q93442
A8WMA7	Q21854
A8X700	Q965S1
A8XGP9	Q9U2Y4
B6ILK4	Q2V4U3
A8WYZ8	Q9XUG3
A8WMT5	Q9XUG3
A8X6V4	D6RYD3
A8X8H7	G5ECP3
A8X772	G5EEQ9
A8WV07	Q17629
A8WNI7	Q21997
A8WXF2	Q18751
A8WZR0	Q9TYY8
A8WST7	Q7YWM7
A8WKD0	Q9N5K0
A8X351	Q4EVY2
A8WTZ7	Q9TZK4
A8XJA4	Q20557
A8XP27	Q19685
G2J745	P09588
A8XML9	Q965T5
A8XPT6	Q94315
A8XWV6	Q7JNR0
Q60V67	Q95Q98
A8XXA7	Q7YX69
A8XZ13	Q9U3J3
A8WZQ6	Q09301
A8WZQ6	Q09295
E3CTX6	Q09301
E3CTX6	Q09295
A8WZU2	Q09301
A8WZU2	Q09295
A8XDG2	Q9XXT8
A8XDG3	Q9XXT8
A8WK33	Q22621
A8X4P3	O62122
A8WZ44	Q18008
A8WK82	Q7YTU3
A8XGF3	O17769
A8WS16	Q22739
A8X066	O45487
A8WJR5	Q93747
A8XIY7	O45200
A8WTV6	Q65ZJ7
A8WJA0	Q9U256
A8WS43	Q95XK0
A8WXW1	Q7YWU8
B6IFI1	G5EC83
A8Y1U6	O02058
A8WZY3	Q95XD3
A8XJP2	Q20001
A8WTQ9	Q19546
A8Y1Z3	O61749
A8XV02	Q18158
A8XBZ1	Q966P5
A8XSB3	Q21541
A8X5G9	Q9XUI0
A8XD43	Q9N2U8
A8Y4S0	Q17947
A8XRG4	Q95QK1
A8XR09	Q9XVW5
A8Y4I8	Q9U382
A8XF30	P34611
A8WZH4	G5EE98
A8WU94	Q18235
A8X372	P30643
A8WSX8	Q21568
A8XAA8	P34748
A8WZ30	Q22684
A8Y1V0	O02055
A8WXM3	Q9XWY1
A8X699	Q9N5V2
A8X153	Q9XWL1
A8XZ59	Q9XXH8
A8XLR2	Q4TT99
G2J6T2	Q9U239
A8XMJ9	O76623
A8XMJ9	O45471
A8XMJ9	O62032
A8XMJ9	O62033
A8X1V4	O16327
A8X1V4	O61936
A8XWE0	G5ECI1
A8XMY6	O62356
A8XHW3	Q09383
A8Y0A9	O18234
A8XF44	Q3S1N8
A8WXD1	Q9XVT3
A8WN53	Q09274
A8XH75	Q9U2B0
A8Y3Y9	Q22176
A8Y2G9	Q3V5J7
A8WXA0	Q22576
A8WXA0	O17844
A8WXA0	O62367
A8WXA0	O62368
A8WXA0	O17842
A8WXA0	O18689
A8WXA0	O17847
A8WXA0	O18690
A8WXA0	O17846
A8XNE8	Q10928
A8XNE8	Q10906
B6IEU5	O16345
A8WQ26	O16345
A8XJ20	A7WK41
A8XF26	H2KYW0
A8XCZ1	O02323
A8WP55	Q7YX93
A8X0E7	G5EFI1
A8WWN1	Q93640
A8XC39	Q22488
A8XV03	Q18159
A8Y195	P53795
A8X5E2	Q9U3L4
A8XX15	Q21009
A8X945	Q9XVL5
A8WK07	Q9N5P8
A8WK07	O44815
A8WK07	Q9N5P9
A8WK07	O44817
A8WK07	O44818
A8WK07	O76568
A8WK07	Q9N5Q0
A8WK07	Q9TYJ0
A8WK07	Q9TYJ1
A8WY66	Q9N5P8
A8WY66	O44815
A8WY66	Q9N5P9
A8WY66	O44817
A8WY66	O44818
A8WY66	O76568
A8WY66	Q9N5Q0
A8WY66	Q9TYJ0
A8WY66	Q9TYJ1
A8X2L8	Q17466
A8X2L8	Q17469
A8XIS8	Q7YTJ8
A8XIS8	A0AAC1
A8X948	Q22360
A8WX70	K8ERW6
A8WTJ2	O45235
A8X3W9	O16228
A8WL38	Q22288
A8XFR6	O01442
A8WT38	Q20229
A8WUZ5	Q22499
A8X6L8	Q18796
A8XF56	P34671
A8XJN3	Q11089
A8XEM8	P27715
A8WR21	G5ECB2
A8XNM8	Q17742
A8XT31	Q04907
A8XAJ2	Q7YX48
A8Y0V7	O76406
A8XV00	Q18156
E3CU89	O62183
A8XWJ9	Q9TYR4
A8XWJ9	Q17734
A8XWJ9	Q9TYR7
A8XWJ9	Q9TYR5
A8XLB7	A0FLS4
A8XHV2	A0FLS4
A8WNL9	Q19863
A8WNL9	Q19862
A8WSE7	A5PEX0
A8WW09	O01497
A8X040	F3Y5Q0
A8X1B0	H2KYL3
A8WWT8	Q7YX19
A8X9A5	Q21500
A8XS03	O61885
A8Y1Y9	O01873
A8XKB0	Q18346
A8XC22	Q22341
A8Y4G8	O17719
A8XHV4	Q21551
A8X7T0	P46504
A8XEA4	Q4W5S0
A8X2L5	Q9UAR1
A8Y3G6	Q20779
A8XI52	Q9TYK0
A8X218	O61910
A8X218	Q8IFY3
A8X218	P91385
A8X218	Q8IFY1
A8X218	P91380
A8X218	P91379
A8X218	Q8IFY0
A8X218	P91382
A8X218	O16416
A8X218	P91378
A8X218	Q7YXG6
A8X218	O16415
A8X218	O61971
A8X218	O16414
A8X218	O61908
A8X218	O61945
A8X218	O61909
A8X218	O16503
A8X218	O61912
A8X218	P91160
A8X218	O61970
A8X218	Q8IFX9
A8WYQ4	O45477
A8WS74	Q1ZXT9
A8X1V0	P91205
A8WLC4	Q564V4
A8XVK5	G5EGG9
A8Y4D2	P90947
A8XDA3	Q21269
A8X6B0	Q9TYN1
A8XV78	Q65ZI4
A8XNN2	Q9TZN0
B6ILB5	B3CJ42
B6ILB5	Q9N4N7
B6ILB5	B3CJ45
B6ILB5	H2L0F3
B6ILB5	Q9N4N9
B6ILB5	O16751
B6ILB5	Q9XXF7
B6ILB5	Q9U3D2
A8WQ29	Q9N5U2
A8WQ29	D6VP99
A8WQ30	Q9N5U2
A8WQ30	D6VP99
A8XIL1	Q23031
A8XIL2	Q23031
A8WLI4	G5EGB6
A8X3U7	A4F336
A8WY27	O17587
A8Y3R9	Q19857
A8WVU3	O44730
A8X9F1	G4RVA5
A8X6B9	K8ERT7
A8WT14	Q20401
A8X9Z0	P34293
A8XX42	H2KZ04
A8XH01	P49180
A8XJE6	Q18012
A8XWD3	O45499
A8X7S1	Q8MNU2
A8WLC6	G5EBF2
A8WWP3	Q9XVE9
A8X820	Q9BIB4
A8X078	Q9XVF6
A8XBN9	Q94195
A8XWN3	Q4PIV5
A8XMR0	Q9XWV7
A8XTI0	Q9U3E6
A8XZ62	Q9XXI8
A8XD34	Q9XUW9
A8XD34	Q19759
A8XM53	Q9XUW9
A8XM53	Q19759
A8XMA8	Q9XUW9
A8XMA8	Q19759
A8Y2Y1	Q9XUW9
A8Y2Y1	Q19759
A8Y2Y2	Q9XUW9
A8Y2Y2	Q19759
A8Y2X7	Q9XUW9
A8Y2X7	Q19759
A8Y2Y6	Q9XUW9
A8Y2Y6	Q19759
A8Y2X9	Q9XUW9
A8Y2X9	Q19759
A8XFE0	Q9N5Y7
A8XFE0	Q9N5V0
A8XFE0	H2KYM7
A8XFE0	Q95YE3
A8WVD7	G5EBW3
A8WNG9	H2KY89
A8XM06	H2KY89
A8XSP5	Q19800
A8XSP6	Q19800
A8X0I1	L8EC38
A8WUF7	Q09300
A8WSI0	Q18089
A8WJW1	Q86D17
A8XF55	P34677
A8XXN8	O02299
A8XE75	Q18208
A8WU33	Q9TY03
A8WZ37	Q21219
A8WK92	O17297
A8WK92	Q9N5Q1
A8Y113	O17297
A8Y113	Q9N5Q1
A8WJE3	O17297
A8WJE3	Q9N5Q1
A8Y109	O17297
A8Y109	Q9N5Q1
A8WLJ4	O17297
A8WLJ4	Q9N5Q1
A8XXT9	O17297
A8XXT9	Q9N5Q1
A8XAJ5	O17297
A8XAJ5	Q9N5Q1
A8XXT5	O17297
A8XXT5	Q9N5Q1
A8Y045	O17297
A8Y045	Q9N5Q1
A8XVT8	O17297
A8XVT8	Q9N5Q1
A8XVS5	O17297
A8XVS5	Q9N5Q1
A8XN00	O18089
A8XN00	Q2XMY2
A8XT62	Q20185
A8XT62	P34538
A8WLZ9	O45909
A8X5P9	O16586
A8XC98	H2KZE5
A8WUD2	Q09949
A8XLP8	C7IVR7
A8X0Q3	Q17829
A8WZ47	Q45EK1
A8WUY7	Q21216
A8XC87	Q18803
A8X769	Q23240
A8XFI6	Q22390
A8WWF9	Q9U757
A8XQX3	Q19213
A8XWL8	Q18339
A8XSL4	Q21485
A8Y3F3	Q09506
A8XNK3	Q7YTK9
A8XVE5	Q23457
A8X138	Q22235
A8XUQ3	Q9N336
A8Y2I2	Q9XUT5
A8WJK4	C0VXV7
A8XCB0	O62324
A8XNS8	O02167
A8X8R6	Q17424
A8XEK6	P90835
A8XUD5	O16517
A8XM27	O62303
A8XJ96	Q10574
A8X4H8	K8ESM2
A8XV49	Q95QA3
A8X8V0	Q23642
A8X5N0	Q7YXB4
A8XFY1	Q21735
A8WW24	Q9XXN3
