HDO-ID	Term	TermType	IsObsolete	IsA	OMIMID
DOID:0050157	cryptogenic organizing pneumonia		---	DOID:0002797	---
DOID:0050158	desquamative interstitial pneumonia		---	DOID:0002797	OMIM:263000 
DOID:0050159	lymphoid interstitial pneumonia		---	DOID:0002797	---
DOID:0050160	inhalation anthrax		---	DOID:0007427	---
DOID:0050161	lower respiratory tract disease		---	DOID:0001579	---
DOID:0050162	influenza encephalopathy		Y	---	---
DOID:0050163	influenza myocarditis		Y	---	---
DOID:0050164	influenza myositis		Y	---	---
DOID:0050165	tuberculous mesenteric gland		Y	---	---
DOID:0050166	tuberculous salpingitis		---	DOID:0002149	---
DOID:0050167	autoimmune polyendocrine syndrome type 1		---	DOID:0014040	---
DOID:0050168	autoimmune polyendocrine syndrome type 2		---	DOID:0014040	---
DOID:0050169	cutaneous lupus erythematosus		---	DOID:0000037 DOID:0008857	---
DOID:0050170	Jamestown Canyon encephalitis		Y	---	---
DOID:0050171	snowshoe hare encephalitis		Y	---	---
DOID:0050172	trivittatus encephalitis		Y	---	---
DOID:0050173	inkoo encephalitis		Y	---	---
DOID:0050174	Kunjin encephalitis		---	DOID:0002365	---
DOID:0050175	tick-borne encephalitis		---	DOID:0000934	---
DOID:0050177	monogenic disease		---	DOID:0000630	---
DOID:0050178	complex genetic disease		Y	---	---
DOID:0050179	Powassan encephalitis		---	DOID:0000934	---
DOID:0050180	Colorado tick fever encephalitis		Y	---	---
DOID:0050181	Herpes simplex virus encephalitis		Y	---	---
DOID:0050182	Varicella-zoster virus encephalitis		Y	---	---
DOID:0050183	Epstein-Barr virus encephalitis		Y	---	---
DOID:0050184	Measles virus encephalitis		Y	---	---
DOID:0050185	erythema multiforme		---	DOID:0000037	---
DOID:0050186	Cytomegalovirus encephalitis		Y	---	---
DOID:0050187	Rubella virus encephalitis		Y	---	---
DOID:0050188	coxsackievirus encephalitis		Y	---	---
DOID:0050189	polioencephalitis		Y	---	---
DOID:0050190	adenovirus encephalitis		Y	---	---
DOID:0050191	influenza virus encephalitis		Y	---	---
DOID:0050192	Nipah virus encephalitis		Y	---	---
DOID:0050193	Lymphocytic choriomeningitis virus encephalitis		Y	---	---
DOID:0050194	Argentine hemorrhagic fever		---	DOID:0000934	---
DOID:0050195	Bolivian hemorrhagic fever		---	DOID:0000934	---
DOID:0050196	Venezuelan hemorrhagic fever		---	DOID:0000934	---
DOID:0050197	Brazilian hemorrhagic fever		---	DOID:0000934	---
DOID:0050198	Chapare hemorrhagic fever		---	DOID:0000934	---
DOID:0050199	Whitewater Arroyo hemorrhagic fever		---	DOID:0000934	---
DOID:0050200	Korean hemorrhagic fever		---	DOID:0011266	---
DOID:0050201	nephropathia epidemica		---	DOID:0011266	---
DOID:0050202	lujo hemorrhagic fever		---	DOID:0000934	---
DOID:0050203	Cytomegalovirus hepatitis		Y	---	---
DOID:0050204	Epstein-Barr virus hepatitis		---	DOID:0001884	---
DOID:0050205	Herpes simplex virus hepatitis		Y	---	---
DOID:0050206	adenovirus hepatitis		Y	---	---
DOID:0050207	Rubella virus hepatitis		Y	---	---
DOID:0050208	yellow fever hepatitis		Y	---	---
DOID:0050209	Measles virus hepatitis		Y	---	---
DOID:0050210	Varicella-zoster virus hepatitis		Y	---	---
DOID:0050211	swine influenza		---	DOID:0008469	---
DOID:0050212	Campylobacter jejuni gastroenteritis		Y	---	---
DOID:0050213	Vibrio gastroenteritis		Y	---	---
DOID:0050214	Lambert-Eaton myasthenic syndrome		---	DOID:0000439	---
DOID:0050215	Staphylococcus gastroenteritis		Y	---	---
DOID:0050216	Bacillus cereus gastroenteritis		Y	---	---
DOID:0050217	Sapovirus gastroenteritis		Y	---	---
DOID:0050218	polycystic echinococcosis		---	DOID:0001496	---
DOID:0050219	Hepeviridae infectious disease		Y	---	---
DOID:0050220	Coxiella burnetii pneumonia		Y	---	---
DOID:0050221	Coxiella burnetii hepatitis		Y	---	---
DOID:0050222	selective IgM deficiency disease		---	DOID:0011702	---
DOID:0050223	candidal gastritis		Y	---	---
DOID:0050224	Helicobacter heilmannii infectious disease		Y	---	---
DOID:0050225	Histoplasma capsulatum gastritis		Y	---	---
DOID:0050226	Morganella morganii intestinal infectious disease		Y	---	---
DOID:0050227	Vibrio cholerae O139 cholera		Y	---	---
DOID:0050228	amebic dysentery		Y	---	---
DOID:0050229	Escherichia coli dysentery		Y	---	---
DOID:0050230	intestinal capillariasis		Y	---	---
DOID:0050231	hepatic capillariasis		Y	---	---
DOID:0050232	pulmonary capillariasis		Y	---	---
DOID:0050233	Balamuthia mandrillaris infectious disease		Y	---	---
DOID:0050234	Acanthamoeba infectious disease		Y	---	---
DOID:0050235	Alveolata infectious disease		Y	---	---
DOID:0050236	Heterolobosea infectious disease		Y	---	---
DOID:0050237	Euglenozoa infectious disease		Y	---	---
DOID:0050238	Parabasalia infectious disease		Y	---	---
DOID:0050239	Fornicata infectious disease		Y	---	---
DOID:0050240	Trichomonadida infectious disease		Y	---	---
DOID:0050241	Tritrichomonadida infectious disease		Y	---	---
DOID:0050242	primary amebic meningoencephalitis		---	DOID:0002789	---
DOID:0050243	Apicomplexa infectious disease		Y	---	---
DOID:0050244	Coccidia infectious disease		Y	---	---
DOID:0050245	Aconoidasida infectious disease		Y	---	---
DOID:0050246	granulomatous amebic encephalitis		---	DOID:0002789	---
DOID:0050247	parasitic stramenopiles infectious disease		Y	---	---
DOID:0050249	Brugia timori filariasis		Y	---	---
DOID:0050250	philophthalmiasis		---	DOID:0000883	---
DOID:0050251	coenurosis		---	DOID:0000883	---
DOID:0050252	Dipylidium caninum infectious disease		Y	---	---
DOID:0050253	mesocestoidiasis		---	DOID:0000883	---
DOID:0050254	acanthocephaliasis		---	DOID:0000883	---
DOID:0050255	Uncinaria stenocephala infectious disease		Y	---	---
DOID:0050256	angiostrongyliasis		---	DOID:0000883	---
DOID:0050257	Angiostrongylus cantonensis infectious disease		Y	---	---
DOID:0050258	Angiostrongylus costaricensis infectious disease		Y	---	---
DOID:0050259	baylisascariasis		---	DOID:0000883	---
DOID:0050260	dioctophymiasis		---	DOID:0000883	---
DOID:0050261	thelaziasis		---	DOID:0000883	---
DOID:0050262	Acoelomata infectious disease		Y	---	---
DOID:0050263	Pseudocoelomata infectious disease		Y	---	---
DOID:0050264	Acanthocephala infectious disease		Y	---	---
DOID:0050265	tick paralysis		Y	---	---
DOID:0050266	tungiasis		---	DOID:0004110	---
DOID:0050267	Ancylostoma caninum ancylostomiasis		Y	---	---
DOID:0050268	ophthalmomyiasis		---	DOID:0011080	---
DOID:0050269	Trichomonas vaginalis trichomoniasis		Y	---	---
DOID:0050270	Trichomonas tenax trichomoniasis		Y	---	---
DOID:0050271	cutaneous ascomycota mycosis		Y	---	---
DOID:0050272	cutaneous basidiomycota mycosis		Y	---	---
DOID:0050273	Neoscytalidium dimidiatum infectious disease		Y	---	---
DOID:0050274	Scopulariopsis infectious disease		Y	---	---
DOID:0050275	onychomycosis		Y	---	---
DOID:0050276	subcutaneous ascomycota mycosis		Y	---	---
DOID:0050277	subcutaneous fungi incertae sedis mycosis		Y	---	---
DOID:0050278	basidiobolomycosis		---	DOID:0050135	---
DOID:0050279	conidiobolomycosis		---	DOID:0050135	---
DOID:0050280	superficial ascomycota mycosis		Y	---	---
DOID:0050281	superficial basidiomycota mycosis		Y	---	---
DOID:0050282	primary systemic ascomycota mycosis		Y	---	---
DOID:0050283	Stachybotrys infectious disease		Y	---	---
DOID:0050284	opportunistic ascomycota mycosis		Y	---	---
DOID:0050285	opportunistic basidiomycota mycosis		Y	---	---
DOID:0050286	opportunistic fungi incertae sedis mycosis		Y	---	---
DOID:0050287	opportunistic microsporidia mycosis		Y	---	---
DOID:0050288	penicilliosis		---	DOID:0002473	---
DOID:0050289	fusariosis		---	DOID:0002473	---
DOID:0050290	trichosporonosis		---	DOID:0002473	---
DOID:0050291	parasitic Ichthyosporea infectious disease		---	DOID:0001398	---
DOID:0050292	primary systemic mycosis		---	DOID:0050136	---
DOID:0050293	Scopulariopsis brevicaulis infectious disease		Y	---	---
DOID:0050294	Scytalidium hyalinum infectious disease		Y	---	---
DOID:0050295	cutaneous sporotrichosis		Y	---	---
DOID:0050296	Asfarviridae infectious disease		Y	---	---
DOID:0050297	primary Francisellaceae infectious disease		Y	---	---
DOID:0050298	adenovirus infectious disease		Y	---	---
DOID:0050299	Simplexvirus infectious disease		Y	---	---
DOID:0050300	Deltavirus infectious disease		Y	---	---
DOID:0050301	Polyomaviridae infectious disease		Y	---	---
DOID:0050302	Varicellovirus infectious disease		Y	---	---
DOID:0050303	Hepacivirus infectious disease		Y	---	---
DOID:0050304	aniseikonia		---	DOID:0009835	---
DOID:0050305	Arteriviridae infectious disease		Y	---	---
DOID:0050306	familial abdominal aortic aneurysm		Y	---	OMIM:100070 
DOID:0050307	Bornaviridae infectious disease		Y	---	---
DOID:0050308	Alkhurma hemorrhagic fever		---	DOID:0011320	---
DOID:0050309	Measles virus infectious disease		Y	---	---
DOID:0050310	primary Listeriaceae infectious disease		Y	---	---
DOID:0050311	primary Helicobacteraceae infectious disease		Y	---	---
DOID:0050312	primary Campylobacteraceae infectious disease		Y	---	---
DOID:0050313	primary Brucellaceae infectious disease		Y	---	---
DOID:0050314	primary Erysipelotrichaceae infectious disease		Y	---	---
DOID:0050315	commensal Clostridiaceae infectious disease		Y	---	---
DOID:0050316	commensal Staphylococcaceae infectious disease		Y	---	---
DOID:0050317	commensal Streptococcaceae infectious disease		Y	---	---
DOID:0050318	primary Burkholderiaceae infectious disease		Y	---	---
DOID:0050319	primary Legionellaceae infectious disease		Y	---	---
DOID:0050320	commensal Alcaligenaceae infectious disease		Y	---	---
DOID:0050321	opportunistic Pseudomonadaceae infectious disease		Y	---	---
DOID:0050322	primary Vibrionaceae infectious disease		Y	---	---
DOID:0050323	primary Coxiellaceae infectious disease		Y	---	---
DOID:0050324	physical disorder OBSOLETED TERM		Y	---	---
DOID:0050325	genetic disorder		Y	---	---
DOID:0050327	peripheral dysostosis		Y	---	OMIM:170700 
DOID:0050328	congenital hypothyroidism		---	DOID:0001459	OMIM:218700 OMIM:225250 OMIM:274400 OMIM:274500 OMIM:274900 OMIM:275100 OMIM:275200 OMIM:607200 OMIM:609893 OMIM:614450 
DOID:0050329	mental disorder		Y	---	---
DOID:0050331	LADD syndrome		---	DOID:0050736	OMIM:149730 
DOID:0050332	enlarged vestibular aqueduct		---	DOID:0002742	OMIM:600791 
DOID:0050333	congenital anosmia		Y	---	OMIM:107200 
DOID:0050334	thiourea tasting		Y	---	OMIM:171200 
DOID:0050335	bradyopsia		---	DOID:0005679	OMIM:608415 
DOID:0050336	hypophosphatemia		---	DOID:0002485	---
DOID:0050337	Burkholderia cepacia infectious disease		Y	---	---
DOID:0050338	primary bacterial infectious disease		---	DOID:0000104	---
DOID:0050339	commensal bacterial infectious disease		---	DOID:0000104	---
DOID:0050340	opportunistic bacterial infectious disease		---	DOID:0000104	---
DOID:0050341	opportunistic Actinomycetales infectious disease		Y	---	---
DOID:0050342	commensal Actinomycetales infectious disease		Y	---	---
DOID:0050343	Gardnerella vaginalis vaginosis		Y	---	---
DOID:0050344	commensal Bifidobacteriaceae infectious disease		Y	---	---
DOID:0050345	primary Thermomonosporaceae infectious disease		Y	---	---
DOID:0050346	primary Corynebacteriaceae infectious disease		Y	---	---
DOID:0050347	primary Mycobacteriaceae infectious disease		Y	---	---
DOID:0050348	primary Streptomycetaceae infectious disease		Y	---	---
DOID:0050349	opportunistic Nocardiaceae infectious disease		Y	---	---
DOID:0050350	primary Clostridiaceae infectious disease		Y	---	---
DOID:0050351	primary Clostridium infectious disease		Y	---	---
DOID:0050352	foodborne botulism		---	DOID:0011976	---
DOID:0050353	wound botulism		---	DOID:0011976	---
DOID:0050354	infant botulism		---	DOID:0011976	---
DOID:0050355	opportunistic Burkholderiaceae infectious disease		Y	---	---
DOID:0050357	Burkholderia cenocepacia infectious disease		Y	---	---
DOID:0050358	commensal Chlamydiaceae infectious disease		Y	---	---
DOID:0050359	Bilophila wadsworthia necrotizing fasciitis		Y	---	---
DOID:0050360	commensal Enterobacteriaceae infectious disease		Y	---	---
DOID:0050361	opportunistic Enterobacteriaceae infectious disease		Y	---	---
DOID:0050362	Elizabethkingia meningoseptica infectious disease		Y	---	---
DOID:0050363	Capnocytophaga canimorsus infectious disease		Y	---	---
DOID:0050364	opportunistic Flavobacteriaceae infectious disease		Y	---	---
DOID:0050365	Chryseobacterium indologenes infectious disease		Y	---	---
DOID:0050366	Empedobacter brevis endophthalmitis		Y	---	---
DOID:0050367	Myroides odoratus necrotizing fasciitis		Y	---	---
DOID:0050368	commensal Fusobacteriaceae infectious disease		Y	---	---
DOID:0050369	primary Mycoplasmataceae infectious disease		Y	---	---
DOID:0050370	commensal Neisseriaceae infectious disease		Y	---	---
DOID:0050371	commensal Pasteurellaceae infectious disease		Y	---	---
DOID:0050372	commensal Haemophilus infectious disease		Y	---	---
DOID:0050373	Leptospiraceae infectious disease		Y	---	---
DOID:0050374	Spirochaetaceae infectious disease		Y	---	---
DOID:0050375	primary Spirillaceae infectious disease		Y	---	---
DOID:0050376	anaplasmosis		Y	---	---
DOID:0050377	Burkholderia cepacia complex infectious disease		Y	---	---
DOID:0050378	opportunistic Campylobacteraceae infectious disease		Y	---	---
DOID:0050379	Campylobacter fetus infectious disease		Y	---	---
DOID:0050380	Campylobacter coli infectious disease		Y	---	---
DOID:0050381	Chlamydia trachomatis epididymitis		Y	---	---
DOID:0050382	glandular tularemia		---	DOID:0002123	---
DOID:0050383	typhoidal tularemia		---	DOID:0002123	---
DOID:0050384	commensal Helicobacteraceae infectious disease		Y	---	---
DOID:0050385	commensal Helicobacter infectious disease		Y	---	---
DOID:0050386	Acinetobacter baumannii pneumonia		Y	---	---
DOID:0050387	nonpapillary renal cell carcinoma		---	DOID:0004455	OMIM:144700 
DOID:0050388	Bacteroides fragilis peritonitis		Y	---	---
DOID:0050389	Capnocytophaga canimorsus meningitis		Y	---	---
DOID:0050390	Capnocytophaga canimorsus endocarditis		Y	---	---
DOID:0050391	Elizabethkingia meningoseptica meningitis		Y	---	---
DOID:0050392	streptococcal necrotizing fasciitis		Y	---	---
DOID:0050393	Chryseobacterium indologenes pneumonia		Y	---	---
DOID:0050394	nocardial pneumonia		Y	---	---
DOID:0050395	nocardial cellulitis		Y	---	---
DOID:0050396	nocardial keratitis		Y	---	---
DOID:0050397	cerebral Bilophila wadsworthia infectious disease		Y	---	---
DOID:0050398	Carrion's Disease		---	DOID:0011102	---
DOID:0050399	Bordetella pertussis whooping cough		Y	---	---
DOID:0050400	Pseudomonas urinary tract infectious disease		Y	---	---
DOID:0050401	Pseudomonas endocarditis		Y	---	---
DOID:0050402	Pseudomonas keratitis		Y	---	---
DOID:0050403	commensal Mycoplasmatales infectious disease		Y	---	---
DOID:0050404	commensal Mycoplasmataceae infectious disease		Y	---	---
DOID:0050405	Mycoplasma genitalium urethritis		Y	---	---
DOID:0050406	Yersinia pseudotuberculosis mesenteric lymphadenitis		Y	---	---
DOID:0050407	commensal Mycoplasma infectious disease		Y	---	---
DOID:0050408	Staphylococcus aureus ecthyma		Y	---	---
DOID:0050409	Streptococcus pyogenes ecthyma		Y	---	---
DOID:0050410	streptococcal erysipelas		Y	---	---
DOID:0050411	Staphylococcus aureus erysipelas		Y	---	---
DOID:0050412	Streptococcus impetigo		Y	---	---
DOID:0050413	Staphylococcus aureus impetigo		Y	---	---
DOID:0050414	Streptococcus lymphangitis		Y	---	---
DOID:0050415	Staphylococcus aureus lymphangitis		Y	---	---
DOID:0050416	Streptococcus agalactiae meningitis		Y	---	---
DOID:0050417	Streptococcus equisimilis meningitis		Y	---	---
DOID:0050418	Streptococcus zooepidemicus meningitis		Y	---	---
DOID:0050419	complement factor I deficiency		---	DOID:0000626	OMIM:610984 
DOID:0050420	primary Streptococcaceae infectious disease		Y	---	---
DOID:0050421	primary streptococcal infectious disease		Y	---	---
DOID:0050422	Yersinia pseudotuberculosis gastroenteritis		Y	---	---
DOID:0050423	enteroaggregative Escherichia coli infectious disease		Y	---	---
DOID:0050424	familial adenomatous polyposis		---	DOID:0050736	OMIM:175100 OMIM:608456 
DOID:0050425	restless legs syndrome		---	DOID:0000331	OMIM:102300 OMIM:608830 OMIM:610438 OMIM:610439 OMIM:611185 OMIM:611242 OMIM:612853 OMIM:615197 
DOID:0050426	Stevens-Johnson syndrome		---	DOID:0000037	---
DOID:0050427	xeroderma pigmentosum		---	DOID:0050737	OMIM:278700 OMIM:278720 OMIM:278730 OMIM:278740 OMIM:278750 OMIM:278760 OMIM:278780 OMIM:610651 
DOID:0050428	nonepidermolytic palmoplantar keratoderma		---	DOID:0003390	OMIM:600962 OMIM:613000 OMIM:615735 
DOID:0050429	Hailey-Hailey disease		---	DOID:0000037	OMIM:169600 
DOID:0050430	multiple endocrine neoplasia type 2A		---	DOID:0050736	OMIM:171400 
DOID:0050431	arrhythmogenic right ventricular cardiomyopathy		---	DOID:0060036	OMIM:107970 OMIM:600996 OMIM:602086 OMIM:602087 OMIM:604400 OMIM:604401 OMIM:607450 OMIM:609040 OMIM:610193 OMIM:610476 OMIM:611528 OMIM:615616 
DOID:0050432	Asperger syndrome		---	DOID:0060041	OMIM:300494 OMIM:300497 OMIM:608631 OMIM:608638 OMIM:608781 OMIM:609954 
DOID:0050433	fatal familial insomnia		---	DOID:0000649	OMIM:600072 
DOID:0050434	Andersen-Tawil syndrome		---	DOID:0002843	OMIM:170390 
DOID:0050436	mulibrey nanism		---	DOID:0050737	OMIM:253250 
DOID:0050437	Danon disease		---	DOID:0003211	OMIM:300257 
DOID:0050438	Frasier syndrome		---	DOID:0050736	OMIM:136680 
DOID:0050439	Usher syndrome		---	DOID:0050737	OMIM:276900 OMIM:276901 OMIM:276902 OMIM:276904 OMIM:601067 OMIM:602083 OMIM:602097 OMIM:605472 OMIM:606943 OMIM:611383 OMIM:612632 OMIM:614504 OMIM:614869 OMIM:614990 
DOID:0050440	familial partial lipodystrophy		---	DOID:0000811	OMIM:151660 OMIM:604367 OMIM:608600 OMIM:613877 OMIM:615238 
DOID:0050441	mucosulfatidosis		---	DOID:0001927	OMIM:272200 
DOID:0050444	infantile refsum disease		---	DOID:0000906	OMIM:266510 
DOID:0050445	X-linked hypophosphatemia		---	DOID:0000896	OMIM:193100 OMIM:241520 OMIM:300554 OMIM:307800 OMIM:613312 
DOID:0050448	hereditary mucosal leukokeratosis		---	DOID:0000037	OMIM:193900 OMIM:615785 
DOID:0050449	pachyonychia congenita		---	DOID:0050736	OMIM:167200 OMIM:167210 
DOID:0050450	Gitelman syndrome		---	DOID:0000447	OMIM:263800 
DOID:0050451	Brugada syndrome		---	DOID:0010273	OMIM:601144 OMIM:611777 OMIM:611875 OMIM:611876 OMIM:612838 OMIM:613119 OMIM:613120 OMIM:613123 
DOID:0050452	mevalonic aciduria		---	DOID:0000906	OMIM:610377 
DOID:0050453	lissencephaly		---	DOID:0002490	OMIM:257320 OMIM:300067 OMIM:300215 OMIM:607432 OMIM:611603 OMIM:614019 OMIM:615191 
DOID:0050454	periventricular nodular heterotopia		---	DOID:0002490	OMIM:300049 OMIM:300537 OMIM:608097 OMIM:608098 OMIM:612881 OMIM:615544 
DOID:0050455	arachnodactyly		Y	---	---
DOID:0050456	Buruli ulcer disease		---	DOID:0050338	---
DOID:0050457	Sertoli cell-only syndrome		---	DOID:0012336	OMIM:305700 OMIM:400042 
DOID:0050458	juvenile myelomonocytic leukemia		---	DOID:0004972	OMIM:607785 
DOID:0050459	hyperphosphatemia		---	DOID:0002485	---
DOID:0050460	Wolf-Hirschhorn syndrome		---	DOID:0080014	OMIM:194190 
DOID:0050461	aspartylglucosaminuria		---	DOID:0003211	OMIM:208400 
DOID:0050462	Antley-Bixler syndrome		---	DOID:0050737	OMIM:201750 OMIM:207410 
DOID:0050463	campomelic dysplasia		---	DOID:0002256	OMIM:114290 
DOID:0050464	Farber lipogranulomatosis		---	DOID:0009455	OMIM:228000 
DOID:0050465	Muir-Torre syndrome		---	DOID:0003883	OMIM:158320 
DOID:0050466	Loeys-Dietz syndrome		---	DOID:0050736	OMIM:608967 OMIM:609192 OMIM:610168 OMIM:610380 OMIM:613795 OMIM:614816 
DOID:0050467	erythrokeratodermia variabilis		---	DOID:0000037	OMIM:133200 
DOID:0050468	yellow nail syndrome		---	DOID:0000225	OMIM:153300 
DOID:0050469	Costello syndrome		---	DOID:0050736	OMIM:218040 
DOID:0050470	Donohue Syndrome		---	DOID:0050737	OMIM:246200 
DOID:0050471	Carney complex		---	DOID:0050736	OMIM:160980 OMIM:605244 OMIM:608837 
DOID:0050472	monilethrix		---	DOID:0050736	OMIM:158000 
DOID:0050473	Alstrom syndrome		---	DOID:0050737	OMIM:203800 
DOID:0050474	Netherton syndrome		---	DOID:0050737	OMIM:256500 
DOID:0050475	Weill-Marchesani syndrome		---	DOID:0050739	OMIM:277600 OMIM:608328 OMIM:613195 OMIM:614819 
DOID:0050476	Barth syndrome		---	DOID:0003146	OMIM:302060 
DOID:0050477	Liddle syndrome		---	DOID:0000447	OMIM:177200 
